,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-13,1.4150943396226416,3.162358986399788,W,100%,Low,High,pos_change,16_Jan_m1,01-05,01-13
0,2016,01-04,01-05,2.111824640549955,2.9775683218263027,W,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,01-27,02-12,2.650855343074272,10.64499590525148,W,100%,Low,High,pos_change,16_Feb_m1,01-27,02-13
0,2016,01-28,01-29,5.028435536811029,4.843121128685571,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-31
0,2016,02-26,03-03,1.924136180284391,3.685565361373391,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-15
0,2016,02-24,02-25,2.839657015279894,2.064484753068482,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-28,03-29,1.7284822986098816,3.2586083487297994,W,100%,Low,Open,pos_change,16_Apr_m1,03-26,04-06
0,2016,03-21,03-22,3.55576969225911,1.0368592912925585,L,90%,Low,Open,pos_change,16_Apr_m1,03-21,03-22
0,2016,05-09,05-13,2.9094217644382114,4.701626809271242,W,100%,Low,High,pos_change,16_May_m1,05-07,05-20
0,2016,04-20,04-21,3.924446740823632,0.0,L,90%,Low,High,pos_change,16_May_m1,04-20,04-21
0,2016,05-25,05-31,1.5463917525773196,2.4795866951188787,W,100%,Low,High,pos_change,16_Jun_m1,05-24,06-03
0,2016,05-25,05-26,4.212551740508157,2.3337312725955166,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-24,07-06,2.092781234297388,10.91988196398722,W,100%,Low,High,pos_change,16_Jul_m1,06-24,07-15
0,2016,06-21,06-22,2.8817658606076986,1.3888875091517965,L,90%,Low,Open,pos_change,16_Jul_m1,06-21,06-22
0,2016,08-08,08-19,1.7145544047335477,7.321129476173112,W,100%,Low,High,pos_change,16_Aug_m1,08-08,08-19
