,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,0.0,2.845162209815784,W,100%,Low,Close,pos_change,16_Jan_m1,01-01,01-08
0,2016,01-04,01-05,4.694835680751173,2.845162209815784,L,90%,Low,High,pos_change,16_Jan_m1,01-04,01-05
0,2016,01-28,02-04,3.650076078147111,6.964295528380138,W,100%,Low,High,pos_change,16_Feb_m1,01-25,02-07
0,2016,01-28,01-29,6.3269495164727605,2.921730030212037,L,90%,Low,High,pos_change,16_Feb_m1,01-26,01-29
0,2016,03-03,03-14,2.4693564224740125,3.92993525523646,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-18
0,2016,02-24,02-26,5.234448640123978,6.9347142626161,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-27
0,2016,03-29,04-04,3.055558878793462,2.819605435186693,L,100%,Low,High,pos_change,16_Apr_m1,03-27,04-06
0,2016,03-29,03-30,4.127253117051262,2.622506819045709,L,90%,Low,High,pos_change,16_Apr_m1,03-29,04-01
0,2016,04-29,05-02,4.156013797545069,2.1365268032981297,L,100%,Low,High,pos_change,16_May_m1,04-28,05-13
0,2016,05-05,05-06,5.4423965234534375,0.2586337916173395,L,90%,Low,High,pos_change,16_May_m1,05-05,05-08
0,2016,06-01,06-07,2.688955046452812,10.70949411060376,W,100%,Low,High,pos_change,16_Jun_m1,06-01,06-11
0,2016,05-25,05-26,5.434782608695652,2.8171549604840167,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,06-29,3.18854244699596,4.510000914113043,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-15
0,2016,06-23,06-24,3.9804507116221743,0.1562379641071125,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,08-04,08-12,3.715335482231052,6.9600712497824135,W,100%,Low,High,pos_change,16_Aug_m1,08-04,08-14
0,2016,07-28,07-29,5.989002736892935,1.24656460682385,L,90%,Low,High,pos_change,16_Aug_m1,07-28,07-31
0,2016,08-30,09-01,4.115045528664284,1.7427293378797872,L,100%,Low,High,pos_change,16_Sep_m1,08-27,09-12
0,2016,08-22,08-23,6.7472520765367445,1.3503690511712767,L,90%,Low,High,pos_change,16_Sep_m1,08-22,08-25
0,2016,09-23,10-12,2.938904711442673,2.96893914186266,W,100%,Low,High,pos_change,16_Oct_m1,09-22,10-13
0,2016,09-29,09-30,5.603719554315799,1.4289797334146903,L,90%,Low,High,pos_change,16_Oct_m1,09-29,10-02
0,2016,10-24,10-25,3.996758279840349,1.3203232445757065,L,100%,Low,High,pos_change,16_Nov_m1,10-24,11-06
0,2016,10-25,10-26,7.899369574970646,0.6711783615114393,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-26
0,2016,11-22,12-02,3.7624627565539535,9.34833369849833,W,100%,Low,High,pos_change,16_Dec_m1,11-22,12-12
0,2017,01-03,01-06,0.0,4.046153533153045,W,100%,Low,Open,pos_change,17_Jan_m1,01-01,01-07
0,2017,02-06,02-15,3.8390820061775113,9.1994262331054,W,100%,Low,High,pos_change,17_Feb_m1,02-03,02-17
0,2017,01-26,01-27,5.937078054552364,1.317432029101689,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-29
0,2017,03-10,03-15,1.9943561516224253,1.786543469305757,L,100%,Low,High,pos_change,17_Mar_m1,03-09,03-17
0,2017,02-22,02-23,3.38755730602156,1.2981900972290097,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-23
0,2017,03-27,04-04,2.819605435186693,4.747397220827632,W,100%,Low,High,pos_change,17_Apr_m1,03-26,04-06
0,2017,03-27,03-28,3.7628314328281807,1.9264784014415912,L,90%,Low,Open,pos_change,17_Apr_m1,03-27,03-28
0,2017,04-28,05-04,2.490355145931036,5.14621097224817,W,100%,Low,High,pos_change,17_May_m1,04-26,05-04
0,2017,05-01,05-03,4.562563652213851,3.5371365265620063,L,90%,Low,High,pos_change,17_May_m1,04-30,05-03
0,2017,06-01,06-02,2.688955046452812,1.8047908232739645,L,100%,Low,High,pos_change,17_Jun_m1,06-01,06-11
0,2017,05-24,05-25,5.434782608695652,2.545407789883857,L,90%,Close,High,pos_change,17_Jun_m1,05-24,05-25
0,2017,06-27,07-03,3.18854244699596,4.095670231330155,W,100%,Low,High,pos_change,17_Jul_m1,06-27,07-15
0,2017,06-29,06-30,4.797415677694774,2.036858150212425,L,90%,Low,High,pos_change,17_Jul_m1,06-29,07-02
0,2017,08-04,08-10,3.715335482231052,4.1110982220670005,W,100%,Low,High,pos_change,17_Aug_m1,08-04,08-14
0,2017,08-02,08-03,5.456141421669408,5.158159178705192,L,90%,Low,High,pos_change,17_Aug_m1,08-02,08-03
0,2017,08-23,09-05,2.0323306336123856,3.444563778884739,W,100%,Low,High,pos_change,17_Sep_m1,08-23,09-05
0,2017,10-02,10-04,2.939494093393108,1.8073785500448256,L,100%,Low,High,pos_change,17_Oct_m1,09-30,10-12
0,2017,09-26,09-27,4.139783305506552,1.0090856004991826,L,90%,Low,High,pos_change,17_Oct_m1,09-26,09-27
0,2017,10-24,10-27,3.996758279840349,8.827639208672064,W,100%,Low,High,pos_change,17_Nov_m1,10-24,11-08
0,2017,10-25,10-27,7.769519436396358,7.584072879812667,L,90%,Low,High,pos_change,17_Nov_m1,10-25,10-28
0,2017,11-22,12-04,3.7624627565539535,11.436577823322963,W,100%,Low,High,pos_change,17_Dec_m1,11-22,12-12
0,2017,11-20,11-21,7.193522110480748,2.0698590677412607,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-16,01-18,1.9710545065101053,4.641607762537236,W,100%,Low,High,pos_change,18_Jan_m1,01-13,01-18
0,2018,01-02,01-05,5.703422218683111,6.8102091704949,W,90%,Low,High,pos_change,18_Jan_m1,01-02,01-05
0,2018,01-25,01-29,3.650076078147111,3.602335308811707,L,100%,Low,High,pos_change,18_Feb_m1,01-25,02-09
