,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-13,1.2722756778603226,2.2540293100731708,W,100%,Low,High,pos_change,16_Jan_m1,01-08,01-15
0,2016,01-25,02-18,2.022078205031861,10.161131759594038,W,100%,Low,High,pos_change,16_Feb_m1,01-22,02-18
0,2016,01-22,01-25,3.1464138118950604,2.0202075894589924,L,90%,Low,Open,pos_change,16_Feb_m1,01-22,01-25
0,2016,02-24,03-07,2.046820810064787,8.351328225419676,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-08
0,2016,02-24,02-25,2.521010086989526,3.724554367557986,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-24,04-04,1.8328670414481367,6.249566361684505,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-05
0,2016,03-29,03-31,2.7372263789945497,3.7966143074682206,W,90%,Low,High,pos_change,16_Apr_m1,03-29,03-31
0,2016,04-25,04-27,1.9416703211421364,2.494730578287462,W,100%,Low,High,pos_change,16_May_m1,04-22,05-01
0,2016,04-19,04-20,3.77359410881756,3.218565541158446,L,90%,Low,High,pos_change,16_May_m1,04-18,04-20
0,2016,06-06,06-08,1.3098100965182309,1.1487462531628885,L,100%,Low,High,pos_change,16_Jun_m1,06-04,06-10
0,2016,06-24,07-13,1.8342009980270493,8.318514346268683,W,100%,Low,High,pos_change,16_Jul_m1,06-21,07-13
0,2016,06-27,06-28,3.442858702079403,2.266663668448465,L,90%,Low,High,pos_change,16_Jul_m1,06-27,06-28
0,2016,08-05,08-11,1.5472002022946834,2.091966002849088,W,100%,Low,High,pos_change,16_Aug_m1,08-05,08-16
0,2016,07-18,07-19,2.3752826575307657,2.148304513258266,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,09-02,09-07,1.8467903876210965,1.639962746118093,L,100%,Low,High,pos_change,16_Sep_m1,09-02,09-16
0,2016,08-31,09-01,3.4785808381491643,0.8593457965100701,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,10-03,10-04,1.7650249877262638,0.9616574103614192,L,100%,Low,High,pos_change,16_Oct_m1,09-30,10-11
0,2016,09-27,09-28,3.747425256861391,3.133741239663289,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-25,11-11,2.564261051659012,7.682035884785196,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-11
0,2016,10-24,10-25,3.904283447064268,0.5053256625449672,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-01,12-13,1.765501978064714,7.359440095952046,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-16
0,2016,11-21,11-22,2.345259267471812,1.639960692703564,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-10,01-13,1.4548028406839226,1.8991166440039715,W,100%,Low,High,pos_change,17_Jan_m1,01-08,01-16
0,2017,01-05,01-06,2.9735533815921693,1.5903406370138675,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-06
0,2017,01-24,01-25,1.5366405894774309,4.726569388173921,W,100%,Low,High,pos_change,17_Feb_m1,01-24,02-11
0,2017,01-27,01-30,3.0682458561308312,0.0,L,90%,Low,High,pos_change,17_Feb_m1,01-27,01-30
0,2017,02-27,03-01,2.046820810064787,1.8239649122747288,L,100%,Low,High,pos_change,17_Mar_m1,02-24,03-08
0,2017,03-22,04-05,1.8328670414481367,2.042823331571096,W,100%,Low,High,pos_change,17_Apr_m1,03-21,04-20
0,2017,03-23,03-24,2.772709091838589,1.117770493601964,L,90%,Low,High,pos_change,17_Apr_m1,03-23,03-24
0,2017,05-02,05-03,0.9307183159722222,0.5105884781329644,L,100%,Low,High,pos_change,17_May_m1,05-01,05-13
0,2017,04-24,04-25,3.773245063567644,1.0098461137503645,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,06-05,06-09,1.1149709234221337,1.7009506564056132,W,100%,Low,High,pos_change,17_Jun_m1,06-03,06-11
0,2017,07-11,07-14,2.9938490683053107,1.6902282235106976,L,100%,Low,High,pos_change,17_Jul_m1,07-09,07-19
0,2017,08-08,08-15,1.5472002022946834,0.943659392880722,L,100%,Low,High,pos_change,17_Aug_m1,08-05,08-16
0,2017,08-07,08-08,1.937826133894485,0.0070014058395359,L,90%,Low,High,pos_change,17_Aug_m1,08-05,08-08
0,2017,08-23,09-07,1.6687362247622763,2.8149039806915783,W,100%,Low,High,pos_change,17_Sep_m1,08-23,09-10
0,2017,08-30,09-01,2.532186221667114,1.467590958602513,L,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,10-02,10-10,1.7135143392656746,2.575573349944512,W,100%,Low,High,pos_change,17_Oct_m1,10-01,10-11
0,2017,09-27,09-28,3.747425256861391,0.5722966545133632,L,90%,Low,High,pos_change,17_Oct_m1,09-27,09-28
0,2017,10-25,10-26,2.564261051659012,1.345875860088885,L,100%,Low,High,pos_change,17_Nov_m1,10-24,11-11
0,2017,10-23,10-24,3.904283447064268,0.1002906285839003,L,90%,Low,High,pos_change,17_Nov_m1,10-23,10-24
0,2017,12-01,12-04,1.7070051220955729,2.543979658939977,W,100%,Low,High,pos_change,17_Dec_m1,12-01,12-09
0,2017,11-20,11-21,2.953692822630521,1.7011361945209649,L,90%,Low,Close,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-08,01-16,1.4548028406839226,2.220158568734996,W,100%,Low,High,pos_change,18_Jan_m1,01-08,01-16
0,2018,01-24,01-29,1.5366405894774309,2.1659943615990307,W,100%,Low,High,pos_change,18_Feb_m1,01-24,02-11
0,2018,01-29,01-30,3.0682458561308312,0.4578096444631256,L,90%,Low,High,pos_change,18_Feb_m1,01-27,01-30
0,2018,02-26,02-27,1.5603016872047475,2.745806972730126,W,100%,Low,High,pos_change,18_Mar_m1,02-25,03-08
0,2018,02-26,02-27,2.121017742203507,2.745806972730126,W,90%,Low,High,pos_change,18_Mar_m1,02-24,02-27
0,2018,03-23,04-17,1.8328670414481367,9.061537176684231,W,100%,Low,High,pos_change,18_Apr_m1,03-21,04-20
0,2018,05-08,05-17,1.2746402630126044,2.2032978576685567,W,100%,Low,High,pos_change,18_May_m1,05-05,05-18
0,2018,04-24,04-25,2.705455584954301,1.2938456604037325,L,90%,Low,High,pos_change,18_May_m1,04-24,04-25
0,2018,06-04,06-11,1.1149709234221337,3.678443702170058,W,100%,Low,High,pos_change,18_Jun_m1,06-03,06-11
0,2018,06-22,07-06,1.7211026795444389,1.5343114652924867,L,100%,Low,High,pos_change,18_Jul_m1,06-19,07-07
0,2018,07-10,07-11,4.265002403894492,1.337867744393167,L,90%,Low,High,pos_change,18_Jul_m1,07-10,07-11
0,2018,08-10,08-17,1.1817136922653233,1.7445054362350627,W,100%,Low,High,pos_change,18_Aug_m1,08-08,08-17
