,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-22,02-04,1.822637707325549,13.682065535732166,W,100%,Low,High,pos_change,16_Feb_m1,01-19,02-04
0,2016,01-20,01-21,6.636482395533518,5.325810938369514,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-21
0,2016,03-01,03-09,2.0171269005928307,7.493116467964371,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-09
0,2016,03-09,03-10,2.947477178767632,4.39530546334954,W,90%,Low,High,pos_change,16_Mar_m1,03-07,03-10
0,2016,03-24,04-01,2.18487768498949,6.646075087456847,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-02
0,2016,03-21,03-22,3.889595808835769,1.935065305395221,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-24
0,2016,04-25,05-20,2.929505862259514,10.815844053771269,W,100%,Low,High,pos_change,16_May_m1,04-25,05-20
0,2016,06-06,06-09,1.5722088053944423,3.7356321839080464,W,100%,Low,Close,pos_change,16_Jun_m1,06-05,06-15
0,2016,06-24,07-05,3.2275479961532607,6.854473215456521,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-05
0,2016,06-22,06-23,4.268489550818472,2.8475347560843143,L,90%,Low,High,pos_change,16_Jul_m1,06-22,06-25
0,2016,07-19,08-03,3.74215484563163,18.204301403414817,W,100%,Low,High,pos_change,16_Aug_m1,07-19,08-07
0,2016,07-19,07-21,5.430678533688026,2.741938765330981,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-21
0,2016,08-25,09-07,3.212220273603997,5.144838926909592,W,100%,Low,High,pos_change,16_Sep_m1,08-24,09-13
0,2016,08-31,09-01,4.626574833788789,1.9149882681417787,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-21,10-10,2.834704911790836,6.719795591367908,W,100%,Low,High,pos_change,16_Oct_m1,09-21,10-17
0,2016,09-26,09-27,4.285715792507185,2.8050875198949514,L,90%,Low,High,pos_change,16_Oct_m1,09-25,09-28
0,2016,10-28,11-01,2.089252819228879,5.977735227949205,W,100%,Low,High,pos_change,16_Nov_m1,10-26,11-03
