,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-06,01-12,1.1719207530077231,2.749846930235788,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-15
0,2016,01-07,01-08,2.081118768572235,2.596608928152753,W,90%,Low,High,pos_change,16_Jan_m1,01-07,01-10
0,2016,01-28,02-04,2.386777148142623,10.5610213697482,W,100%,Low,High,pos_change,16_Feb_m1,01-28,02-09
0,2016,03-02,03-16,2.4077019466181864,7.046565641681779,W,100%,Low,High,pos_change,16_Mar_m1,03-02,03-16
0,2016,03-01,03-02,2.997162052115225,2.325587022022747,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-29,04-01,2.2189053535903773,3.1883786709407307,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-03
0,2016,03-29,03-30,2.7123851613089216,2.8961088805311586,W,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-18,04-19,3.3539634658774986,3.748843438438604,W,100%,Low,High,pos_change,16_May_m1,04-18,05-08
0,2016,04-21,04-22,4.048511948786354,1.4339614964131289,L,90%,Low,High,pos_change,16_May_m1,04-20,04-23
0,2016,05-24,05-31,1.4285784792251166,2.2996649373010767,W,100%,Low,High,pos_change,16_Jun_m1,05-24,06-02
0,2016,05-23,05-24,3.219698461181445,1.3170332245683345,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-27,07-07,1.5709692844528556,9.039213676340516,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-07
0,2016,06-23,06-24,2.917395053124234,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-29,08-09,1.8444229605008036,5.580727602956209,W,100%,Low,High,pos_change,16_Aug_m1,07-29,08-10
0,2016,07-28,07-29,2.3729915864378586,0.5950652136259291,L,90%,Low,High,pos_change,16_Aug_m1,07-28,07-29
0,2016,08-26,09-06,1.6304312316647005,2.829560200366746,W,100%,Low,High,pos_change,16_Sep_m1,08-26,09-14
0,2016,08-26,08-29,1.998401242414249,1.495835737136873,L,90%,Low,High,pos_change,16_Sep_m1,08-26,08-29
0,2016,09-29,10-03,2.046783625730994,1.735248180379439,L,100%,Open,High,pos_change,16_Oct_m1,09-29,10-07
0,2016,09-27,09-28,3.207167266040355,1.8781327004928317,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-25,10-28,3.480419270551178,4.741948250621661,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-18
0,2016,10-24,10-25,4.795066719171326,0.5005343396190942,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
