,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-28,02-10,5.357137725365427,18.32273958054297,W,100%,Low,Open,pos_change,16_Feb_m1,01-25,02-14
0,2016,01-21,01-22,9.501734460606563,13.126760133555235,W,90%,Low,Open,pos_change,16_Feb_m1,01-21,01-24
0,2016,03-04,03-07,5.81395323048289,5.556341182882932,L,100%,Low,High,pos_change,16_Mar_m1,03-02,03-16
0,2016,03-01,03-02,7.87270156694127,6.353398686827728,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-04
0,2016,03-21,03-24,3.508771929824561,12.258766177126583,W,100%,Low,High,pos_change,16_Apr_m1,03-21,03-28
0,2016,04-22,04-25,5.732487790690717,4.075365046769291,L,100%,Low,High,pos_change,16_May_m1,04-20,05-05
0,2016,04-19,04-20,8.638747850565972,4.496313062723202,L,90%,Low,High,pos_change,16_May_m1,04-19,04-22
0,2016,05-23,05-31,3.9054484308185216,10.953783291813089,W,100%,Low,High,pos_change,16_Jun_m1,05-23,05-31
0,2016,05-25,05-26,6.61681001961672,2.9513855052477638,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,07-11,4.444444444444445,21.11498470505771,W,100%,Low,High,pos_change,16_Jul_m1,06-25,07-11
0,2016,06-21,06-22,12.570526557364,5.010517507523793,L,90%,Low,High,pos_change,16_Jul_m1,06-21,06-22
0,2016,08-09,08-10,4.019532911686537,3.159022603391073,L,100%,Low,High,pos_change,16_Aug_m1,08-09,08-17
0,2016,07-22,07-25,7.5,0.6020569949408556,L,90%,Low,High,pos_change,16_Aug_m1,07-22,07-25
0,2016,08-22,08-24,4.964542844622862,11.21223951225882,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-03
0,2016,09-06,09-07,7.066379407169915,4.122327518754778,L,90%,Low,High,pos_change,16_Sep_m1,09-06,09-07
0,2016,09-22,10-07,5.432931976953356,13.465986882102026,W,100%,Low,High,pos_change,16_Oct_m1,09-22,10-08
0,2016,09-27,09-28,10.382513661202186,9.757214785662391,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-31,11-09,6.378599470436049,27.952980981916305,W,100%,Low,High,pos_change,16_Nov_m1,10-30,11-16
0,2016,10-25,10-27,8.588957055214724,4.976911390219311,L,90%,Open,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,11-28,12-06,5.743825438049294,2.547708102285717,L,100%,Low,High,pos_change,16_Dec_m1,11-25,12-12
0,2017,01-25,02-14,5.357137725365427,6.194465438138503,W,100%,Low,Open,pos_change,17_Feb_m1,01-25,02-14
0,2017,02-28,03-10,4.830285808479285,14.614440622512992,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-11
0,2017,02-21,02-22,7.9763657810103155,2.613346389363616,L,90%,Low,High,pos_change,17_Mar_m1,02-20,02-23
0,2017,03-24,03-28,4.085257804587563,2.412870055501484,L,100%,Low,High,pos_change,17_Apr_m1,03-21,03-30
0,2017,05-08,05-10,5.13470751803677,2.988659957552157,L,100%,Low,High,pos_change,17_May_m1,05-08,05-15
0,2017,04-27,04-28,8.62982846351806,1.8359852663975325,L,90%,Low,High,pos_change,17_May_m1,04-27,04-30
0,2017,05-22,05-25,3.9054484308185216,7.495004158611724,W,100%,Low,High,pos_change,17_Jun_m1,05-22,06-10
0,2017,05-25,05-26,6.61681001961672,0.9261259801157709,L,90%,Low,High,pos_change,17_Jun_m1,05-25,05-26
0,2017,06-27,06-28,4.444444444444445,3.973559407188248,L,100%,Low,High,pos_change,17_Jul_m1,06-25,07-11
0,2017,06-21,06-22,12.570526557364,10.450514815326306,L,90%,Low,High,pos_change,17_Jul_m1,06-21,06-22
0,2017,07-26,07-27,3.8700149552656793,5.19216243263049,W,100%,Low,High,pos_change,17_Aug_m1,07-26,08-03
0,2017,07-25,07-26,6.435643564356436,3.777836265207114,L,90%,Low,High,pos_change,17_Aug_m1,07-24,07-26
0,2017,08-21,08-31,9.282702077360296,18.047011313795984,W,100%,Low,High,pos_change,17_Sep_m1,08-21,09-10
0,2017,08-21,08-23,10.954616588419404,4.920377637344526,L,90%,Low,High,pos_change,17_Sep_m1,08-21,08-23
0,2017,09-21,10-02,6.223480149040272,4.930824275682848,L,100%,Low,High,pos_change,17_Oct_m1,09-18,10-02
0,2017,09-18,09-19,9.529783738148328,0.960643466120344,L,90%,Low,High,pos_change,17_Oct_m1,09-18,09-19
0,2017,11-02,11-07,6.378599470436049,5.564098646328652,L,100%,Low,High,pos_change,17_Nov_m1,10-30,11-16
0,2017,10-23,10-24,8.641972546896639,1.775620309556626,L,90%,Low,High,pos_change,17_Nov_m1,10-23,10-24
0,2017,11-29,11-30,5.139917799919676,5.512313936189816,W,100%,Low,High,pos_change,17_Dec_m1,11-29,12-11
0,2017,11-27,11-28,6.935415702795559,0.8313636005918399,L,90%,Low,High,pos_change,17_Dec_m1,11-25,11-28
0,2018,01-16,01-19,0.7710773787408676,2.5759052807735,W,100%,Low,High,pos_change,18_Jan_m1,01-13,01-19
0,2018,01-25,01-29,5.357137725365427,2.4343355649678027,L,100%,Low,Open,pos_change,18_Feb_m1,01-25,02-14
0,2018,01-22,01-24,8.592939178750724,4.090664709237727,L,90%,Low,High,pos_change,18_Feb_m1,01-22,01-24
0,2018,02-21,02-26,7.0783174168581615,7.819507241706345,W,100%,Low,High,pos_change,18_Mar_m1,02-21,03-04
0,2018,02-21,02-23,9.26205211327554,3.968807979701089,L,90%,Low,High,pos_change,18_Mar_m1,02-21,02-24
0,2018,03-26,03-27,4.929485508975605,7.10317101899146,W,100%,Low,High,pos_change,18_Apr_m1,03-25,04-12
0,2018,05-08,05-14,4.706997043109,8.960973141701208,W,100%,Low,High,pos_change,18_May_m1,05-08,05-17
0,2018,05-24,06-08,3.9054484308185216,8.939741170911232,W,100%,Low,High,pos_change,18_Jun_m1,05-22,06-10
0,2018,06-28,07-09,4.417247801601561,13.950566303266337,W,100%,Low,High,pos_change,18_Jul_m1,06-27,07-09
0,2018,06-19,06-20,10.671455316128164,4.236818636616042,L,90%,Low,High,pos_change,18_Jul_m1,06-19,06-20
0,2018,07-27,07-31,3.8700149552656793,3.254179391643588,L,100%,Low,High,pos_change,18_Aug_m1,07-26,08-03
