,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.7994938474910196,4.653239330774102,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-14
0,2016,01-07,01-08,2.3255813953488373,1.4932122986873386,L,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,01-25,01-27,2.083333333333333,4.4741665115333005,W,100%,Low,High,pos_change,16_Feb_m1,01-24,02-06
0,2016,01-28,01-29,5.03640744393749,2.7384773420735344,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-31
0,2016,03-10,03-18,1.948052350174709,4.322764801740176,W,100%,Low,High,pos_change,16_Mar_m1,03-07,03-18
0,2016,02-22,02-23,3.833333333333333,2.566535098295534,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-24
0,2016,03-22,04-13,3.380780985703257,10.178236901292022,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-13
0,2016,05-03,05-13,3.23984558223753,4.163057302924604,W,100%,Low,High,pos_change,16_May_m1,04-30,05-19
0,2016,04-27,04-28,4.032258064516129,1.2975745076594647,L,90%,Low,Open,pos_change,16_May_m1,04-26,04-29
0,2016,05-31,06-09,2.229299363057325,3.094529620663208,W,100%,Low,High,pos_change,16_Jun_m1,05-30,06-09
0,2016,05-31,06-01,3.659849300322928,1.3141138784959905,L,90%,Low,High,pos_change,16_Jun_m1,05-29,06-01
0,2016,07-08,07-13,1.387813013073279,4.3291908794888405,W,100%,Low,High,pos_change,16_Jul_m1,07-08,07-14
0,2016,06-27,06-28,1.9887780597139189,1.126126087424954,L,90%,Low,High,pos_change,16_Jul_m1,06-25,06-28
0,2016,08-10,08-15,3.104025865695455,4.422821640890044,W,100%,Low,High,pos_change,16_Aug_m1,08-07,08-19
0,2016,08-04,08-05,4.098360655737705,3.3792807319537386,L,90%,Low,High,pos_change,16_Aug_m1,08-04,08-07
0,2016,08-29,09-01,1.640182937314905,2.503292417062167,W,100%,Low,High,pos_change,16_Sep_m1,08-29,09-04
0,2016,08-29,08-30,3.969955983631183,2.108034837885421,L,90%,Low,High,pos_change,16_Sep_m1,08-29,08-30
0,2016,09-30,10-10,2.9271193418029187,3.4700249296219314,W,100%,Low,High,pos_change,16_Oct_m1,09-30,10-15
0,2016,09-28,09-29,4.873294238264276,1.99817719147164,L,90%,Low,High,pos_change,16_Oct_m1,09-28,09-29
0,2016,10-27,11-08,4.858294905632094,3.275710808453772,L,100%,Low,High,pos_change,16_Nov_m1,10-25,11-14
0,2016,10-27,10-28,6.823929464415053,2.3657892110709526,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-28
0,2016,11-22,11-28,1.6444070772242958,3.4728030834884813,W,100%,Low,High,pos_change,16_Dec_m1,11-22,12-16
0,2016,11-21,11-23,2.2457067371202117,3.5214252628451077,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-23
0,2017,01-05,01-13,2.5171619553626576,4.237663812004247,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-20
0,2017,01-24,01-27,2.083333333333333,4.07632504695378,W,100%,Low,High,pos_change,17_Feb_m1,01-24,02-08
0,2017,01-25,01-27,4.846521989087285,2.214652759376268,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-28
0,2017,03-09,03-16,1.6233784329290477,2.788181677690474,W,100%,Low,Close,pos_change,17_Mar_m1,03-07,03-16
0,2017,02-22,02-23,3.917819793922512,1.810701843095374,L,90%,Low,High,pos_change,17_Mar_m1,02-22,02-25
0,2017,03-24,04-05,3.380780985703257,3.4138204795877964,W,100%,Low,High,pos_change,17_Apr_m1,03-22,04-13
0,2017,03-21,03-22,6.449105913647792,1.8371549590505405,L,90%,Low,High,pos_change,17_Apr_m1,03-21,03-22
