,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.3101129458781675,2.0010111153645807,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-12
0,2016,01-25,02-01,1.757847703683972,9.110787085160611,W,100%,Low,High,pos_change,16_Feb_m1,01-25,02-11
0,2016,02-01,02-02,2.563247829108716,1.0075575501143743,L,90%,Low,High,pos_change,16_Feb_m1,01-30,02-02
0,2016,02-25,03-11,1.503997802734375,3.073400137324737,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-13
0,2016,02-24,02-26,2.2493010261071413,3.836065748679434,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-27
0,2016,03-22,03-30,0.8616412111205856,2.344693540664707,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-03
0,2016,04-19,04-20,1.7106833734838238,2.4309284202260524,W,100%,Low,High,pos_change,16_May_m1,04-19,05-08
0,2016,04-18,04-20,2.431837233582605,4.1214592394703295,W,90%,Low,High,pos_change,16_May_m1,04-18,04-20
0,2016,06-08,06-15,1.212918699926626,2.018884089529861,W,100%,Low,High,pos_change,16_Jun_m1,06-07,06-17
0,2016,05-26,05-27,2.09986849764568,0.434202809388516,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-27,07-15,2.19243751310218,8.086959175441576,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-15
0,2016,06-27,06-28,2.96269005640701,2.930437170940897,L,90%,Low,High,pos_change,16_Jul_m1,06-27,06-28
0,2016,07-27,08-02,1.2787678295626643,1.2546286262941562,L,100%,Low,High,pos_change,16_Aug_m1,07-26,08-19
0,2016,07-25,07-26,2.7317102943978657,1.1358173586610714,L,90%,Low,High,pos_change,16_Aug_m1,07-25,07-28
0,2016,09-09,09-12,1.4071136595232214,1.0746290741131312,L,100%,Low,High,pos_change,16_Sep_m1,09-06,09-15
0,2016,09-29,10-10,1.972104965792862,2.6999282364971484,W,100%,Low,High,pos_change,16_Oct_m1,09-28,10-17
0,2016,10-04,10-05,3.4229828850855744,0.980726812716552,L,90%,Low,High,pos_change,16_Oct_m1,10-04,10-05
0,2016,10-31,11-09,1.9436798741043937,6.986899563318777,W,100%,Low,High,pos_change,16_Nov_m1,10-30,11-18
0,2016,12-07,12-14,1.4311851964656204,7.299673782665963,W,100%,Low,High,pos_change,16_Dec_m1,12-05,12-15
0,2016,12-05,12-06,1.5434068692884184,1.3156659331804903,L,90%,Low,High,pos_change,16_Dec_m1,12-05,12-07
0,2017,01-03,01-10,1.3101129458781675,1.536055360151044,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-17
0,2017,01-25,02-10,1.757847703683972,4.721917322741085,W,100%,Low,High,pos_change,17_Feb_m1,01-25,02-11
0,2017,01-30,01-31,2.467780308798021,0.487375329370465,L,90%,Low,High,pos_change,17_Feb_m1,01-30,01-31
0,2017,02-28,03-13,1.503997802734375,4.108573402106749,W,100%,Low,High,pos_change,17_Mar_m1,02-25,03-13
0,2017,02-23,02-24,1.9784960192604468,2.728485449650563,W,90%,Low,High,pos_change,17_Mar_m1,02-23,02-25
