,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-08,1.658612393689243,1.9806900639837983,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-15
0,2016,01-04,01-05,2.6501478219792207,1.7774939878105256,L,90%,Low,High,pos_change,16_Jan_m1,01-04,01-07
0,2016,01-27,02-01,4.212411547129092,5.463225031050057,W,100%,Low,High,pos_change,16_Feb_m1,01-27,02-16
0,2016,01-19,01-20,5.6253452577176,0.0,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-20
0,2016,02-24,03-04,2.9850776916740758,11.44854996572179,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-05
0,2016,02-22,02-23,4.173105214048395,0.0,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-29,03-30,1.9199001940810947,2.9044947862544195,W,100%,Low,High,pos_change,16_Apr_m1,03-28,04-09
0,2016,03-21,03-22,2.606533548936592,1.0340272782669009,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-19,04-21,2.6028400817625594,3.3733084744766257,W,100%,Low,High,pos_change,16_May_m1,04-19,05-14
0,2016,04-21,04-22,4.419766115475177,1.6419278470550918,L,90%,Low,High,pos_change,16_May_m1,04-21,04-22
0,2016,05-23,05-25,2.048386824306097,4.813168315665595,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-08
0,2016,06-27,07-14,1.7836949987503952,13.90009504982008,W,100%,Close,High,pos_change,16_Jul_m1,06-27,07-15
0,2016,06-23,06-24,3.6925798744384943,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,08-16,08-18,2.075555269989651,1.1496015091326452,L,100%,Low,High,pos_change,16_Aug_m1,08-13,08-19
0,2016,08-10,08-11,2.606118684021728,0.8133805241098688,L,90%,Low,High,pos_change,16_Aug_m1,08-09,08-12
0,2016,08-22,08-31,3.2154290194776225,3.608000074649323,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-16
0,2016,08-25,08-26,3.886010516310401,1.6567811562887071,L,90%,Open,High,pos_change,16_Sep_m1,08-25,08-28
