,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.1150013161083936,2.631574055225736,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-13
0,2016,01-07,01-08,2.1374997425625804,1.7316024885386658,L,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,02-12,02-17,2.272727272727273,11.130183990649137,W,100%,Low,High,pos_change,16_Feb_m1,02-12,02-19
0,2016,02-29,03-18,1.8026317796281064,16.49242459516698,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-18
0,2016,02-22,02-23,4.910714285714286,1.7420748819338274,L,90%,Open,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-28,03-30,2.234960874394221,2.8765280758072085,W,100%,Low,High,pos_change,16_Apr_m1,03-25,04-06
0,2016,03-22,03-23,5.035301188850197,1.115922751467911,L,90%,Low,High,pos_change,16_Apr_m1,03-22,03-23
0,2016,04-29,05-12,2.6766351041181435,14.569687590342706,W,100%,Low,High,pos_change,16_May_m1,04-28,05-15
0,2016,04-18,04-19,5.024532987101349,3.591094047309734,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-23,06-08,3.718199608610568,9.460859007417502,W,100%,Open,High,pos_change,16_Jun_m1,05-23,06-17
0,2016,05-23,05-24,4.672897196261682,1.4046690917561169,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-28,07-13,2.919088771171536,14.000853572916396,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-14
0,2016,06-29,07-01,3.050594125858141,5.815905101184049,W,90%,Low,High,pos_change,16_Jul_m1,06-29,07-01
0,2016,08-03,08-09,2.902245336577768,6.4571416945684526,W,100%,Low,High,pos_change,16_Aug_m1,08-03,08-16
0,2016,08-05,08-08,4.522354552069648,2.122067733549736,L,90%,Low,High,pos_change,16_Aug_m1,08-05,08-08
0,2016,08-22,08-26,1.6815200596496251,3.737092353928257,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-09
0,2016,08-25,08-26,3.72008417342186,2.4670781577057133,L,90%,Low,High,pos_change,16_Sep_m1,08-24,08-27
0,2016,10-06,10-10,2.106319283074156,1.7611838481858224,L,100%,Low,High,pos_change,16_Oct_m1,10-06,10-16
0,2016,09-27,09-28,4.373906706859715,3.814060713399916,L,90%,Low,High,pos_change,16_Oct_m1,09-25,09-28
0,2016,10-26,11-15,4.096075066826737,18.797589111401848,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-15
0,2016,10-25,10-26,6.1270995404755935,1.5677732190836915,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-26
0,2016,11-22,11-30,2.2313332437670126,10.738602517939968,W,100%,Low,High,pos_change,16_Dec_m1,11-22,12-01
0,2016,11-25,11-28,3.61794500723589,2.0201985047107907,L,90%,Low,High,pos_change,16_Dec_m1,11-25,11-28
0,2017,01-03,01-05,2.1150013161083936,2.756110574514317,W,100%,Low,High,pos_change,17_Jan_m1,01-03,01-13
0,2017,01-05,01-06,2.578224198781197,1.409667415047732,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2017,01-25,01-26,2.185068874637901,2.2233176004298194,W,100%,Low,High,pos_change,17_Feb_m1,01-25,02-03
0,2017,01-23,01-24,5.660377358490567,6.63247247838327,W,90%,Low,High,pos_change,17_Feb_m1,01-23,01-24
0,2017,02-23,03-01,1.8984169927264107,5.46438004978713,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-02
0,2017,02-22,02-23,5.263159816014775,1.092701645301606,L,90%,Low,High,pos_change,17_Mar_m1,02-22,02-23
0,2017,04-10,04-11,2.635836739071532,1.3446298211933587,L,100%,Low,High,pos_change,17_Apr_m1,04-08,04-21
0,2017,03-22,03-23,5.035301188850197,1.6057566020383636,L,90%,Low,High,pos_change,17_Apr_m1,03-22,03-23
0,2017,05-01,05-09,2.6766351041181435,3.113490197886371,W,100%,Low,High,pos_change,17_May_m1,04-28,05-14
0,2017,04-27,04-28,4.038772213247173,1.5434873412592034,L,90%,Low,High,pos_change,17_May_m1,04-26,04-29
0,2017,05-25,06-02,2.3191783098149137,2.096840083902981,L,100%,Low,High,pos_change,17_Jun_m1,05-22,06-03
0,2017,05-24,05-25,5.11182495222923,1.3333347865513392,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,06-29,07-12,2.919088771171536,4.610464416784898,W,100%,Low,High,pos_change,17_Jul_m1,06-28,07-14
0,2017,08-03,08-08,2.902245336577768,6.055936927197623,W,100%,Low,High,pos_change,17_Aug_m1,08-03,08-16
0,2017,08-07,08-08,4.420732672558513,5.54703126484968,W,90%,Low,High,pos_change,17_Aug_m1,08-05,08-08
0,2017,08-21,09-01,1.6815200596496251,12.431549549171802,W,100%,Low,High,pos_change,17_Sep_m1,08-21,09-09
0,2017,08-21,08-24,2.757731226453707,4.846885668397063,W,90%,Low,High,pos_change,17_Sep_m1,08-21,08-24
0,2017,10-02,10-05,3.0576271252338483,2.0714668679748627,L,100%,Low,High,pos_change,17_Oct_m1,09-30,10-10
0,2017,09-25,09-27,4.373906706859715,1.7388280806566718,L,90%,Low,High,pos_change,17_Oct_m1,09-25,09-28
0,2017,10-25,11-07,4.096075066826737,6.531183179020424,W,100%,Low,High,pos_change,17_Nov_m1,10-25,11-10
0,2017,10-25,10-26,6.454070260914298,2.3449687011939733,L,90%,Low,High,pos_change,17_Nov_m1,10-25,10-26
0,2017,11-24,11-30,2.2313332437670126,5.029348295000355,W,100%,Low,High,pos_change,17_Dec_m1,11-22,12-01
0,2017,11-20,11-21,4.914004914004914,11.5305772026553,W,90%,Low,Close,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-03,01-12,2.1150013161083936,4.643496667054079,W,100%,Low,High,pos_change,18_Jan_m1,01-03,01-13
0,2018,01-08,01-09,2.578224198781197,1.752302300782608,L,90%,Low,High,pos_change,18_Jan_m1,01-06,01-09
0,2018,01-26,01-29,2.185068874637901,4.125794320459445,W,100%,Low,High,pos_change,18_Feb_m1,01-25,02-03
0,2018,01-23,01-24,5.660377358490567,1.985047395640424,L,90%,Low,High,pos_change,18_Feb_m1,01-23,01-24
0,2018,02-23,02-27,1.8984169927264107,3.919003339977908,W,100%,Low,High,pos_change,18_Mar_m1,02-20,03-02
0,2018,04-06,04-17,2.3021622045888948,5.68538247795256,W,100%,Low,High,pos_change,18_Apr_m1,04-04,04-17
0,2018,05-01,05-11,2.6766351041181435,13.097311303711706,W,100%,Low,High,pos_change,18_May_m1,04-28,05-14
0,2018,05-01,05-02,2.819548872180451,1.9532593807190937,L,90%,Low,High,pos_change,18_May_m1,05-01,05-02
0,2018,05-23,06-08,2.3191783098149137,6.168311808019924,W,100%,Low,High,pos_change,18_Jun_m1,05-21,06-10
0,2018,05-23,05-24,4.966443100299105,1.737328854681866,L,90%,Low,High,pos_change,18_Jun_m1,05-23,05-25
0,2018,06-28,07-10,2.919088771171536,6.289914559062646,W,100%,Low,High,pos_change,18_Jul_m1,06-28,07-14
0,2018,06-26,06-27,4.448328892783506,2.5134369187086545,L,90%,Low,High,pos_change,18_Jul_m1,06-26,06-27
0,2018,08-03,08-07,2.902245336577768,11.513513308153758,W,100%,Low,High,pos_change,18_Aug_m1,08-03,08-16
0,2018,08-06,08-07,4.420732672558513,8.357778347061396,W,90%,Low,High,pos_change,18_Aug_m1,08-05,08-08
0,2018,09-11,09-20,1.816467222113552,5.927940760632451,W,100%,Low,High,pos_change,18_Sep_m1,09-09,09-20
