,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-06,1.5621014654787475,4.3029261834003725,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-15
0,2016,01-04,01-05,2.178649237472767,3.5406995481642367,W,90%,Low,High,pos_change,16_Jan_m1,01-04,01-05
0,2016,01-20,02-03,3.3498113180670024,11.059283056724151,W,100%,Low,High,pos_change,16_Feb_m1,01-18,02-18
0,2016,01-20,01-21,5.612514676959693,3.924260041348221,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-21
0,2016,02-22,03-02,3.4414513775877937,8.084548207797706,W,100%,Low,High,pos_change,16_Mar_m1,02-22,03-18
0,2016,02-24,02-25,4.350130918990908,3.7007871492956426,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-28,04-01,1.367591940254219,2.3714346352161315,W,100%,Low,High,pos_change,16_Apr_m1,03-25,04-02
0,2016,03-30,04-01,2.728473587541391,1.6133212734691902,L,90%,Low,High,pos_change,16_Apr_m1,03-30,04-01
0,2016,04-22,04-26,2.352541888347986,5.636206894492296,W,100%,Low,High,pos_change,16_May_m1,04-21,05-12
0,2016,04-21,04-22,4.953560371517028,0.5780321329165202,L,90%,Low,High,pos_change,16_May_m1,04-21,04-22
0,2016,06-03,06-10,2.7942414223619902,2.7777777777777777,L,100%,Low,High,pos_change,16_Jun_m1,06-02,06-17
0,2016,05-23,05-24,3.363228814616141,2.6863094565819234,L,90%,Open,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-24,06-28,1.978786641462584,9.144537860137223,W,100%,Low,High,pos_change,16_Jul_m1,06-22,07-03
0,2016,06-21,06-22,4.558986512526471,0.7584660020101719,L,90%,Low,High,pos_change,16_Jul_m1,06-21,06-22
0,2016,08-09,08-11,2.2364217252396164,1.8288908347340855,L,100%,Low,High,pos_change,16_Aug_m1,08-06,08-14
0,2016,08-05,08-08,3.1715514865450345,0.8945124364785801,L,90%,Low,High,pos_change,16_Aug_m1,08-05,08-08
