,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.354475854680578,2.5684443679758377,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-15
0,2016,01-04,01-05,2.119497815211879,2.5684443679758377,W,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,02-09,02-17,2.234064628273044,8.403236000066823,W,100%,Low,High,pos_change,16_Feb_m1,02-09,02-19
0,2016,02-01,02-02,3.0227314342151987,0.3012064867818965,L,90%,Low,High,pos_change,16_Feb_m1,01-30,02-02
0,2016,02-29,03-09,1.660275059636919,3.900367436737472,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-12
0,2016,02-22,02-23,2.5537621085021605,1.6076298101434563,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-22,03-30,1.3089019613521518,3.981112872312659,W,100%,Low,High,pos_change,16_Apr_m1,03-21,03-30
0,2016,03-22,03-23,2.274509504729626,1.7004077762167775,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-23
0,2016,04-27,05-13,2.2177834710727424,3.245469130967571,W,100%,Low,High,pos_change,16_May_m1,04-27,05-17
0,2016,04-18,04-19,3.43545883155509,0.8426257856130228,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-31,06-13,1.3547687711906569,5.742467068406524,W,100%,Low,High,pos_change,16_Jun_m1,05-30,06-17
0,2016,05-31,06-01,2.3858873298314625,1.6754463288449348,L,90%,Low,High,pos_change,16_Jun_m1,05-29,06-01
0,2016,06-28,07-14,2.232798745115386,13.389778872735285,W,100%,Open,High,pos_change,16_Jul_m1,06-27,07-14
0,2016,06-24,06-27,2.659185430481449,1.4441361435788582,L,90%,Low,High,pos_change,16_Jul_m1,06-24,06-27
0,2016,08-03,08-11,1.2816700892821105,4.604690453673894,W,100%,Low,High,pos_change,16_Aug_m1,08-02,08-14
0,2016,07-19,07-20,2.967147953383986,1.8735344795471036,L,90%,Low,High,pos_change,16_Aug_m1,07-19,07-20
0,2016,09-02,09-06,0.9577006234351044,0.8036970416958661,L,100%,Low,High,pos_change,16_Sep_m1,09-02,09-16
0,2016,09-06,09-07,1.995345485730089,0.279970448286126,L,90%,Low,High,pos_change,16_Sep_m1,09-06,09-07
0,2016,10-11,10-12,1.6400226973710963,1.2538004747604172,L,100%,Low,High,pos_change,16_Oct_m1,10-08,10-18
0,2016,11-11,11-17,1.525462181140328,2.387222093624368,W,100%,Low,High,pos_change,16_Nov_m1,11-08,11-17
0,2016,10-24,10-25,2.730027205849624,0.8393056641874664,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-01,12-13,2.4627588577759285,5.3011027894314005,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-13
0,2016,12-01,12-02,3.2637274192046686,1.0743598518253763,L,90%,Low,High,pos_change,16_Dec_m1,11-29,12-02
0,2017,01-05,01-06,2.119497815211879,1.464894347226015,L,100%,Low,High,pos_change,17_Jan_m1,01-04,01-20
0,2017,01-03,01-04,2.389629232076413,1.2357565608286802,L,90%,Low,High,pos_change,17_Jan_m1,01-03,01-04
0,2017,01-30,02-09,1.899898448785917,6.071921444464869,W,100%,Low,High,pos_change,17_Feb_m1,01-28,02-16
0,2017,01-25,01-26,2.875989732727625,0.5123982153069894,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-26
0,2017,03-01,03-02,1.660275059636919,1.830506405587924,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-12
0,2017,02-22,02-23,2.5537621085021605,1.2278991029825157,L,90%,Low,High,pos_change,17_Mar_m1,02-22,02-23
0,2017,03-28,03-29,1.7557653715433754,1.3296492443834658,L,100%,Low,High,pos_change,17_Apr_m1,03-27,04-11
0,2017,03-22,03-23,2.752298352949876,1.757061834407092,L,90%,Low,High,pos_change,17_Apr_m1,03-20,03-23
0,2017,04-28,05-08,2.2177834710727424,4.052714500098436,W,100%,Low,High,pos_change,17_May_m1,04-27,05-16
0,2017,04-24,04-25,3.1751029419638948,0.5927768124465777,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,05-31,06-02,0.9336115265903786,2.7253624948577566,W,100%,Low,High,pos_change,17_Jun_m1,05-31,06-07
0,2017,05-30,06-01,2.3858873298314625,2.486648827588868,W,90%,Low,High,pos_change,17_Jun_m1,05-29,06-01
0,2017,06-29,06-30,2.489020178520015,1.969087152259396,L,100%,Open,High,pos_change,17_Jul_m1,06-27,07-21
0,2017,06-26,06-27,2.659185430481449,0.0,L,90%,Low,High,pos_change,17_Jul_m1,06-24,06-27
0,2017,08-02,08-04,1.6095407684267222,7.69578061103963,W,100%,Low,High,pos_change,17_Aug_m1,08-02,08-18
