,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-12,1.9819757278725656,4.2654102435062216,W,100%,Open,High,pos_change,16_Jan_m1,01-06,01-14
0,2016,01-20,02-02,4.2193216505604845,9.8014825773412,W,100%,Low,High,pos_change,16_Feb_m1,01-20,02-11
0,2016,01-25,01-26,8.179422291437003,1.9488027685387332,L,90%,Low,High,pos_change,16_Feb_m1,01-25,01-26
0,2016,02-25,03-07,2.126754551817291,8.761103645003448,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-14
0,2016,02-22,02-23,5.441585308668682,2.071172952326666,L,90%,Low,Close,pos_change,16_Mar_m1,02-22,02-24
0,2016,04-04,04-07,2.7039782339928027,1.0785112709855895,L,100%,Low,High,pos_change,16_Apr_m1,04-01,04-09
0,2016,03-28,03-29,5.432351342405864,1.2496331638178422,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,04-29,05-04,3.0218484965774577,3.483867029989919,W,100%,Low,High,pos_change,16_May_m1,04-26,05-10
0,2016,06-06,06-07,2.4003260960911077,0.828692454289853,L,100%,Low,High,pos_change,16_Jun_m1,06-03,06-11
0,2016,05-23,05-25,4.3432981425450645,5.911413318022676,W,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-28,07-08,2.919702915301688,8.615852291131986,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-08
0,2016,06-27,06-28,6.0846541891078685,2.104468022522256,L,90%,Low,High,pos_change,16_Jul_m1,06-27,06-28
0,2016,08-03,08-19,4.21962338834132,11.86079303002806,W,100%,Low,High,pos_change,16_Aug_m1,08-01,08-19
0,2016,08-03,08-04,5.20656440074978,5.3536890776875,W,90%,Low,High,pos_change,16_Aug_m1,08-01,08-04
0,2016,08-26,09-01,2.718616365602375,2.100067524413561,L,100%,Low,High,pos_change,16_Sep_m1,08-26,09-10
0,2016,08-30,08-31,4.257176616200567,1.1863979945131922,L,90%,Low,High,pos_change,16_Sep_m1,08-30,08-31
0,2016,09-26,09-27,4.287026078423473,1.1192962659851988,L,100%,Low,High,pos_change,16_Oct_m1,09-23,10-20
0,2016,09-20,09-21,5.191574980022297,1.40278074476454,L,90%,Low,Close,pos_change,16_Oct_m1,09-20,09-21
0,2016,11-04,11-14,3.250120343549164,9.63020008174855,W,100%,Low,High,pos_change,16_Nov_m1,11-01,11-15
0,2016,10-27,10-28,7.666911582868171,2.7743301875725423,L,90%,Low,Open,pos_change,16_Nov_m1,10-27,10-28
0,2016,11-21,11-28,3.176411797779491,6.144033810344601,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-01
0,2016,11-21,11-23,4.312575521152503,4.492100243674075,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-24
0,2017,01-09,01-10,1.9819757278725656,2.753053062715799,W,100%,Open,High,pos_change,17_Jan_m1,01-06,01-14
0,2017,01-27,02-02,3.4658752082145043,2.9106367395279253,L,100%,Low,High,pos_change,17_Feb_m1,01-24,02-06
0,2017,01-23,01-24,6.423264116354549,2.0445141509855254,L,90%,Low,High,pos_change,17_Feb_m1,01-23,01-24
0,2017,02-23,03-02,2.7861653385378293,12.050280781773372,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-13
0,2017,02-23,02-24,5.441585308668682,7.615275407133174,W,90%,Low,Close,pos_change,17_Mar_m1,02-21,02-24
0,2017,04-05,04-07,2.266444687417298,12.128246503179476,W,100%,Low,High,pos_change,17_Apr_m1,04-03,04-18
0,2017,03-28,03-29,5.010356152936981,4.576568180414629,L,90%,Low,High,pos_change,17_Apr_m1,03-28,03-29
0,2017,04-26,05-10,3.0218484965774577,4.660685348169986,W,100%,Low,High,pos_change,17_May_m1,04-26,05-10
0,2017,05-22,06-01,2.2571599570558254,8.629129952540405,W,100%,Low,High,pos_change,17_Jun_m1,05-22,06-03
0,2017,05-24,05-25,4.3432981425450645,2.6863297841725733,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,06-26,07-05,2.919702915301688,4.752995847305031,W,100%,Low,High,pos_change,17_Jul_m1,06-26,07-08
0,2017,06-27,06-28,6.337604662996715,2.995900158855801,L,90%,Low,High,pos_change,17_Jul_m1,06-27,06-28
0,2017,08-03,08-08,3.202842696100796,6.564929697936589,W,100%,Low,High,pos_change,17_Aug_m1,08-01,08-18
0,2017,08-03,08-04,5.181347355080535,5.111435738243745,L,90%,Low,High,pos_change,17_Aug_m1,08-02,08-05
0,2017,08-29,09-01,2.177712502317106,5.974314371525958,W,100%,Low,High,pos_change,17_Sep_m1,08-28,09-02
0,2017,09-21,10-20,4.5072323350836285,19.694905264365488,W,100%,Low,High,pos_change,17_Oct_m1,09-18,10-20
0,2017,09-21,09-22,5.090475675902346,8.60800851599232,W,90%,Low,High,pos_change,17_Oct_m1,09-21,09-24
0,2017,10-26,11-06,3.436569692108448,12.245372273385572,W,100%,Low,High,pos_change,17_Nov_m1,10-23,11-07
0,2017,11-22,11-30,3.6467311955522583,17.21336174510004,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-02
0,2017,11-20,11-21,4.883643919830843,1.9416447894540785,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-09,01-12,1.9819757278725656,8.531911322411071,W,100%,Open,High,pos_change,18_Jan_m1,01-06,01-15
0,2018,01-04,01-05,4.035086380807977,4.2319388642587175,W,90%,Low,High,pos_change,18_Jan_m1,01-03,01-06
0,2018,01-25,01-29,2.9106367395279253,2.482542174562348,L,100%,Low,High,pos_change,18_Feb_m1,01-24,02-05
0,2018,02-22,02-27,2.7861653385378293,6.75417882199272,W,100%,Low,High,pos_change,18_Mar_m1,02-20,03-13
0,2018,02-22,02-23,5.441585308668682,3.218294457962852,L,90%,Low,Close,pos_change,18_Mar_m1,02-21,02-24
0,2018,03-20,03-21,3.897930257707068,2.871667374671921,L,100%,Low,High,pos_change,18_Apr_m1,03-19,04-20
0,2018,03-21,03-22,5.37428624522632,0.0,L,90%,Low,High,pos_change,18_Apr_m1,03-21,03-22
0,2018,04-27,04-30,3.0218484965774577,3.336190458579479,W,100%,Low,High,pos_change,18_May_m1,04-26,05-10
0,2018,04-24,04-25,4.48149389822392,2.3912470554514784,L,90%,Low,High,pos_change,18_May_m1,04-24,04-25
0,2018,05-24,05-30,2.2571599570558254,11.6936743197745,W,100%,Low,High,pos_change,18_Jun_m1,05-21,06-03
0,2018,05-24,05-25,4.3432981425450645,9.263230445739982,W,90%,Low,High,pos_change,18_Jun_m1,05-23,05-25
0,2018,06-28,06-29,2.919702915301688,2.7777789320676405,L,100%,Low,High,pos_change,18_Jul_m1,06-26,07-08
0,2018,06-27,06-28,6.0846541891078685,2.314810582418651,L,90%,Low,High,pos_change,18_Jul_m1,06-27,06-28
0,2018,08-06,08-09,3.078893762272669,2.9107990077250303,L,100%,Low,High,pos_change,18_Aug_m1,08-03,08-17
