,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,02-02,02-12,2.082465619465283,6.514085165806457,W,100%,Low,High,pos_change,16_Feb_m1,02-01,02-13
0,2016,02-25,03-18,2.9588386958471062,9.615384449412756,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-18
0,2016,02-24,02-26,4.170680594248325,4.048491327409908,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-27
0,2016,03-29,04-11,1.5282976176182612,3.988122809624108,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-11
0,2016,03-29,03-30,2.946335130986548,2.566820322739253,L,90%,Low,High,pos_change,16_Apr_m1,03-27,03-30
0,2016,04-28,05-10,2.618597814301553,6.20922093697993,W,100%,Low,High,pos_change,16_May_m1,04-28,05-19
0,2016,04-21,04-22,5.7915058768063385,1.2277688309689452,L,90%,Low,High,pos_change,16_May_m1,04-21,04-22
0,2016,06-10,06-17,1.7765738297287257,0.8223021307524577,L,100%,Low,High,pos_change,16_Jun_m1,06-09,06-17
0,2016,05-26,05-27,3.5098166051893727,1.2581224877028647,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-24,07-13,2.1623323259112084,8.82110209999397,W,100%,Low,High,pos_change,16_Jul_m1,06-22,07-13
0,2016,06-28,06-29,3.29068212211896,3.61719710906194,W,90%,Low,High,pos_change,16_Jul_m1,06-28,06-29
0,2016,07-27,07-28,1.913733606186948,2.726590362201128,W,100%,Close,High,pos_change,16_Aug_m1,07-27,08-05
0,2016,07-27,07-28,3.0964619402937044,2.726590362201128,L,90%,Low,High,pos_change,16_Aug_m1,07-26,07-29
0,2016,08-29,08-31,2.895419593630873,1.7784689576334098,L,100%,Low,High,pos_change,16_Sep_m1,08-28,09-12
0,2016,08-31,09-01,4.000003212376645,0.8245451439965884,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-22,09-23,2.3836928154197032,0.508130073421291,L,100%,Low,High,pos_change,16_Oct_m1,09-22,10-21
0,2016,09-20,09-21,3.713260667184474,2.4989734509035366,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,11-01,11-15,2.520435135335997,10.199116222430266,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-18
0,2016,11-21,11-25,1.7341040462427744,2.0816123495555194,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-04
0,2016,11-21,11-23,3.7319727040452535,2.019784692890535,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-24
0,2017,01-05,01-06,1.9230769230769231,0.5742465209858036,L,100%,Low,High,pos_change,17_Jan_m1,01-05,01-18
0,2017,01-04,01-05,2.4509781005518687,0.6888171563688905,L,90%,Close,High,pos_change,17_Jan_m1,01-04,01-05
0,2017,02-02,02-13,2.082465619465283,2.6931045088446024,W,100%,Low,High,pos_change,17_Feb_m1,02-01,02-13
0,2017,02-28,03-16,2.9365954892542225,2.917177257898824,L,100%,Low,High,pos_change,17_Mar_m1,02-25,03-16
0,2017,02-23,02-24,4.170680594248325,1.3325164865620678,L,90%,Low,High,pos_change,17_Mar_m1,02-23,02-26
0,2017,03-22,04-21,1.662623928933262,6.1488693365073095,W,100%,Low,High,pos_change,17_Apr_m1,03-20,04-21
0,2017,03-21,03-22,4.164863442935685,0.3012078879055022,L,90%,Low,Open,pos_change,17_Apr_m1,03-21,03-22
0,2017,04-28,05-08,2.618597814301553,3.095145065269295,W,100%,Low,High,pos_change,17_May_m1,04-28,05-19
0,2017,05-24,06-02,1.427720278066704,2.927971917632621,W,100%,Low,High,pos_change,17_Jun_m1,05-24,06-02
0,2017,05-23,05-25,3.52725817890406,2.2283021756226677,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,06-23,07-13,2.1623323259112084,1.75337935494903,L,100%,Low,High,pos_change,17_Jul_m1,06-22,07-13
0,2017,06-28,06-29,3.391231118589755,0.1901834740181254,L,90%,Low,High,pos_change,17_Jul_m1,06-28,06-29
0,2017,07-28,07-31,1.913733606186948,1.8233955431426148,L,100%,Close,High,pos_change,17_Aug_m1,07-27,08-05
0,2017,07-27,07-28,3.0964619402937044,0.0,L,90%,Low,High,pos_change,17_Aug_m1,07-27,07-30
0,2017,08-29,09-06,2.015115100228749,4.322508934422238,W,100%,Low,High,pos_change,17_Sep_m1,08-29,09-12
0,2017,08-30,09-01,3.950004577636719,3.010849381186321,L,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,09-21,10-05,1.6187077970165946,6.938065394883797,W,100%,Low,High,pos_change,17_Oct_m1,09-21,10-09
0,2017,09-27,09-28,2.6666658418672577,1.504562237406103,L,90%,Low,High,pos_change,17_Oct_m1,09-27,09-28
0,2017,10-25,10-27,2.68123600740968,9.475678755430362,W,100%,Low,High,pos_change,17_Nov_m1,10-23,11-05
0,2017,10-23,10-24,5.436409945458388,0.8597789084171201,L,90%,Low,High,pos_change,17_Nov_m1,10-23,10-24
0,2017,11-24,12-04,1.8233955431426148,5.924170849794933,W,100%,Low,Close,pos_change,17_Dec_m1,11-23,12-07
0,2017,11-21,11-24,3.7319727040452535,1.670999593032747,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-24
0,2018,01-11,01-16,1.612907795963885,3.6210552014802633,W,100%,Low,High,pos_change,18_Jan_m1,01-11,01-17
0,2018,01-04,01-05,2.3430537561148777,0.9671973742435274,L,90%,Low,High,pos_change,18_Jan_m1,01-04,01-07
0,2018,02-02,02-07,2.082465619465283,5.00000383172723,W,100%,Low,High,pos_change,18_Feb_m1,02-01,02-13
0,2018,01-29,01-30,4.891299594383921,0.0,L,90%,Low,High,pos_change,18_Feb_m1,01-29,01-30
0,2018,02-28,03-15,2.917177257898824,9.157845435064212,W,100%,Low,High,pos_change,18_Mar_m1,02-25,03-16
0,2018,03-26,04-05,1.697850868868,5.133563585687893,W,100%,Low,High,pos_change,18_Apr_m1,03-26,04-12
0,2018,03-21,03-22,4.164863442935685,0.734144629046369,L,90%,Low,Open,pos_change,18_Apr_m1,03-21,03-22
0,2018,05-01,05-04,2.4390295477494384,5.281779551949969,W,100%,Low,High,pos_change,18_May_m1,04-28,05-04
0,2018,04-25,04-26,4.032556880867628,2.8290585736671927,L,90%,Low,High,pos_change,18_May_m1,04-23,04-26
0,2018,05-24,05-31,1.427720278066704,4.285715473271394,W,100%,Low,High,pos_change,18_Jun_m1,05-24,06-02
