,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-28,02-01,1.906819554327652,3.7998839277778496,W,100%,Low,High,pos_change,16_Feb_m1,01-28,02-08
0,2016,01-19,01-20,8.305078547319678,1.1298106681314126,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-20
0,2016,04-01,04-04,1.9252539457486213,3.122933200849541,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-10
0,2016,03-22,03-23,4.636158765012708,1.688410961462775,L,90%,Low,High,pos_change,16_Apr_m1,03-22,03-23
0,2016,04-18,05-02,2.911395499607274,5.0616401583586965,W,100%,Close,High,pos_change,16_May_m1,04-18,05-14
0,2016,04-18,04-19,4.376571758352879,2.2842237989967025,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-27,06-08,1.6971319551618684,3.86852749306868,W,100%,Low,High,pos_change,16_Jun_m1,05-26,06-09
0,2016,05-23,05-25,4.092138466147538,2.098527648915479,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-24,07-08,1.4559378610686335,4.374151615196457,W,100%,Low,High,pos_change,16_Jul_m1,06-22,07-10
0,2016,06-29,07-01,2.9829150984001607,3.874238418057008,W,90%,Low,High,pos_change,16_Jul_m1,06-29,07-01
0,2016,08-11,08-15,1.94643903909604,2.420443426507872,W,100%,Low,High,pos_change,16_Aug_m1,08-10,08-18
0,2016,07-28,07-29,4.292931384960575,1.3786661475219577,L,90%,Low,High,pos_change,16_Aug_m1,07-27,07-30
0,2016,08-29,09-06,1.7484056625616873,3.5777192107221385,W,100%,Low,High,pos_change,16_Sep_m1,08-27,09-16
0,2016,08-31,09-01,3.676980404202494,1.805333025778974,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,09-29,10-10,2.2474499332882614,3.4906932629079783,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-12
0,2016,10-27,11-11,5.7728836217981,16.98728605895293,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-12
