,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-08,1.510703363424833,2.141713762393407,W,100%,Low,High,pos_change,16_Jan_m1,01-05,01-11
0,2016,01-05,01-06,3.1642724505328546,0.6169792818879325,L,90%,Low,High,pos_change,16_Jan_m1,01-05,01-06
0,2016,01-20,01-27,2.830975554597499,8.075581570074412,W,100%,Low,High,pos_change,16_Feb_m1,01-20,02-19
0,2016,01-19,01-20,4.284431962677921,2.271677037283989,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-20
0,2016,02-25,03-04,1.191086428491723,4.104439454796414,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-04
0,2016,03-24,04-07,3.5964171952846367,7.052421339557294,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-09
0,2016,03-22,03-23,5.058503949478495,1.299965685267105,L,90%,Low,High,pos_change,16_Apr_m1,03-22,03-23
0,2016,04-20,05-11,1.7776405026527415,8.617338216834037,W,100%,Low,High,pos_change,16_May_m1,04-20,05-13
0,2016,04-18,04-19,5.110562431200683,0.8928550772360513,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-27,06-09,1.8260256127819268,3.659784493125516,W,100%,Low,High,pos_change,16_Jun_m1,05-27,06-17
0,2016,06-07,06-08,2.701880365503741,2.1359223300970878,L,90%,Low,High,pos_change,16_Jun_m1,06-07,06-08
0,2016,06-24,07-01,1.554141682424363,4.104915267108006,W,100%,Low,High,pos_change,16_Jul_m1,06-21,07-03
0,2016,06-21,06-23,3.019308824913756,3.5242316395041544,W,90%,Low,High,pos_change,16_Jul_m1,06-21,06-24
0,2016,08-10,08-11,1.891957718857935,1.4675265272538052,L,100%,Low,High,pos_change,16_Aug_m1,08-07,08-17
0,2016,07-18,07-19,3.0447887384020005,1.2161930990953034,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-25,08-29,1.894981382448055,2.234380683520576,W,100%,Low,High,pos_change,16_Sep_m1,08-24,09-05
0,2016,08-22,08-23,2.380952380952381,1.0623639610543898,L,90%,Low,High,pos_change,16_Sep_m1,08-22,08-24
0,2016,09-29,10-10,2.040818854159396,3.9578242396410586,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-11
0,2016,09-26,09-28,4.371892246094633,1.3860365071786025,L,90%,Low,High,pos_change,16_Oct_m1,09-26,09-29
0,2016,10-28,11-15,3.1586706858279525,5.663937427958504,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-16
0,2016,10-27,10-28,4.6001434088617605,0.8149059923678971,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-30
0,2016,12-01,12-12,1.7241379310344829,6.039232256308074,W,100%,Low,Close,pos_change,16_Dec_m1,12-01,12-13
0,2016,11-28,11-29,4.43224657403882,2.4698236134729585,L,90%,Low,High,pos_change,16_Dec_m1,11-28,12-01
0,2017,01-09,01-13,2.13286029903313,5.060261841947051,W,100%,Low,High,pos_change,17_Jan_m1,01-08,01-16
0,2017,01-31,02-16,2.426766439947082,7.31521730040337,W,100%,Low,High,pos_change,17_Feb_m1,01-29,02-17
0,2017,01-25,01-26,3.880900443844099,2.000905380817772,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-27
0,2017,02-21,02-27,1.6316207246456589,3.5750261342771186,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-05
0,2017,03-23,04-20,3.7511789993273448,3.9486795835970936,W,100%,Low,High,pos_change,17_Apr_m1,03-20,04-21
