,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-05,01-06,0.9200681600216204,2.4254789914542867,W,100%,Close,High,pos_change,16_Jan_m1,01-05,01-12
0,2016,01-05,01-06,2.3557104199873966,2.4254789914542867,W,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,01-21,01-27,1.93901339272776,3.3006623439424745,W,100%,Low,High,pos_change,16_Feb_m1,01-21,02-18
0,2016,01-28,01-29,3.3333295657310957,3.762734803983672,W,90%,Low,High,pos_change,16_Feb_m1,01-28,01-29
0,2016,03-01,03-11,2.2951545125251407,4.300022699200347,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-18
0,2016,02-25,02-26,3.7602390392075886,2.738246393360513,L,90%,Low,High,pos_change,16_Mar_m1,02-25,02-28
0,2016,03-28,04-15,1.8857468525991556,8.340441852314733,W,100%,Low,High,pos_change,16_Apr_m1,03-28,04-15
0,2016,03-28,03-29,3.5866485594979665,2.2165462473252946,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,05-04,05-10,1.9999992556688264,3.3498594291928674,W,100%,Low,High,pos_change,16_May_m1,05-01,05-13
0,2016,04-25,04-26,2.8144731499868425,1.490604670296933,L,90%,Low,High,pos_change,16_May_m1,04-24,04-27
0,2016,05-23,05-27,1.430973825397586,2.435069123843696,W,100%,Low,High,pos_change,16_Jun_m1,05-23,05-29
0,2016,06-02,06-03,2.296682862381569,0.9345753457699592,L,90%,Low,High,pos_change,16_Jun_m1,06-02,06-05
0,2016,06-28,07-14,2.0806466379473285,9.41017280190678,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-14
0,2016,06-22,06-24,2.5193798449612403,3.613796891837284,W,90%,Low,High,pos_change,16_Jul_m1,06-22,06-25
0,2016,07-21,07-27,2.379054212127984,4.46138445962251,W,100%,Low,High,pos_change,16_Aug_m1,07-21,07-29
0,2016,07-19,07-22,4.033581032203174,2.6765483845299123,L,90%,Low,High,pos_change,16_Aug_m1,07-19,07-22
0,2016,08-29,08-30,1.6368493281176062,0.7046705968718018,L,100%,Low,High,pos_change,16_Sep_m1,08-27,09-05
0,2016,08-22,08-23,3.6764704851130734,1.2022331283154726,L,90%,Low,High,pos_change,16_Sep_m1,08-22,08-23
0,2016,10-03,10-10,1.3608244276538335,4.454756322756408,W,100%,Low,High,pos_change,16_Oct_m1,09-30,10-10
0,2016,09-30,10-03,3.113398601099388,1.2995138465457328,L,90%,Low,High,pos_change,16_Oct_m1,09-30,10-03
0,2016,11-01,11-10,3.0385055884915437,10.925537426348733,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-18
0,2016,10-26,10-27,3.6043828979247294,1.3748793827433432,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,11-23,11-25,2.367188456562865,7.728262793530492,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-11
0,2016,11-30,12-01,3.777619387027797,0.7334313891185485,L,90%,Low,High,pos_change,16_Dec_m1,11-30,12-01
0,2017,01-09,01-13,1.8276682074486967,3.4564965388860154,W,100%,Low,High,pos_change,17_Jan_m1,01-07,01-18
0,2017,01-05,01-06,3.2850256288685085,2.2034117733765397,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2017,01-24,02-08,1.5238797136162714,6.040182644644252,W,100%,Low,High,pos_change,17_Feb_m1,01-24,02-11
0,2017,01-27,01-30,3.017164483592269,0.8992056767362863,L,90%,Low,High,pos_change,17_Feb_m1,01-27,01-30
0,2017,02-28,03-09,2.1965305513141447,2.651967502364669,W,100%,Low,High,pos_change,17_Mar_m1,02-26,03-12
0,2017,02-24,02-27,3.6513595756654658,1.4105103261686849,L,90%,Low,High,pos_change,17_Mar_m1,02-24,02-27
0,2017,03-28,04-05,1.8857468525991556,3.1889579676106603,W,100%,Low,High,pos_change,17_Apr_m1,03-28,04-15
0,2017,03-30,03-31,3.770898053812336,1.0228360985048457,L,90%,Low,High,pos_change,17_Apr_m1,03-29,04-01
0,2017,05-03,05-05,1.9999992556688264,2.301825204030432,W,100%,Low,High,pos_change,17_May_m1,05-01,05-13
0,2017,04-25,04-26,2.8144731499868425,1.5031044527610635,L,90%,Low,High,pos_change,17_May_m1,04-24,04-27
0,2017,05-23,05-25,1.430973825397586,1.869647499570339,W,100%,Low,High,pos_change,17_Jun_m1,05-23,05-29
0,2017,06-02,06-05,1.8691628162098903,0.2127636617006216,L,90%,Low,High,pos_change,17_Jun_m1,06-02,06-05
0,2017,06-30,07-14,2.1568679716240915,3.1463436964081555,W,100%,Low,High,pos_change,17_Jul_m1,06-30,07-18
0,2017,08-08,08-09,1.838185331968042,1.359794986768893,L,100%,Low,High,pos_change,17_Aug_m1,08-05,08-13
0,2017,07-26,07-27,2.6460905730569926,2.4802592713758846,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-27
0,2017,08-29,09-08,1.6368493281176062,6.400409401187283,W,100%,Low,High,pos_change,17_Sep_m1,08-27,09-08
0,2017,08-30,09-01,3.359173126614987,3.758728996155754,W,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,10-02,10-05,1.3608244276538335,3.907159502667396,W,100%,Low,High,pos_change,17_Oct_m1,09-30,10-10
0,2017,10-02,10-03,3.113398601099388,0.9563794206376106,L,90%,Low,High,pos_change,17_Oct_m1,09-30,10-03
0,2017,10-31,11-08,2.7529512930521567,3.267251748729648,W,100%,Low,High,pos_change,17_Nov_m1,10-28,11-09
0,2017,10-26,10-27,3.6043828979247294,1.1690274437952173,L,90%,Low,High,pos_change,17_Nov_m1,10-26,10-27
0,2017,11-20,12-11,2.367188456562865,4.85389598874586,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-11
0,2017,11-30,12-01,3.777619387027797,1.2926992068668894,L,90%,Low,High,pos_change,17_Dec_m1,11-30,12-01
0,2018,01-10,01-12,1.8276682074486967,2.245883549324005,W,100%,Low,High,pos_change,18_Jan_m1,01-09,01-18
0,2018,01-05,01-08,3.2850256288685085,0.9077141586486108,L,90%,Low,High,pos_change,18_Jan_m1,01-05,01-08
0,2018,01-24,01-29,1.5238797136162714,4.8054142268837845,W,100%,Low,High,pos_change,18_Feb_m1,01-24,02-11
0,2018,01-29,01-30,3.017164483592269,0.3346807967922909,L,90%,Low,High,pos_change,18_Feb_m1,01-27,01-30
0,2018,03-01,03-12,2.1965305513141447,5.8784622178800765,W,100%,Low,High,pos_change,18_Mar_m1,02-26,03-12
0,2018,03-28,04-13,1.8857468525991556,5.799573881665123,W,100%,Low,High,pos_change,18_Apr_m1,03-28,04-15
0,2018,05-04,05-11,1.9999992556688264,6.952913302600665,W,100%,Low,High,pos_change,18_May_m1,05-01,05-13
0,2018,04-27,04-30,2.9991301223501825,1.007528354852246,L,90%,Low,High,pos_change,18_May_m1,04-27,04-30
0,2018,05-23,05-25,1.430973825397586,2.279133190100279,W,100%,Low,High,pos_change,18_Jun_m1,05-23,05-29
0,2018,06-04,06-05,1.8691628162098903,1.5884261832570423,L,90%,Low,High,pos_change,18_Jun_m1,06-02,06-05
0,2018,07-02,07-18,2.1568679716240915,6.398297990229583,W,100%,Low,High,pos_change,18_Jul_m1,06-30,07-18
0,2018,06-21,06-22,3.1011525291120736,1.4203533863083224,L,90%,Low,High,pos_change,18_Jul_m1,06-21,06-24
0,2018,07-23,08-01,1.5396663812280258,12.68005051304802,W,100%,Low,Open,pos_change,18_Aug_m1,07-23,08-01
0,2018,07-23,07-24,2.969817601681658,6.340029583049297,W,90%,Low,High,pos_change,18_Aug_m1,07-23,07-24
0,2018,08-22,09-10,3.072290464831192,3.542961841527039,W,100%,Low,High,pos_change,18_Sep_m1,08-21,09-21
0,2018,08-22,08-23,4.062498203095318,1.056167506486084,L,90%,Low,High,pos_change,18_Sep_m1,08-20,08-23
0,2018,10-01,10-08,1.3608244276538335,8.95076328161911,W,100%,Low,High,pos_change,18_Oct_m1,09-30,10-10
0,2018,10-01,10-03,3.113398601099388,2.41054083946579,L,90%,Low,High,pos_change,18_Oct_m1,09-30,10-03
0,2018,10-29,11-09,2.7529512930521567,5.87017656126619,W,100%,Low,High,pos_change,18_Nov_m1,10-28,11-09
0,2018,10-29,10-31,3.069419610126128,3.885227784431069,W,90%,Low,High,pos_change,18_Nov_m1,10-29,10-31
0,2018,11-30,12-04,2.6046729482259803,3.1147780753444385,W,100%,Low,High,pos_change,18_Dec_m1,11-30,12-17
0,2019,01-07,01-17,1.8276682074486967,6.381074254127124,W,100%,Low,High,pos_change,19_Jan_m1,01-07,01-18
0,2019,01-07,01-08,2.350614230901737,3.900040159007336,W,90%,Low,High,pos_change,19_Jan_m1,01-06,01-08
0,2019,01-25,02-04,1.5238797136162714,6.839701297565719,W,100%,Low,High,pos_change,19_Feb_m1,01-24,02-11
0,2019,02-26,03-04,2.1965305513141447,5.830355846419521,W,100%,Low,High,pos_change,19_Mar_m1,02-26,03-12
0,2019,03-18,03-26,2.110553187663652,6.987858204706478,W,100%,Low,High,pos_change,19_Apr_m1,03-18,04-10
