,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.0769183819110577,3.210333670296925,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-10
0,2016,01-04,01-05,2.184612567608173,3.210333670296925,W,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,02-08,02-10,3.1141855723527634,6.055101646729685,W,100%,Low,High,pos_change,16_Feb_m1,02-05,02-16
0,2016,01-25,01-26,8.782737919803527,3.098954633913253,L,90%,Low,High,pos_change,16_Feb_m1,01-25,01-26
0,2016,02-29,03-17,2.1056450248668543,12.674517445478962,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-17
0,2016,02-24,02-25,3.636363636363636,6.5573819920157135,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-29,03-30,2.5510204081632653,5.935255606291859,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-10
0,2016,03-21,03-22,3.1730088131099703,0.9999996278344132,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-25,05-18,3.4031413612565444,5.583873623569102,W,100%,Low,High,pos_change,16_May_m1,04-22,05-20
0,2016,04-20,04-21,4.5185377635364645,4.758492809633105,W,90%,Low,High,pos_change,16_May_m1,04-20,04-21
0,2016,06-03,06-08,2.076312360824473,5.34857177734375,W,100%,Low,High,pos_change,16_Jun_m1,06-03,06-14
0,2016,05-26,05-27,3.746905025233096,2.327641815237749,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-27
0,2016,06-27,07-08,2.73224043715847,11.426137587162373,W,100%,Low,Open,pos_change,16_Jul_m1,06-26,07-08
0,2016,06-27,06-29,3.275824350314331,7.740287799274462,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-28,08-03,2.714764417753147,4.691872815999004,W,100%,Low,High,pos_change,16_Aug_m1,07-27,08-04
0,2016,07-18,07-19,4.3596201770800045,2.6023147911252478,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-22,08-31,4.03040090695266,7.090786507651009,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-16
0,2016,08-22,08-23,4.23728813559322,2.606583373633288,L,90%,Low,High,pos_change,16_Sep_m1,08-22,08-23
0,2016,09-29,10-06,3.313610019516653,9.697231222869034,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-19
0,2016,09-19,09-20,4.866499145266288,1.621972259463093,L,90%,Low,High,pos_change,16_Oct_m1,09-19,09-20
