,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-05,01-14,1.2195121951219512,3.006536159558562,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-15
0,2016,02-12,02-18,2.049492524314638,2.355780020895001,W,100%,Low,High,pos_change,16_Feb_m1,02-09,02-19
0,2016,02-23,03-16,1.8018018018018016,7.515659258895196,W,100%,Low,High,pos_change,16_Mar_m1,02-22,03-16
0,2016,02-29,03-01,2.625154622753086,1.861155381135042,L,90%,Low,High,pos_change,16_Mar_m1,02-27,03-02
0,2016,03-23,04-04,1.7342754497243231,5.1909878565917245,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-06
0,2016,03-30,03-31,2.341739148531312,1.00529528275193,L,90%,Low,High,pos_change,16_Apr_m1,03-30,03-31
0,2016,04-27,05-04,1.7950429352651838,6.485690491535627,W,100%,Low,High,pos_change,16_May_m1,04-26,05-04
0,2016,04-21,04-22,3.0098835103543067,1.4115267803733609,L,90%,Low,High,pos_change,16_May_m1,04-20,04-23
0,2016,05-26,06-07,1.803019339057501,6.406384106357581,W,100%,Low,Open,pos_change,16_Jun_m1,05-26,06-07
0,2016,05-26,05-27,2.461657328894553,1.5672249424360385,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-29
0,2016,06-24,07-06,2.3504273504273505,7.44429892266554,W,100%,Low,High,pos_change,16_Jul_m1,06-24,07-09
0,2016,06-23,06-24,2.9345372460496613,2.6753215046672074,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-28,08-03,1.6637143835557244,2.864387949966257,W,100%,Low,High,pos_change,16_Aug_m1,07-28,08-19
0,2016,07-18,07-19,2.3904382470119523,0.888556217927586,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,09-01,09-07,2.055921078429989,4.179977735412567,W,100%,Low,High,pos_change,16_Sep_m1,08-31,09-16
0,2016,08-24,08-25,2.5052192066805845,1.991609865231024,L,90%,Low,Close,pos_change,16_Sep_m1,08-24,08-25
0,2016,09-29,09-30,2.4531036147904293,1.581541652004264,L,100%,Low,High,pos_change,16_Oct_m1,09-27,10-19
0,2016,09-30,10-03,4.622277396765485,0.4981710656708046,L,90%,Low,High,pos_change,16_Oct_m1,09-30,10-03
0,2016,10-27,11-08,2.792867551573881,5.36784023175065,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-15
0,2016,11-28,12-14,2.2,3.699639386198616,W,100%,Low,Close,pos_change,16_Dec_m1,11-26,12-16
0,2017,01-10,01-17,1.747640647791849,2.675680212072424,W,100%,Low,High,pos_change,17_Jan_m1,01-08,01-17
