,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-28,02-12,2.799996099853635,18.03615185754911,W,100%,Low,High,pos_change,16_Feb_m1,01-28,02-13
0,2016,01-28,01-29,5.2091109453054765,4.478225742623914,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-31
0,2016,02-24,03-10,1.7881748367655814,10.987868403391868,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-10
0,2016,02-24,02-25,3.3716185814343533,6.100520643362899,W,90%,Low,High,pos_change,16_Mar_m1,02-23,02-26
0,2016,03-29,04-04,1.744185096393477,5.893787731980203,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-13
0,2016,03-23,03-24,3.408837076838303,0.8740707772695906,L,90%,Low,High,pos_change,16_Apr_m1,03-22,03-25
0,2016,04-25,04-26,2.1865889699193874,2.2895810358988107,W,100%,Low,High,pos_change,16_May_m1,04-24,05-01
0,2016,05-26,06-06,1.1510383484180946,4.629978351774294,W,100%,Low,High,pos_change,16_Jun_m1,05-26,06-13
0,2016,05-23,05-24,2.861764396310784,1.301116678189936,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-24,07-13,2.737747974943926,12.080780514861706,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-13
0,2016,06-23,06-24,3.539577536111775,0.212990648845878,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-27,07-29,2.30143045254642,4.029059728167551,W,100%,Low,High,pos_change,16_Aug_m1,07-26,08-07
0,2016,07-27,07-29,4.131056484257472,4.029059728167551,L,90%,Low,High,pos_change,16_Aug_m1,07-27,07-30
0,2016,08-22,08-26,2.222220102945964,2.789397589079432,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-02
0,2016,08-22,08-25,2.7966040143975723,2.5801944325105843,L,90%,Low,High,pos_change,16_Sep_m1,08-22,08-25
0,2016,09-28,09-30,1.677681354479336,2.5064516262836727,W,100%,Low,High,pos_change,16_Oct_m1,09-28,10-03
0,2016,09-22,09-23,4.605260995742346,2.486085555942923,L,90%,Low,High,pos_change,16_Oct_m1,09-22,09-23
0,2016,10-28,10-31,2.3437544528860266,1.9456555991176672,L,100%,Low,High,pos_change,16_Nov_m1,10-28,11-14
0,2016,10-26,10-27,3.2394784570651938,19.208843191672702,W,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,11-21,11-22,1.5246879786258782,4.183423099940155,W,100%,Low,High,pos_change,16_Dec_m1,11-21,11-29
0,2016,11-21,11-22,3.963265701585773,4.183423099940155,W,90%,Close,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-30,02-01,2.799996099853635,2.8962884562180986,W,100%,Low,High,pos_change,17_Feb_m1,01-28,02-13
0,2017,01-30,01-31,4.580375975388439,1.9569472208623184,L,90%,Low,High,pos_change,17_Feb_m1,01-28,01-31
0,2017,02-22,02-23,2.639300780502757,1.339285437826316,L,100%,Low,High,pos_change,17_Mar_m1,02-22,03-05
0,2017,04-07,04-17,1.9201035213333848,4.422604096363127,W,100%,Low,High,pos_change,17_Apr_m1,04-07,04-18
0,2017,03-23,03-24,3.4602114620812863,1.5943339750573198,L,90%,Open,High,pos_change,17_Apr_m1,03-22,03-25
0,2017,04-24,04-26,2.1865889699193874,2.7996808650818625,W,100%,Low,High,pos_change,17_May_m1,04-24,05-01
0,2017,05-26,06-13,1.1510383484180946,10.17770773210318,W,100%,Low,High,pos_change,17_Jun_m1,05-26,06-13
0,2017,05-22,05-23,2.861764396310784,2.874490131749137,W,90%,Low,High,pos_change,17_Jun_m1,05-22,05-23
0,2017,06-23,06-28,2.737747974943926,3.885897502918779,W,100%,Low,High,pos_change,17_Jul_m1,06-23,07-13
0,2017,06-22,06-23,3.750006528128057,1.9485874668378744,L,90%,Low,High,pos_change,17_Jul_m1,06-22,06-25
0,2017,07-26,08-02,2.30143045254642,4.85008980012534,W,100%,Low,High,pos_change,17_Aug_m1,07-26,08-07
0,2017,07-26,07-27,3.7762577236244335,4.144623110269979,W,90%,Low,High,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-22,08-29,2.542366306181383,8.881926944359629,W,100%,Low,High,pos_change,17_Sep_m1,08-22,09-02
0,2017,08-22,08-23,2.7966040143975723,7.784743044056765,W,90%,Low,High,pos_change,17_Sep_m1,08-22,08-25
0,2017,09-29,10-03,1.677681354479336,7.496012160792841,W,100%,Low,High,pos_change,17_Oct_m1,09-28,10-03
0,2017,10-30,11-01,2.282390890820185,11.599294537988085,W,100%,Low,High,pos_change,17_Nov_m1,10-27,11-05
0,2017,10-25,10-26,3.3210293319709905,1.246609933471269,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-27
0,2017,11-22,11-29,1.6873457023553533,3.5966097618585167,W,100%,Open,High,pos_change,17_Dec_m1,11-20,11-29
0,2017,11-20,11-21,3.986925810933259,1.366118883708605,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-22
0,2018,01-31,02-02,2.4999926970888198,4.040984656536116,W,100%,Low,High,pos_change,18_Feb_m1,01-31,02-10
0,2018,03-02,03-06,1.2057496824592329,9.15072218587638,W,100%,Low,High,pos_change,18_Mar_m1,03-01,03-14
0,2018,04-09,04-10,1.9201035213333848,3.488363066901137,W,100%,Low,High,pos_change,18_Apr_m1,04-07,04-18
0,2018,05-03,05-11,2.3822533433178403,10.93749484446434,W,100%,Low,High,pos_change,18_May_m1,05-03,05-18
0,2018,05-08,05-09,3.782595313848164,2.572712602977363,L,90%,Low,High,pos_change,18_May_m1,05-06,05-09
0,2018,05-25,05-30,1.413571802238762,2.3385306108231205,W,100%,Low,High,pos_change,18_Jun_m1,05-24,05-30
0,2018,05-21,05-22,2.9173365829360205,1.7736053794195987,L,90%,Low,High,pos_change,18_Jun_m1,05-21,05-22
0,2018,06-25,07-10,2.737747974943926,9.510869762397222,W,100%,Low,High,pos_change,18_Jul_m1,06-23,07-13
0,2018,06-22,06-25,3.750006528128057,2.1024329543793034,L,90%,Low,High,pos_change,18_Jul_m1,06-22,06-25
