,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-06,0.8518592111225252,2.9343176110217786,W,100%,Low,High,pos_change,16_Jan_m1,01-01,01-13
0,2016,01-26,02-01,2.5964904249760146,4.899161202566964,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-08
0,2016,01-28,01-29,4.080974268805898,3.4525803920493328,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-31
0,2016,03-08,03-16,1.703558288014589,6.75501121759321,W,100%,Low,High,pos_change,16_Mar_m1,03-08,03-17
0,2016,02-24,02-25,3.0229991162240384,2.3316035208007726,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-28,04-07,2.318090881160201,4.385966053780662,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-07
0,2016,03-28,03-29,3.566178804591006,1.1777102955615726,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,04-22,05-10,4.121964300462797,5.264842111823212,W,100%,Low,High,pos_change,16_May_m1,04-19,05-20
0,2016,04-21,04-22,4.944887672999936,2.229295745525187,L,90%,Low,High,pos_change,16_May_m1,04-21,04-22
0,2016,06-01,06-13,1.283392533318898,2.0329228153935186,W,100%,Low,High,pos_change,16_Jun_m1,05-29,06-15
0,2016,05-31,06-01,2.1486759590515017,0.9208971319637436,L,90%,Close,High,pos_change,16_Jun_m1,05-31,06-01
0,2016,07-07,07-14,1.4193537647773096,3.155880165095505,W,100%,Low,High,pos_change,16_Jul_m1,07-07,07-14
0,2016,06-22,06-23,3.372174908181906,1.4160740566655867,L,90%,Low,High,pos_change,16_Jul_m1,06-22,06-23
0,2016,07-20,07-22,1.6874061160837888,2.4211600860403224,W,100%,Low,High,pos_change,16_Aug_m1,07-20,07-31
0,2016,07-21,07-22,2.4520965821946623,2.1202301213923724,L,90%,Low,High,pos_change,16_Aug_m1,07-21,07-22
0,2016,09-06,09-07,1.4116352537867034,0.4961031421540643,L,100%,Low,High,pos_change,16_Sep_m1,09-03,09-16
0,2016,08-25,08-26,2.9451137884872822,0.731201242486245,L,90%,Low,High,pos_change,16_Sep_m1,08-25,08-28
0,2016,09-19,09-22,1.5202195817890836,2.600902824966517,W,100%,Low,High,pos_change,16_Oct_m1,09-19,10-17
0,2016,09-26,09-27,3.174854843236228,0.791192104062108,L,90%,Open,High,pos_change,16_Oct_m1,09-26,09-28
0,2016,10-28,11-08,2.4987839611696776,2.438806823700992,L,100%,Low,High,pos_change,16_Nov_m1,10-27,11-08
0,2016,10-27,10-28,3.738718326425474,0.5099299526292267,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-29
0,2016,11-22,11-28,1.1201014847172353,2.5151459978504462,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-08
0,2016,11-29,11-30,3.033006244424621,1.23508760054125,L,90%,Close,High,pos_change,16_Dec_m1,11-29,11-30
0,2017,01-10,01-18,1.3951491700445644,2.73114219609436,W,100%,Low,High,pos_change,17_Jan_m1,01-10,01-18
