,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.075532200195969,3.0469972589401806,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-14
0,2016,01-04,01-05,1.9579743885167047,3.0469972589401806,W,90%,Low,High,pos_change,16_Jan_m1,01-04,01-07
0,2016,01-25,01-27,3.463622763645801,3.3598845539865327,L,100%,Low,High,pos_change,16_Feb_m1,01-24,02-17
0,2016,01-25,01-27,4.861111111111112,3.3598845539865327,L,90%,Low,High,pos_change,16_Feb_m1,01-25,01-28
0,2016,02-24,03-17,3.687149933157554,17.477000852257422,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-17
0,2016,02-24,02-25,6.850451608138664,5.925216985688254,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-24,04-04,2.18978102189781,6.722506564408048,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-04
0,2016,03-22,03-23,3.046326661231241,1.6691254389762908,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-24
0,2016,04-18,04-21,2.02826846120775,4.049042246063622,W,100%,Low,High,pos_change,16_May_m1,04-18,05-13
0,2016,06-03,06-07,1.8605066200476608,3.763166244731532,W,100%,Low,High,pos_change,16_Jun_m1,06-03,06-12
0,2016,06-27,07-01,1.8867924528301887,8.820156562511308,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-06
0,2016,06-27,06-29,3.7735849056603774,5.017178809055925,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,08-02,08-15,2.5571553285201283,1.923074796301882,L,100%,Low,High,pos_change,16_Aug_m1,08-02,08-15
0,2016,08-11,08-12,3.102910227554341,0.2304348154137062,L,90%,Low,High,pos_change,16_Aug_m1,08-11,08-12
0,2016,08-29,09-07,3.076923076923077,4.202708908472946,W,100%,Low,Open,pos_change,16_Sep_m1,08-29,09-10
0,2016,08-25,08-26,4.5795704019329015,1.87815924508199,L,90%,Low,High,pos_change,16_Sep_m1,08-25,08-28
0,2016,09-29,10-04,4.448534081072908,2.363671074974315,L,100%,Low,High,pos_change,16_Oct_m1,09-27,10-21
0,2016,09-23,09-26,5.326344801490438,0.5953485290914514,L,90%,Low,High,pos_change,16_Oct_m1,09-23,09-26
0,2016,10-28,11-10,3.867179329855232,1.855345500144693,L,100%,Low,High,pos_change,16_Nov_m1,10-25,11-12
0,2016,10-24,10-25,5.485234927074304,0.9059915161728668,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-02,12-14,1.7882983196434137,4.209099325486046,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-16
0,2017,01-05,01-06,2.1226894437181247,2.130305328852162,W,100%,Low,High,pos_change,17_Jan_m1,01-05,01-14
0,2017,01-03,01-06,2.812913740351191,4.232192228211576,W,90%,Low,High,pos_change,17_Jan_m1,01-03,01-06
0,2017,01-24,02-07,3.32062313026646,8.20659429516293,W,100%,Low,High,pos_change,17_Feb_m1,01-24,02-12
0,2017,01-26,01-27,4.10958904109589,0.6079880686345085,L,90%,Low,Close,pos_change,17_Feb_m1,01-26,01-27
0,2017,02-24,03-16,3.687149933157554,2.384166882140717,L,100%,Low,High,pos_change,17_Mar_m1,02-23,03-17
0,2017,02-21,02-22,5.178461827319804,2.186578117645965,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-22
0,2017,03-22,04-05,3.287754155461849,3.596402745002231,W,100%,Low,High,pos_change,17_Apr_m1,03-20,04-09
0,2017,03-20,03-21,4.1868333858023465,1.298582214478494,L,90%,Low,High,pos_change,17_Apr_m1,03-20,03-21
0,2017,05-08,05-10,1.8569188417160865,1.0403225087018786,L,100%,Low,High,pos_change,17_May_m1,05-06,05-18
0,2017,04-26,04-27,3.515868091368282,1.4410417315006747,L,90%,Low,High,pos_change,17_May_m1,04-26,04-28
0,2017,05-31,06-15,2.01710181447395,4.144453627124275,W,100%,Low,High,pos_change,17_Jun_m1,05-28,06-15
0,2017,05-23,05-25,4.510690500099847,2.122641713766692,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,06-27,07-20,3.242327019810032,6.57038138820077,W,100%,Low,High,pos_change,17_Jul_m1,06-26,07-20
0,2017,06-27,06-29,4.432418198328068,2.4378011343326325,L,90%,Low,High,pos_change,17_Jul_m1,06-27,06-30
0,2017,08-14,08-16,2.447479126987038,3.893271096553004,W,100%,Low,High,pos_change,17_Aug_m1,08-12,08-17
0,2017,08-02,08-03,2.941176470588235,0.9493434540908244,L,90%,Low,High,pos_change,17_Aug_m1,07-31,08-03
0,2017,08-29,09-11,3.1918253561545558,3.888505497370823,W,100%,Low,High,pos_change,17_Sep_m1,08-29,09-11
