,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-12,1.2929882817952143,3.2006417884384097,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-12
0,2016,01-04,01-06,2.7235260523370197,1.571029550774834,L,90%,Low,High,pos_change,16_Jan_m1,01-04,01-07
0,2016,02-01,02-03,2.1675300623805054,4.483643438222189,W,100%,Low,High,pos_change,16_Feb_m1,01-31,02-14
0,2016,02-01,02-03,3.188676654167895,4.483643438222189,W,90%,Low,High,pos_change,16_Feb_m1,02-01,02-04
0,2016,03-07,03-14,1.850220538228559,3.5756941273136262,W,100%,Low,High,pos_change,16_Mar_m1,03-05,03-16
0,2016,03-24,04-06,1.9743484325616587,5.458012889076269,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-11
0,2016,04-26,05-16,2.0497793643315045,4.378821981047714,W,100%,Low,High,pos_change,16_May_m1,04-24,05-18
0,2016,05-23,06-02,1.7792870481877403,3.801100614354539,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-02
0,2016,06-07,06-09,2.768995523364016,3.1595446303551835,W,90%,Low,High,pos_change,16_Jun_m1,06-07,06-10
0,2016,06-29,07-08,1.7424930969860717,5.003558695682852,W,100%,Low,High,pos_change,16_Jul_m1,06-29,07-08
0,2016,06-27,06-29,2.907848186958499,6.470450734073426,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-26,07-27,2.078773498315976,2.0219525572442576,L,100%,Low,High,pos_change,16_Aug_m1,07-26,08-14
0,2016,08-29,09-02,2.1224508480149877,1.5722550408688585,L,100%,Low,High,pos_change,16_Sep_m1,08-27,09-16
0,2016,08-25,08-26,3.648519394621007,3.0493589606642604,L,90%,Low,High,pos_change,16_Sep_m1,08-23,08-26
0,2016,09-27,09-29,3.479202901450995,2.0179583107401635,L,100%,Low,High,pos_change,16_Oct_m1,09-26,10-20
0,2016,10-04,10-05,4.362804957897741,0.9204251411789072,L,90%,Low,High,pos_change,16_Oct_m1,10-04,10-05
0,2016,11-07,11-08,2.1725065284327867,2.5551344895708006,W,100%,Low,High,pos_change,16_Nov_m1,11-06,11-17
0,2016,10-31,11-01,3.2659715501492976,1.8793327449039972,L,90%,Low,High,pos_change,16_Nov_m1,10-31,11-03
0,2016,12-01,12-09,1.962156440008073,3.3361524719012428,W,100%,Low,High,pos_change,16_Dec_m1,11-30,12-09
0,2016,11-30,12-01,3.2492391525368416,1.2301304884847812,L,90%,Low,High,pos_change,16_Dec_m1,11-30,12-01
0,2017,01-09,01-18,2.2792027215337205,4.193988828981695,W,100%,Open,High,pos_change,17_Jan_m1,01-08,01-19
0,2017,01-03,01-04,3.2444959443800694,3.3309376190545867,W,90%,Low,High,pos_change,17_Jan_m1,01-03,01-04
0,2017,01-31,02-14,2.1675300623805054,4.079717982556658,W,100%,Low,High,pos_change,17_Feb_m1,01-31,02-14
0,2017,02-01,02-03,3.188676654167895,1.688151783060311,L,90%,Low,High,pos_change,17_Feb_m1,02-01,02-04
0,2017,03-07,03-14,1.850220538228559,3.575834254552166,W,100%,Low,High,pos_change,17_Mar_m1,03-05,03-16
0,2017,03-22,03-24,1.9743484325616587,1.3812849700359235,L,100%,Low,High,pos_change,17_Apr_m1,03-21,04-11
0,2017,04-24,05-02,2.0497793643315045,5.198514293708787,W,100%,Low,High,pos_change,17_May_m1,04-24,05-18
0,2017,05-01,05-02,2.7479036636284806,2.1443184357177345,L,90%,Low,High,pos_change,17_May_m1,04-30,05-03
0,2017,05-25,06-02,1.7792870481877403,3.410446684397624,W,100%,Low,High,pos_change,17_Jun_m1,05-23,06-02
0,2017,05-22,05-23,2.8350028431787395,1.9937496878738357,L,90%,Low,High,pos_change,17_Jun_m1,05-22,05-23
0,2017,06-29,07-03,1.858662257718724,1.225594834314785,L,100%,Low,High,pos_change,17_Jul_m1,06-29,07-11
0,2017,06-27,06-28,3.1216571951739227,0.9235270710317331,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-29
0,2017,08-09,08-14,1.8364475678727947,1.868036784442796,W,100%,Low,High,pos_change,17_Aug_m1,08-06,08-17
0,2017,08-03,08-04,2.3328626060863016,1.364236663573644,L,90%,Low,High,pos_change,17_Aug_m1,08-03,08-06
0,2017,08-24,09-01,1.6845023180351284,2.0730620363992807,W,100%,Low,High,pos_change,17_Sep_m1,08-21,09-03
0,2017,08-23,08-24,3.313019513716168,0.818126558648392,L,90%,Low,High,pos_change,17_Sep_m1,08-21,08-24
0,2017,09-20,09-21,2.262443438914027,1.5250904584291256,L,100%,Low,High,pos_change,17_Oct_m1,09-20,10-14
0,2017,09-25,09-26,3.5350891202801127,1.2580175973597398,L,90%,Low,High,pos_change,17_Oct_m1,09-23,09-26
0,2017,11-08,11-09,2.1725065284327867,5.050506946681184,W,100%,Low,High,pos_change,17_Nov_m1,11-06,11-17
0,2017,11-01,11-02,3.2659715501492976,0.7124105481883359,L,90%,Low,High,pos_change,17_Nov_m1,11-01,11-02
0,2017,12-01,12-07,1.962156440008073,1.8359951821523848,L,100%,Low,High,pos_change,17_Dec_m1,11-30,12-09
0,2018,01-10,01-18,2.2792027215337205,4.034552529042386,W,100%,Open,High,pos_change,18_Jan_m1,01-08,01-19
