,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.8187998047956049,2.682668261434815,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-15
0,2016,01-07,01-08,2.4087724113452658,1.85985034549674,L,90%,Low,Open,pos_change,16_Jan_m1,01-06,01-08
0,2016,01-27,02-01,3.605849587968295,2.9528558757669505,L,100%,Low,High,pos_change,16_Feb_m1,01-24,02-06
0,2016,01-27,01-28,6.140521250851287,2.5310259853705186,L,90%,Low,High,pos_change,16_Feb_m1,01-25,01-28
0,2016,02-25,03-04,2.0292208294861243,13.64915441068285,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-09
0,2016,02-24,02-25,3.730226904382826,6.192576840940811,W,90%,Low,High,pos_change,16_Mar_m1,02-22,02-25
0,2016,03-24,04-11,1.6858006604479745,7.037906794881427,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-12
0,2016,04-29,05-06,2.5590510448532293,4.927426870393216,W,100%,Low,High,pos_change,16_May_m1,04-26,05-07
0,2016,04-19,04-20,7.722588520790026,2.653646790477823,L,90%,Close,Open,pos_change,16_May_m1,04-19,04-20
0,2016,06-01,06-08,0.5617986892395775,3.328553892171119,W,100%,Low,High,pos_change,16_Jun_m1,05-31,06-10
0,2016,05-23,05-24,4.140627384185791,2.8375054617676265,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-27,07-12,2.6626889727872163,11.52024831197384,W,100%,Low,High,pos_change,16_Jul_m1,06-24,07-13
0,2016,06-27,06-30,3.3385870024913875,7.341831815341631,W,90%,Low,High,pos_change,16_Jul_m1,06-27,06-30
0,2016,07-19,08-08,2.859975615342708,8.616326749671352,W,100%,Low,High,pos_change,16_Aug_m1,07-19,08-08
0,2016,07-21,07-22,5.871212121212121,2.548825351291772,L,90%,Low,High,pos_change,16_Aug_m1,07-21,07-22
0,2016,09-02,09-07,2.8932658374771734,1.6855233791736983,L,100%,Low,High,pos_change,16_Sep_m1,09-02,09-16
0,2016,08-25,08-26,4.444444444444445,1.3774364535900372,L,90%,Low,High,pos_change,16_Sep_m1,08-25,08-26
0,2016,09-29,10-06,4.128276110062724,2.0485599971041486,L,100%,Low,High,pos_change,16_Oct_m1,09-28,10-21
0,2016,09-27,09-28,5.628931537275397,0.5001781816763948,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-27,11-04,4.2328123062376,5.654697966508176,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-05
0,2016,10-27,10-28,5.290997217571924,3.081894629153276,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,11-30,12-08,2.8814865902694846,2.613454010486399,L,100%,Low,High,pos_change,16_Dec_m1,11-27,12-09
0,2016,11-22,11-23,4.130929155978683,1.5107261417754951,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-24
0,2017,01-03,01-04,2.161235039802376,3.1637353924055187,W,100%,Low,High,pos_change,17_Jan_m1,01-03,01-18
0,2017,01-24,01-25,2.9528558757669505,3.480036870878324,W,100%,Low,High,pos_change,17_Feb_m1,01-24,02-06
0,2017,02-27,03-01,2.0292208294861243,4.176880060939928,W,100%,Low,High,pos_change,17_Mar_m1,02-25,03-09
0,2017,02-21,02-23,3.9812646370023423,3.2114075939322944,L,90%,Low,High,pos_change,17_Mar_m1,02-20,02-23
0,2017,04-11,04-20,1.9690588589114129,4.633138547333159,W,100%,Low,High,pos_change,17_Apr_m1,04-11,04-21
0,2017,04-28,05-01,2.5590510448532293,3.5308511772504505,W,100%,Low,High,pos_change,17_May_m1,04-26,05-07
0,2017,04-24,04-25,6.288059230117948,2.3259739828357158,L,90%,Low,Open,pos_change,17_May_m1,04-24,04-25
0,2017,05-31,06-09,0.5617986892395775,2.140710607573141,W,100%,Low,High,pos_change,17_Jun_m1,05-31,06-10
0,2017,05-23,05-24,4.140627384185791,1.6993023510025584,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-24
0,2017,06-27,07-13,2.6626889727872163,2.5345046447041395,L,100%,Low,High,pos_change,17_Jul_m1,06-24,07-13
0,2017,06-26,06-27,4.155594350791706,0.34969326066924,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-27
0,2017,08-03,08-04,1.7152244329917885,1.2328294967301938,L,100%,Low,High,pos_change,17_Aug_m1,08-03,08-10
0,2017,07-27,07-28,4.527618326712402,6.431836514151256,W,90%,Low,High,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-29,09-08,2.2091749233993605,5.1821743548231005,W,100%,Low,High,pos_change,17_Sep_m1,08-29,09-09
0,2017,08-30,09-01,4.444444444444445,3.002941294777372,L,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,09-28,10-05,2.0485599971041486,5.242567750383148,W,100%,Low,High,pos_change,17_Oct_m1,09-28,10-06
0,2017,09-28,09-29,4.128276110062724,1.2790742268063025,L,90%,Low,High,pos_change,17_Oct_m1,09-28,10-01
