,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-13,1.2925393839067671,3.171746019976503,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-14
0,2016,01-27,02-17,3.295846589897089,11.785542073251694,W,100%,Low,High,pos_change,16_Feb_m1,01-27,02-18
0,2016,02-01,02-02,4.239134254437618,1.592392456260338,L,90%,Low,High,pos_change,16_Feb_m1,01-30,02-02
0,2016,03-10,03-11,1.3912811298332082,2.6851404408296515,W,100%,Low,High,pos_change,16_Mar_m1,03-08,03-13
0,2016,02-22,02-23,3.033559914403314,1.850232657284644,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-28,04-04,1.2694709424294384,5.059865128512996,W,100%,Close,High,pos_change,16_Apr_m1,03-27,04-12
0,2016,04-06,04-08,1.953531792248048,2.1439572934599376,W,90%,Low,Close,pos_change,16_Apr_m1,04-06,04-08
0,2016,04-28,05-09,1.9565250968212688,5.08712737232552,W,100%,Low,High,pos_change,16_May_m1,04-28,05-09
0,2016,04-19,04-20,3.519063978405009,1.2766396919778824,L,90%,Low,High,pos_change,16_May_m1,04-19,04-20
0,2016,05-23,05-31,1.2661671180690972,2.596318513494851,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-02
0,2016,06-07,06-08,2.349635532924107,1.52946573718889,L,90%,Low,High,pos_change,16_Jun_m1,06-07,06-08
0,2016,06-24,07-05,2.352227933914626,7.839996337890626,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-11
0,2016,06-22,06-23,3.055708713096698,2.297705381436577,L,90%,Low,High,pos_change,16_Jul_m1,06-22,06-23
0,2016,07-28,07-29,1.4019436898346027,1.5739497328465686,W,100%,Low,High,pos_change,16_Aug_m1,07-27,08-11
0,2016,08-01,08-02,2.1061972819800308,0.9374428774096136,L,90%,Low,High,pos_change,16_Aug_m1,08-01,08-04
0,2016,08-26,08-29,1.0693721471079631,1.10770719001199,W,100%,Low,High,pos_change,16_Sep_m1,08-26,09-03
0,2016,08-29,08-30,2.4621198027368,0.7891133097568128,L,90%,Low,High,pos_change,16_Sep_m1,08-29,08-30
0,2016,09-26,09-30,3.307499255758959,4.921959866843643,W,100%,Low,High,pos_change,16_Oct_m1,09-26,10-16
0,2016,09-26,09-28,5.278052108661833,1.85223601202888,L,90%,Low,High,pos_change,16_Oct_m1,09-25,09-28
0,2016,10-24,10-25,2.3385580136041235,4.315235898527663,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-13
0,2016,10-24,10-25,3.470358005517718,4.315235898527663,W,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-23,11-29,2.3074728612455617,2.5948330836059195,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-09
0,2016,11-21,11-22,2.7988312123208274,2.0746426139461818,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-05,01-18,1.2925393839067671,1.8374716171587693,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-18
0,2017,01-30,02-10,3.295846589897089,3.184315045417584,L,100%,Low,High,pos_change,17_Feb_m1,01-28,02-17
0,2017,01-30,01-31,3.4519922224622697,1.0122382443446427,L,90%,Low,High,pos_change,17_Feb_m1,01-30,01-31
0,2017,02-21,03-02,1.4868030146377402,2.193971057578463,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-02
0,2017,04-05,04-18,2.215100051554914,2.311731245675444,W,100%,Low,High,pos_change,17_Apr_m1,04-05,04-21
0,2017,03-22,03-23,2.64996077945831,1.101409628692701,L,90%,Low,High,pos_change,17_Apr_m1,03-20,03-23
0,2017,05-01,05-04,1.9565250968212688,2.863188091529965,W,100%,Low,High,pos_change,17_May_m1,04-28,05-09
0,2017,05-03,05-04,2.9629629629629632,2.998184225621827,W,90%,Low,High,pos_change,17_May_m1,05-03,05-06
0,2017,05-23,06-02,1.2661671180690972,3.774508307961857,W,100%,Low,High,pos_change,17_Jun_m1,05-23,06-02
0,2017,06-07,06-08,2.0782358005127923,0.7606037739462198,L,90%,Open,High,pos_change,17_Jun_m1,06-07,06-08
0,2017,06-23,06-26,2.5934879804249427,1.343354724702381,L,100%,Low,High,pos_change,17_Jul_m1,06-23,07-18
0,2017,06-22,06-23,3.2418952618453867,1.369587682331383,L,90%,Close,High,pos_change,17_Jul_m1,06-20,06-23
0,2017,07-27,08-11,1.4019436898346027,3.824504630360971,W,100%,Low,High,pos_change,17_Aug_m1,07-27,08-11
0,2017,08-04,08-07,1.7710292570503283,1.157485386513058,L,90%,Low,High,pos_change,17_Aug_m1,08-04,08-07
0,2017,08-28,09-01,1.0693721471079631,1.873012320705192,W,100%,Low,High,pos_change,17_Sep_m1,08-26,09-03
0,2017,08-29,09-01,1.932948891122482,1.873012320705192,L,90%,Low,High,pos_change,17_Sep_m1,08-29,09-01
0,2017,09-27,09-29,3.307499255758959,8.484338923800674,W,100%,Low,High,pos_change,17_Oct_m1,09-26,10-16
0,2017,09-25,09-26,4.447667875499417,2.1443546908766407,L,90%,Open,High,pos_change,17_Oct_m1,09-24,09-27
0,2017,10-25,11-01,2.3385580136041235,2.3668636750441343,W,100%,Low,High,pos_change,17_Nov_m1,10-24,11-13
0,2017,10-24,10-25,3.470358005517718,0.3040699485383207,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-25
0,2017,11-22,12-05,2.707221201326148,6.139823075340234,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-12
0,2017,11-20,11-21,3.1731000878834714,2.2139447392919185,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-22
0,2018,01-03,01-09,1.2925393839067671,3.4372789218237547,W,100%,Low,High,pos_change,18_Jan_m1,01-02,01-18
0,2018,01-29,01-31,2.458630976411584,2.9281980552097484,W,100%,Low,High,pos_change,18_Feb_m1,01-28,02-13
0,2018,01-29,01-31,3.295846589897089,2.9281980552097484,L,90%,Low,High,pos_change,18_Feb_m1,01-28,01-31
0,2018,02-21,02-27,1.4868030146377402,4.278843219463642,W,100%,Low,High,pos_change,18_Mar_m1,02-19,03-03
0,2018,02-20,02-21,3.515083177466849,1.7297742590703724,L,90%,Low,High,pos_change,18_Mar_m1,02-20,02-21
0,2018,04-06,04-17,1.9655133827048852,5.05352275088486,W,100%,Low,High,pos_change,18_Apr_m1,04-05,04-19
0,2018,03-19,03-20,2.884621905465411,1.1930270932746627,L,90%,Low,High,pos_change,18_Apr_m1,03-19,03-20
0,2018,05-01,05-09,1.9565250968212688,2.119260793157195,W,100%,Low,High,pos_change,18_May_m1,04-28,05-09
0,2018,05-03,05-04,2.9629629629629632,2.8664941463958376,L,90%,Low,High,pos_change,18_May_m1,05-03,05-06
0,2018,05-24,05-25,1.2661671180690972,2.951850642539115,W,100%,Low,High,pos_change,18_Jun_m1,05-23,06-02
0,2018,05-29,05-30,1.9536182148117909,1.8047004541688936,L,90%,Low,High,pos_change,18_Jun_m1,05-29,05-30
0,2018,06-22,07-06,1.7360668785093465,14.665648148932087,W,100%,Low,High,pos_change,18_Jul_m1,06-21,07-08
0,2018,06-19,06-20,2.972978081527987,1.1908164098920329,L,90%,Low,High,pos_change,18_Jul_m1,06-19,06-20
0,2018,07-30,08-03,1.4019436898346027,5.672415371598868,W,100%,Low,High,pos_change,18_Aug_m1,07-27,08-11
0,2018,08-02,08-03,1.989798841378704,4.358933072100507,W,90%,Low,High,pos_change,18_Aug_m1,08-02,08-05
0,2018,08-23,09-17,1.1052857522171122,8.00943096865329,W,100%,Low,High,pos_change,18_Sep_m1,08-23,09-18
0,2018,08-20,08-21,2.998768141084244,0.6986323116974742,L,90%,Low,High,pos_change,18_Sep_m1,08-20,08-21
0,2018,09-27,10-16,3.307499255758959,12.647534980148563,W,100%,Low,High,pos_change,18_Oct_m1,09-26,10-16
0,2018,09-25,09-26,4.447667875499417,1.138036108648439,L,90%,Open,High,pos_change,18_Oct_m1,09-24,09-27
0,2018,10-25,11-08,2.3668636750441343,9.210245102495266,W,100%,Low,High,pos_change,18_Nov_m1,10-22,11-10
0,2018,10-22,10-23,3.2467493101831884,1.526885220654122,L,90%,Low,High,pos_change,18_Nov_m1,10-22,10-23
0,2018,11-21,12-13,2.963934651209447,8.25814947428656,W,100%,Low,High,pos_change,18_Dec_m1,11-19,12-13
0,2018,11-20,11-21,3.3748681765618542,0.7645017864761092,L,90%,Low,High,pos_change,18_Dec_m1,11-19,11-22
0,2019,01-02,01-18,1.2925393839067671,5.554316986835736,W,100%,Low,High,pos_change,19_Jan_m1,01-02,01-18
0,2019,01-28,02-12,2.458630976411584,8.344474934265616,W,100%,Low,High,pos_change,19_Feb_m1,01-28,02-13
0,2019,01-29,01-31,3.295846589897089,4.364489088554866,W,90%,Low,High,pos_change,19_Feb_m1,01-29,02-01
0,2019,02-19,03-01,1.4868030146377402,6.947051286408673,W,100%,Low,High,pos_change,19_Mar_m1,02-18,03-02
0,2019,02-20,02-21,3.515083177466849,3.644669867356097,W,90%,Low,High,pos_change,19_Mar_m1,02-20,02-21
0,2019,04-08,04-16,1.9655133827048852,4.240885208757452,W,100%,Low,High,pos_change,19_Apr_m1,04-05,04-19
0,2019,03-18,03-19,3.523160357014986,1.3035434664577663,L,90%,Low,High,pos_change,19_Apr_m1,03-18,03-19
0,2019,04-29,05-09,1.9565250968212688,2.232725192894222,W,100%,Low,High,pos_change,19_May_m1,04-28,05-09
0,2019,05-03,05-06,2.911769642549402,1.2109222605100622,L,90%,Low,High,pos_change,19_May_m1,05-03,05-06
0,2019,05-23,05-24,1.2661671180690972,1.5485288624836453,W,100%,Low,High,pos_change,19_Jun_m1,05-23,06-02
0,2019,06-11,06-12,2.4642573763678857,1.3968043656540288,L,90%,Low,High,pos_change,19_Jun_m1,06-11,06-13
0,2019,06-27,07-03,1.3534629946546577,11.390414303296232,W,100%,Low,High,pos_change,19_Jul_m1,06-26,07-13
0,2019,06-28,07-01,2.059539768918339,4.035630554910234,W,90%,Low,High,pos_change,19_Jul_m1,06-28,07-01
0,2019,07-30,08-09,1.4019436898346027,2.469827724916907,W,100%,Low,High,pos_change,19_Aug_m1,07-27,08-11
