,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,0.4467115155290677,2.305257190303535,W,100%,Low,High,pos_change,16_Jan_m1,01-01,01-12
0,2016,01-28,02-10,3.531405708781744,10.165207900256457,W,100%,Low,High,pos_change,16_Feb_m1,01-28,02-13
0,2016,02-01,02-02,4.812649058737552,0.0,L,90%,Low,High,pos_change,16_Feb_m1,01-30,02-02
0,2016,03-03,03-17,1.6317810420645809,5.048915627016187,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-17
0,2016,02-24,02-25,3.8785822371868144,2.229697705990452,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-24,04-13,1.8032809054778196,5.176784853657863,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-13
0,2016,03-30,03-31,2.660672205271308,0.8269930657812565,L,90%,Low,High,pos_change,16_Apr_m1,03-30,03-31
0,2016,04-26,05-02,2.547140156875799,3.0704552010110557,W,100%,Low,High,pos_change,16_May_m1,04-24,05-08
0,2016,04-25,04-26,3.238533179552271,1.145899120341633,L,90%,Low,High,pos_change,16_May_m1,04-23,04-26
0,2016,06-01,06-07,1.624597733434741,1.9213090449157035,W,100%,Low,High,pos_change,16_Jun_m1,05-30,06-10
0,2016,05-26,05-27,2.429714598804336,0.8871242817685585,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-27,07-01,1.975213922965571,8.360945106150767,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-14
0,2016,06-27,06-29,2.0785631419074764,5.347845752151913,W,90%,Low,High,pos_change,16_Jul_m1,06-27,06-29
0,2016,08-05,08-15,2.185790265192751,1.669424945126074,L,100%,Low,High,pos_change,16_Aug_m1,08-05,08-16
0,2016,07-25,07-27,3.020053197470263,0.8913677536315409,L,90%,Low,High,pos_change,16_Aug_m1,07-24,07-27
0,2016,08-22,09-06,2.432626878940815,2.244500911120696,L,100%,Low,High,pos_change,16_Sep_m1,08-22,09-16
0,2016,08-29,08-30,3.2345014142244946,1.279180333208087,L,90%,Low,High,pos_change,16_Sep_m1,08-29,08-30
0,2016,09-23,09-27,2.149074081049427,0.5493730585965834,L,100%,Low,High,pos_change,16_Oct_m1,09-22,10-16
0,2016,09-27,09-28,4.230769230769231,0.9572231286359724,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-27,11-11,2.0408132841569238,8.717778673767045,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-14
0,2016,10-24,10-25,5.363445481932617,0.0,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-28,11-30,1.5472695622367283,1.2922888836280866,L,100%,Low,High,pos_change,16_Dec_m1,11-25,12-09
0,2016,11-30,12-01,3.7180779648633457,0.6811611894248188,L,90%,Low,High,pos_change,16_Dec_m1,11-30,12-01
0,2017,01-12,01-13,1.5259187707106203,2.0224696241514515,W,100%,Low,High,pos_change,17_Jan_m1,01-09,01-16
0,2017,01-12,01-13,2.370991275941737,2.0224696241514515,L,90%,Low,High,pos_change,17_Jan_m1,01-10,01-13
0,2017,01-31,02-13,3.531405708781744,5.952742378662758,W,100%,Low,High,pos_change,17_Feb_m1,01-28,02-13
0,2017,02-01,02-02,4.812649058737552,3.654187604908425,L,90%,Low,High,pos_change,17_Feb_m1,01-30,02-02
0,2017,02-22,03-01,1.9595415418611188,3.117244325835129,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-08
0,2017,03-22,03-28,2.5371277925956632,1.843068970697604,L,100%,Low,High,pos_change,17_Apr_m1,03-22,04-20
0,2017,03-24,03-27,3.4850761913284645,0.5511542754044276,L,90%,Low,High,pos_change,17_Apr_m1,03-24,03-27
0,2017,04-24,05-04,2.547140156875799,3.706777582370549,W,100%,Low,High,pos_change,17_May_m1,04-24,05-08
0,2017,04-24,04-25,3.238533179552271,1.6459125335856906,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,05-30,06-09,1.624597733434741,2.795638778271517,W,100%,Low,High,pos_change,17_Jun_m1,05-30,06-10
0,2017,05-24,05-25,2.493763065456301,2.6231250701981885,W,90%,Low,High,pos_change,17_Jun_m1,05-24,05-25
0,2017,06-29,07-14,1.975213922965571,2.02476099598527,W,100%,Low,High,pos_change,17_Jul_m1,06-26,07-14
0,2017,06-22,06-23,2.014724790869675,0.4705618205600886,L,90%,Low,High,pos_change,17_Jul_m1,06-22,06-25
0,2017,07-27,07-31,1.9598920107998477,2.5660907640824417,W,100%,Low,High,pos_change,17_Aug_m1,07-25,08-08
0,2017,07-27,07-28,2.923261510390113,2.047685493353647,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-24,09-07,2.244500911120696,3.3571917791559778,W,100%,Low,High,pos_change,17_Sep_m1,08-21,09-07
0,2017,08-24,08-25,2.9360980555091163,0.793754876334809,L,90%,Low,High,pos_change,17_Sep_m1,08-24,08-27
0,2017,10-04,10-13,1.6941502590255009,1.7706592148192954,W,100%,Low,High,pos_change,17_Oct_m1,10-01,10-14
0,2017,09-27,09-28,3.549054058638664,1.2609620440584497,L,90%,Low,High,pos_change,17_Oct_m1,09-27,09-28
0,2017,10-26,11-02,2.2910033014458056,3.000863995412042,W,100%,Low,High,pos_change,17_Nov_m1,10-23,11-03
0,2017,10-24,10-25,5.363445481932617,0.4272497047525803,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-25
0,2017,11-28,12-04,1.5472695622367283,4.630639431083856,W,100%,Low,High,pos_change,17_Dec_m1,11-28,12-13
0,2017,11-20,11-21,2.278845268608286,1.4427676571034995,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-11,01-16,1.5259187707106203,2.2081612279113365,W,100%,Low,High,pos_change,18_Jan_m1,01-09,01-16
0,2018,01-11,01-12,2.3520594679014515,1.699544394254851,L,90%,Low,High,pos_change,18_Jan_m1,01-10,01-13
0,2018,01-31,02-02,3.531405708781744,2.7558148538078733,L,100%,Low,High,pos_change,18_Feb_m1,01-28,02-13
0,2018,01-30,01-31,4.603582168949255,0.7411776519761226,L,90%,Low,High,pos_change,18_Feb_m1,01-30,01-31
0,2018,02-22,02-28,1.9595415418611188,4.488205881137257,W,100%,Low,High,pos_change,18_Mar_m1,02-20,03-08
0,2018,02-21,02-22,3.0852370415157027,0.834243077069246,L,90%,Low,Close,pos_change,18_Mar_m1,02-21,02-22
0,2018,03-23,03-29,1.843068970697604,3.4153006888342974,W,100%,Low,High,pos_change,18_Apr_m1,03-22,04-06
0,2018,03-23,03-26,3.064351331196843,2.1485387842258,L,90%,Close,High,pos_change,18_Apr_m1,03-23,03-26
0,2018,04-25,04-26,2.547140156875799,2.690478987347819,W,100%,Low,High,pos_change,18_May_m1,04-24,05-09
0,2018,04-25,04-26,3.238533179552271,2.690478987347819,L,90%,Low,High,pos_change,18_May_m1,04-23,04-26
0,2018,05-30,06-08,1.624597733434741,4.539158005717957,W,100%,Low,High,pos_change,18_Jun_m1,05-30,06-10
0,2018,05-24,05-25,2.493763065456301,0.9005716492970717,L,90%,Low,High,pos_change,18_Jun_m1,05-24,05-25
0,2018,06-27,07-13,1.975213922965571,7.978062114797373,W,100%,Low,High,pos_change,18_Jul_m1,06-26,07-14
0,2018,06-22,06-25,2.014724790869675,1.4075804663756024,L,90%,Low,High,pos_change,18_Jul_m1,06-22,06-25
0,2018,07-26,07-27,1.9598920107998477,2.368132655286602,W,100%,Low,High,pos_change,18_Aug_m1,07-25,08-08
0,2018,07-26,07-27,2.60216856818605,2.368132655286602,L,90%,Low,High,pos_change,18_Aug_m1,07-26,07-29
0,2018,08-21,09-07,2.244500911120696,3.381474415867012,W,100%,Low,High,pos_change,18_Sep_m1,08-21,09-07
0,2018,10-08,10-09,1.856541256400828,1.2949288761835926,L,100%,Low,High,pos_change,18_Oct_m1,10-05,10-18
0,2018,10-01,10-02,3.109250849531505,1.02818252443169,L,90%,Low,High,pos_change,18_Oct_m1,10-01,10-02
0,2018,10-24,11-02,2.2910033014458056,11.38632954195336,W,100%,Low,High,pos_change,18_Nov_m1,10-23,11-03
0,2018,10-24,10-25,5.363445481932617,7.625466485379088,W,90%,Low,High,pos_change,18_Nov_m1,10-24,10-25
0,2018,11-28,12-04,1.5472695622367283,4.563487416886304,W,100%,Low,High,pos_change,18_Dec_m1,11-28,12-13
0,2018,11-19,11-20,3.021915552720713,0.8785991303325891,L,90%,Low,High,pos_change,18_Dec_m1,11-19,11-20
0,2019,01-09,01-15,1.5259187707106203,2.367898275751085,W,100%,Low,High,pos_change,19_Jan_m1,01-09,01-16
0,2019,01-10,01-11,2.2081612279113365,1.0584063371381192,L,90%,Low,High,pos_change,19_Jan_m1,01-10,01-13
0,2019,01-30,02-05,2.956344468341488,11.76471186982078,W,100%,Low,High,pos_change,19_Feb_m1,01-30,02-12
0,2019,01-28,01-29,4.087315990251881,0.5946575906502143,L,90%,Low,High,pos_change,19_Feb_m1,01-28,01-29
0,2019,02-20,03-04,1.9595415418611188,3.929075440489597,W,100%,Low,High,pos_change,19_Mar_m1,02-20,03-08
0,2019,02-22,02-25,2.8529487362924564,1.8429689178290056,L,90%,Low,High,pos_change,19_Mar_m1,02-22,02-25
0,2019,03-25,04-02,1.843068970697604,4.466340338484546,W,100%,Low,High,pos_change,19_Apr_m1,03-22,04-06
0,2019,03-25,03-26,2.987104872583151,1.839080824562592,L,90%,Low,High,pos_change,19_Apr_m1,03-25,03-26
0,2019,04-26,04-29,2.547140156875799,2.9889882708564115,W,100%,Low,High,pos_change,19_May_m1,04-24,05-09
0,2019,04-25,04-26,2.9096935613816517,1.4844541477857272,L,90%,Low,High,pos_change,19_May_m1,04-25,04-27
0,2019,05-24,06-07,1.7987465939278409,5.573694112335937,W,100%,Open,High,pos_change,19_Jun_m1,05-21,06-18
0,2019,05-23,05-24,2.4321002724729937,1.1524422615876078,L,90%,Low,High,pos_change,19_Jun_m1,05-22,05-25
0,2019,06-26,07-03,1.975213922965571,5.513987158189323,W,100%,Low,High,pos_change,19_Jul_m1,06-26,07-14
0,2019,07-26,07-29,1.9598920107998477,2.376945129111085,W,100%,Low,High,pos_change,19_Aug_m1,07-25,08-08
0,2019,07-25,07-26,2.494766770392891,0.9354121706123768,L,90%,Low,High,pos_change,19_Aug_m1,07-25,07-28
0,2019,08-23,09-05,2.244500911120696,7.098538500322057,W,100%,Low,High,pos_change,19_Sep_m1,08-21,09-07
0,2019,09-30,10-01,1.5680703579188038,1.3345315600924652,L,100%,Low,High,pos_change,19_Oct_m1,09-28,10-18
0,2019,09-24,09-25,2.5479234661186188,1.8801929422719816,L,90%,Low,Close,pos_change,19_Oct_m1,09-24,09-25
0,2019,10-25,11-01,2.2910033014458056,7.202212532213781,W,100%,Low,High,pos_change,19_Nov_m1,10-23,11-03
0,2019,10-24,10-25,5.363445481932617,0.968297770188734,L,90%,Low,High,pos_change,19_Nov_m1,10-24,10-25
0,2019,11-29,12-13,1.5472695622367283,2.585481597117643,W,100%,Low,High,pos_change,19_Dec_m1,11-28,12-13
0,2019,11-19,11-20,3.021915552720713,1.0910493467259157,L,90%,Low,High,pos_change,19_Dec_m1,11-19,11-20
0,2020,01-10,01-16,1.5259187707106203,1.3097686090286804,L,100%,Low,High,pos_change,20_Jan_m1,01-09,01-16
0,2020,01-07,01-10,1.6658421259499674,1.0970247556394987,L,90%,Low,High,pos_change,20_Jan_m1,01-07,01-10
0,2020,01-31,02-12,2.956344468341488,6.953936193665269,W,100%,Low,High,pos_change,20_Feb_m1,01-30,02-12
0,2020,01-30,01-31,4.603582168949255,3.1115506861153293,L,90%,Low,High,pos_change,20_Feb_m1,01-30,02-02
0,2020,03-12,03-13,1.951858713593304,7.255621584024932,W,100%,Low,High,pos_change,20_Mar_m1,03-11,03-20
0,2020,02-24,02-25,2.8529487362924564,1.233034106498981,L,90%,Low,High,pos_change,20_Mar_m1,02-24,02-25
0,2020,03-23,04-09,1.4033206139011665,30.499122306591826,W,100%,Low,High,pos_change,20_Apr_m1,03-23,04-11
0,2020,03-25,03-26,2.987104872583151,6.379695406856702,W,90%,Low,High,pos_change,20_Apr_m1,03-25,03-26
0,2020,04-24,05-12,2.547140156875799,14.54248151450956,W,100%,Low,High,pos_change,20_May_m1,04-24,05-12
0,2020,05-21,06-08,1.7987465939278409,8.538474057507651,W,100%,Open,High,pos_change,20_Jun_m1,05-21,06-18
0,2020,05-18,05-19,2.59675825744899,0.864497448576145,L,90%,Low,High,pos_change,20_Jun_m1,05-18,05-19
0,2020,06-29,07-13,1.975213922965571,6.336534940279447,W,100%,Low,High,pos_change,20_Jul_m1,06-26,07-14
0,2020,07-27,08-07,1.9598920107998477,5.290582758511944,W,100%,Low,High,pos_change,20_Aug_m1,07-25,08-08
0,2020,08-04,08-05,2.191682526955192,2.818851788342589,W,90%,Low,High,pos_change,20_Aug_m1,08-02,08-05
0,2020,08-24,09-03,2.244500911120696,8.047518944183373,W,100%,Low,High,pos_change,20_Sep_m1,08-24,09-18
0,2020,08-25,08-26,4.037794669173748,1.959565906669676,L,90%,Low,High,pos_change,20_Sep_m1,08-25,08-26
0,2020,09-29,10-13,1.318606009534976,3.87911943154302,W,100%,Low,High,pos_change,20_Oct_m1,09-28,10-16
0,2020,09-24,09-25,2.149074081049427,0.737517171052529,L,90%,Low,High,pos_change,20_Oct_m1,09-24,09-25
0,2020,10-26,10-27,2.2910033014458056,1.4861798027419495,L,100%,Low,High,pos_change,20_Nov_m1,10-23,11-03
0,2020,11-30,12-07,1.5472695622367283,4.509354592404713,W,100%,Low,High,pos_change,20_Dec_m1,11-28,12-13
0,2020,11-30,12-01,2.2626341173803866,3.2386147006960644,W,90%,Low,High,pos_change,20_Dec_m1,11-29,12-02
