,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-15,1.2698412698412698,3.6737982664303415,W,100%,Low,High,pos_change,16_Jan_m1,01-06,01-15
0,2016,02-02,02-18,2.748968179333848,17.574926664092352,W,100%,Low,High,pos_change,16_Feb_m1,02-01,02-19
0,2016,01-25,01-26,6.449242442244871,4.196752308571828,L,90%,Low,High,pos_change,16_Feb_m1,01-25,01-26
0,2016,03-04,03-07,1.17263418259427,9.12280835603413,W,100%,Low,High,pos_change,16_Mar_m1,03-04,03-14
0,2016,02-26,03-01,2.9197080291970803,6.752535072469939,W,90%,Low,High,pos_change,16_Mar_m1,02-26,03-01
0,2016,03-24,03-30,3.212379135534201,5.770659723898865,W,100%,Low,High,pos_change,16_Apr_m1,03-24,04-14
0,2016,03-23,03-24,4.0,0.0,L,90%,Open,High,pos_change,16_Apr_m1,03-23,03-24
0,2016,04-19,04-21,2.671751279415938,12.433664863506351,W,100%,Close,High,pos_change,16_May_m1,04-19,05-17
0,2016,04-18,04-19,4.436860068259386,9.496127268950213,W,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-02,06-08,1.7639049248413217,17.277062500972846,W,100%,Low,High,pos_change,16_Jun_m1,06-02,06-12
0,2016,05-24,05-25,4.181475900971962,3.057271685424476,L,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,07-06,07-15,1.663159822162829,17.423305474862705,W,100%,Low,High,pos_change,16_Jul_m1,07-06,07-15
0,2016,08-04,08-10,3.833515753571066,10.469596876940477,W,100%,Low,High,pos_change,16_Aug_m1,08-01,08-19
0,2016,07-21,07-22,6.54571366999653,1.0816450369603705,L,90%,Low,High,pos_change,16_Aug_m1,07-21,07-24
0,2016,08-26,08-30,1.4232645074756027,12.704768323097507,W,100%,Low,High,pos_change,16_Sep_m1,08-23,08-31
0,2016,08-30,08-31,4.741379310344827,9.750808246716815,W,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,10-07,10-10,1.6233766233766231,2.5378588790005523,W,100%,Low,High,pos_change,16_Oct_m1,10-05,10-18
0,2016,09-27,09-28,4.88599348534202,3.160556318870116,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,11-04,11-10,3.0821917808219177,18.94825162355496,W,100%,Low,High,pos_change,16_Nov_m1,11-03,11-11
0,2016,10-25,10-27,9.41704239155183,2.9568759838805154,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,11-22,12-09,3.7201069770863904,15.955882466375618,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-11
0,2016,11-30,12-01,5.116693691718537,8.098200844013972,W,90%,Low,High,pos_change,16_Dec_m1,11-30,12-01
0,2017,01-09,01-13,2.462651157568863,4.367815731961462,W,100%,Low,High,pos_change,17_Jan_m1,01-06,01-14
0,2017,01-03,01-05,6.640628016215174,6.010929602486536,L,90%,Low,High,pos_change,17_Jan_m1,01-03,01-06
0,2017,01-24,01-25,2.607913352855641,6.396992645253961,W,100%,Low,High,pos_change,17_Feb_m1,01-24,02-03
0,2017,01-25,01-26,6.449242442244871,0.0,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-26
0,2017,02-23,03-01,1.6399027493319067,1.3663816795614223,L,100%,Low,High,pos_change,17_Mar_m1,02-20,03-01
0,2017,02-21,02-22,5.523137872367288,0.4185332928409025,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-22
0,2017,03-27,03-29,3.212379135534201,5.003524024965433,W,100%,Low,High,pos_change,17_Apr_m1,03-24,04-14
0,2017,03-22,03-23,4.606767553366777,2.964008991055652,L,90%,Low,High,pos_change,17_Apr_m1,03-21,03-24
0,2017,04-26,04-27,2.334072864820586,3.873366828316533,W,100%,Low,High,pos_change,17_May_m1,04-26,05-14
0,2017,04-26,04-27,3.7222764936802566,3.873366828316533,W,90%,Low,High,pos_change,17_May_m1,04-25,04-28
0,2017,06-05,06-12,1.7639049248413217,9.73967688248156,W,100%,Low,High,pos_change,17_Jun_m1,06-02,06-12
0,2017,05-25,05-26,4.181475900971962,2.336855256461017,L,90%,Low,High,pos_change,17_Jun_m1,05-24,05-26
0,2017,07-07,07-12,1.663159822162829,9.607573989339668,W,100%,Low,High,pos_change,17_Jul_m1,07-06,07-15
0,2017,08-03,08-04,3.056768558951965,2.538537565042017,L,100%,Low,High,pos_change,17_Aug_m1,08-03,08-08
0,2017,08-03,08-04,5.439183379496697,2.538537565042017,L,90%,Low,High,pos_change,17_Aug_m1,08-03,08-06
0,2017,08-21,08-25,1.9885733395515508,4.369921732802946,W,100%,Low,High,pos_change,17_Sep_m1,08-21,08-28
0,2017,08-30,09-01,5.079360235305059,2.9994923756962866,L,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,09-20,10-04,1.2048192771084338,6.092844343752179,W,100%,Low,High,pos_change,17_Oct_m1,09-20,10-10
0,2017,11-03,11-10,3.731909876978919,3.460676214668188,L,100%,Low,High,pos_change,17_Nov_m1,11-01,11-12
0,2017,10-26,10-27,8.775413922885612,1.296209595547774,L,90%,Low,High,pos_change,17_Nov_m1,10-25,10-28
0,2017,11-21,11-30,3.7201069770863904,6.830955387089121,W,100%,Low,High,pos_change,17_Dec_m1,11-21,12-11
0,2017,11-30,12-01,5.116693691718537,1.772466204117593,L,90%,Low,High,pos_change,17_Dec_m1,11-30,12-01
0,2018,01-08,01-12,2.462651157568863,5.328189530658936,W,100%,Low,High,pos_change,18_Jan_m1,01-06,01-14
0,2018,01-03,01-04,5.328950195926744,1.7809823098650184,L,90%,Low,High,pos_change,18_Jan_m1,01-03,01-04
0,2018,01-25,01-29,3.2776302150002303,6.071959945107251,W,100%,Low,High,pos_change,18_Feb_m1,01-25,02-06
