,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.452221886634245,3.877217591269829,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-09
0,2016,01-27,02-04,4.287894780255922,25.672363685202612,W,100%,Low,High,pos_change,16_Feb_m1,01-27,02-19
0,2016,02-02,02-03,5.233536813979783,8.515543849541134,W,90%,Low,High,pos_change,16_Feb_m1,02-02,02-03
0,2016,03-01,03-07,3.110600818400303,53.30688148559248,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-14
0,2016,02-22,02-23,4.320645923216319,8.9051115621457,W,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-29,03-31,1.9431969466343908,15.046051632335043,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-01
0,2016,03-29,03-30,5.454549259914406,10.542473743209586,W,90%,Low,Open,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-26,04-27,2.765417613308058,9.149852259496978,W,100%,Low,High,pos_change,16_May_m1,04-26,05-14
0,2016,04-25,04-27,3.820653151738731,10.503279185825075,W,90%,Low,High,pos_change,16_May_m1,04-25,04-28
0,2016,06-06,06-08,2.083332001013842,12.05620640220169,W,100%,Low,High,pos_change,16_Jun_m1,06-06,06-17
0,2016,05-26,05-27,5.264196029005531,0.0,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-27,07-01,2.8826557299038686,20.731709533188774,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-08
0,2016,06-27,06-29,4.065038234938213,17.75914591486116,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-22,08-08,3.054912768931472,4.632933603534264,W,100%,Low,High,pos_change,16_Aug_m1,07-21,08-11
0,2016,07-27,07-29,5.295935285236885,5.206732998875526,L,90%,Low,High,pos_change,16_Aug_m1,07-27,07-30
0,2016,08-22,09-08,3.418525844052929,9.385112149940566,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-10
0,2016,08-23,08-24,6.039446991725475,5.488197869587746,L,90%,Low,High,pos_change,16_Sep_m1,08-23,08-24
0,2016,10-04,10-05,2.505690430389557,5.670097518111823,W,100%,Low,High,pos_change,16_Oct_m1,10-02,10-17
0,2016,09-28,09-29,5.211157067412034,17.41329350319026,W,90%,Low,High,pos_change,16_Oct_m1,09-28,09-29
0,2016,11-02,11-10,3.685837049233162,23.22006444400361,W,100%,Low,High,pos_change,16_Nov_m1,10-31,11-14
0,2016,10-27,10-28,4.224386829434048,2.521609689550842,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-30
0,2016,12-06,12-08,1.5302687041174152,3.680980681420233,W,100%,Low,High,pos_change,16_Dec_m1,12-05,12-10
