,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-13,1.521143949642745,2.533837877169632,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-13
0,2016,01-07,01-08,1.521143949642745,2.219068322944077,W,90%,Low,High,pos_change,16_Jan_m1,01-07,01-08
0,2016,01-20,02-01,3.910617286196004,13.647887255795348,W,100%,Low,High,pos_change,16_Feb_m1,01-20,02-18
0,2016,01-20,01-22,5.280787400252179,5.056651124232489,L,90%,Low,High,pos_change,16_Feb_m1,01-20,01-23
0,2016,02-22,02-26,1.810692406017664,14.482023801129731,W,100%,Low,High,pos_change,16_Mar_m1,02-22,03-02
0,2016,02-26,02-29,4.376066044816531,1.6338092416426913,L,90%,Low,High,pos_change,16_Mar_m1,02-26,03-01
0,2016,03-24,04-01,1.562994407396196,5.787285529978936,W,100%,Low,High,pos_change,16_Apr_m1,03-24,04-01
0,2016,04-29,05-02,2.832097629498748,2.4386924398067302,L,100%,Low,High,pos_change,16_May_m1,04-27,05-20
0,2016,04-21,04-22,6.761356026495492,1.4428882472563993,L,90%,Low,High,pos_change,16_May_m1,04-21,04-24
0,2016,05-27,05-31,1.6449804530287966,1.7216228325267775,W,100%,Low,High,pos_change,16_Jun_m1,05-27,06-09
0,2016,05-24,05-25,3.667954950513526,1.5972098595214386,L,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-27,07-13,2.286138436137062,7.91906495908105,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-13
0,2016,06-28,06-29,3.401119557452323,2.913087933691064,L,90%,Low,High,pos_change,16_Jul_m1,06-28,06-29
0,2016,08-03,08-08,2.5528172962721083,9.145280769740948,W,100%,Low,High,pos_change,16_Aug_m1,08-03,08-09
0,2016,07-25,07-28,6.813183459606799,2.755677467967449,L,90%,Open,High,pos_change,16_Aug_m1,07-25,07-28
0,2016,08-22,09-06,1.4264615640958878,4.153483225189881,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-16
0,2016,08-31,09-01,7.258068890422575,0.4433963700280212,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-20,09-30,3.445947448035221,3.278250339098318,L,100%,Low,High,pos_change,16_Oct_m1,09-19,10-04
0,2016,09-20,09-21,4.136249925502482,0.9861378661262918,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,10-27,11-11,3.022885327797089,9.942636790394424,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-12
0,2016,10-24,10-25,5.976158142793062,0.8934560825441175,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-21,11-29,1.3146887292395104,2.8202900790950247,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-02
0,2016,11-21,11-23,2.535166683806956,2.453525292644258,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-23
0,2017,01-05,01-06,1.521143949642745,1.719516661108994,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-13
0,2017,01-11,01-12,2.77894216220241,0.3766677364505017,L,90%,Low,High,pos_change,17_Jan_m1,01-11,01-12
0,2017,01-30,02-03,3.2617186787305297,3.165803997490701,L,100%,Low,High,pos_change,17_Feb_m1,01-27,02-12
0,2017,01-23,01-24,4.7438355864446855,3.502138930395155,L,90%,Low,High,pos_change,17_Feb_m1,01-23,01-24
0,2017,02-24,02-27,1.810692406017664,2.499361298440868,W,100%,Low,High,pos_change,17_Mar_m1,02-22,03-02
0,2017,02-28,03-01,4.376066044816531,1.723473473376692,L,90%,Low,High,pos_change,17_Mar_m1,02-26,03-01
0,2017,03-27,03-31,2.5320396115591173,4.543809228073075,W,100%,Low,High,pos_change,17_Apr_m1,03-26,04-18
0,2017,03-21,03-22,4.420783637792091,1.591672893626004,L,90%,Low,High,pos_change,17_Apr_m1,03-21,03-22
0,2017,04-28,05-05,2.422632980314745,2.7898311463176797,W,100%,Low,High,pos_change,17_May_m1,04-27,05-17
0,2017,04-24,04-25,4.972620431357355,1.565464539375756,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,05-30,06-07,1.6449804530287966,6.9674167142189605,W,100%,Low,High,pos_change,17_Jun_m1,05-27,06-09
0,2017,05-22,05-23,2.310224753288987,1.5925555500412314,L,90%,Low,High,pos_change,17_Jun_m1,05-22,05-24
0,2017,06-27,07-13,2.286138436137062,1.356591911589478,L,100%,Low,High,pos_change,17_Jul_m1,06-24,07-16
0,2017,07-07,07-10,4.106745423982687,1.518133670987161,L,90%,Low,High,pos_change,17_Jul_m1,07-07,07-10
0,2017,08-03,08-04,2.5528172962721083,3.924177975229205,W,100%,Low,High,pos_change,17_Aug_m1,08-03,08-09
0,2017,07-25,07-28,6.813183459606799,2.228347059089386,L,90%,Open,High,pos_change,17_Aug_m1,07-25,07-28
0,2017,08-30,09-01,3.849599972460412,2.161353235248757,L,100%,Low,High,pos_change,17_Sep_m1,08-29,09-10
0,2017,08-30,08-31,6.418720256971165,2.092007926740173,L,90%,Low,High,pos_change,17_Sep_m1,08-30,08-31
0,2017,09-22,10-04,3.278250339098318,2.1739152107631563,L,100%,Low,High,pos_change,17_Oct_m1,09-19,10-04
0,2017,10-26,11-03,3.022885327797089,6.303890982774704,W,100%,Low,High,pos_change,17_Nov_m1,10-24,11-12
0,2017,10-24,10-25,5.976158142793062,0.8918651939524841,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-25
0,2017,11-22,11-29,1.3146887292395104,4.11139133608257,W,100%,Low,High,pos_change,17_Dec_m1,11-21,12-02
0,2017,11-20,11-21,2.5466138097890503,2.37781954651502,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-22
0,2018,01-04,01-12,1.521143949642745,8.109913188370593,W,100%,Low,High,pos_change,18_Jan_m1,01-04,01-13
0,2018,01-04,01-05,2.533837877169632,2.325068396346921,L,90%,Low,High,pos_change,18_Jan_m1,01-04,01-07
0,2018,01-24,02-02,3.910617286196004,12.55221008241674,W,100%,Low,High,pos_change,18_Feb_m1,01-22,02-09
0,2018,02-22,02-28,1.810692406017664,3.3662628265404013,W,100%,Low,High,pos_change,18_Mar_m1,02-22,03-02
0,2018,02-27,02-28,4.376066044816531,1.468647656435626,L,90%,Low,High,pos_change,18_Mar_m1,02-26,03-01
0,2018,03-28,04-18,2.5320396115591173,7.688612041904112,W,100%,Low,High,pos_change,18_Apr_m1,03-26,04-18
0,2018,03-21,03-22,3.8660117484796857,0.0,L,90%,Low,High,pos_change,18_Apr_m1,03-21,03-22
0,2018,04-27,04-30,2.422632980314745,1.6492606393843694,L,100%,Low,High,pos_change,18_May_m1,04-27,05-17
0,2018,04-25,04-26,4.680998106233489,1.761501454707339,L,90%,Low,High,pos_change,18_May_m1,04-25,04-26
0,2018,05-29,06-07,1.6449804530287966,4.20715309943283,W,100%,Low,High,pos_change,18_Jun_m1,05-27,06-09
