,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-08,2.773352935793734,2.466987725966629,L,100%,Low,High,pos_change,16_Jan_m1,01-05,01-15
0,2016,01-26,01-27,4.337426641503736,4.514579024240701,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-12
0,2016,01-28,01-29,5.578229216491284,3.809137270440387,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-29
0,2016,02-29,03-04,2.631130940301951,7.417916165572086,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-14
0,2016,02-24,02-26,4.170169878411194,13.183420330183235,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-27
0,2016,03-29,04-01,3.269042154337488,6.467659252336759,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-11
0,2016,03-29,03-30,4.42035056610657,5.431175042960812,W,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-29,05-02,3.6592031449273534,2.4571847818862387,L,100%,Low,High,pos_change,16_May_m1,04-28,05-10
0,2016,04-27,04-28,5.083527705173272,2.317025187173049,L,90%,Low,High,pos_change,16_May_m1,04-27,04-30
0,2016,06-03,06-06,3.5990841946235883,3.844675091119712,W,100%,Close,High,pos_change,16_Jun_m1,05-31,06-14
0,2016,05-25,05-26,4.882224287041669,1.1231864552817628,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-24,07-15,2.069497664594346,15.381478672208326,W,100%,Low,Open,pos_change,16_Jul_m1,06-22,07-15
0,2016,06-21,06-23,3.6352236068913206,5.775200474915038,W,90%,Low,High,pos_change,16_Jul_m1,06-21,06-24
0,2016,08-05,08-16,2.047313351740761,6.22595549893478,W,100%,Low,High,pos_change,16_Aug_m1,08-05,08-16
0,2016,07-26,07-27,3.1220464967219588,1.731901577642201,L,90%,Low,High,pos_change,16_Aug_m1,07-26,07-29
0,2016,08-29,09-01,3.9442407123664074,3.916530748940197,L,100%,Low,High,pos_change,16_Sep_m1,08-28,09-12
0,2016,08-30,09-01,5.91397318561092,3.056348580503897,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,09-27,10-11,4.025867751178151,6.988887732353772,W,100%,Low,High,pos_change,16_Oct_m1,09-26,10-11
0,2016,09-27,09-28,7.369742275689632,3.853685060371444,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,11-01,11-10,4.4227407091600455,18.32269464374077,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-11
0,2016,10-24,10-25,6.421208412918554,0.7498500265621466,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-02,12-09,3.076101512455522,7.049104445559615,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-14
0,2016,11-21,11-22,4.884227247759348,1.6454745384416103,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-09,01-13,2.389890179961496,4.49858986695573,W,100%,Low,High,pos_change,17_Jan_m1,01-09,01-19
0,2017,01-03,01-04,3.5776363396496507,3.2273236920194104,L,90%,Low,High,pos_change,17_Jan_m1,01-01,01-04
0,2017,01-27,02-10,4.337426641503736,3.650137976264632,L,100%,Low,High,pos_change,17_Feb_m1,01-26,02-12
0,2017,01-26,01-27,4.494795885833048,0.4571446010044643,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-29
0,2017,02-28,03-08,2.631130940301951,4.874807690828472,W,100%,Low,High,pos_change,17_Mar_m1,02-27,03-14
0,2017,03-27,03-30,3.269042154337488,9.111326974679496,W,100%,Low,High,pos_change,17_Apr_m1,03-26,04-11
0,2017,03-29,03-30,4.42035056610657,2.7503482458042368,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,05-12,05-15,1.9198895464723544,2.974500244046965,W,100%,Low,High,pos_change,17_May_m1,05-09,05-15
0,2017,04-28,05-01,4.695429951593768,1.6612856902819666,L,90%,Low,High,pos_change,17_May_m1,04-28,05-01
0,2017,05-31,06-13,3.5990841946235883,11.95519815898826,W,100%,Close,High,pos_change,17_Jun_m1,05-31,06-14
0,2017,05-23,05-25,4.972138239200814,3.968060287904872,L,90%,Low,High,pos_change,17_Jun_m1,05-22,05-25
0,2017,06-23,07-20,3.1415187359173604,8.457826814841637,W,100%,Low,High,pos_change,17_Jul_m1,06-20,07-20
0,2017,06-21,06-22,5.858339825492948,0.1338932308748187,L,90%,Low,High,pos_change,17_Jul_m1,06-21,06-22
0,2017,07-28,08-04,2.063659144592503,4.283258109516135,W,100%,Low,High,pos_change,17_Aug_m1,07-26,08-05
0,2017,07-27,07-28,3.1220464967219588,1.22238833748167,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-29,09-14,3.3744062482230537,5.457821742483846,W,100%,Low,High,pos_change,17_Sep_m1,08-29,09-15
0,2017,08-23,08-25,4.602135460261116,2.9040069626892,L,90%,Open,High,pos_change,17_Sep_m1,08-23,08-26
0,2017,09-26,10-06,4.025867751178151,6.409169198261852,W,100%,Low,High,pos_change,17_Oct_m1,09-26,10-11
0,2017,09-27,09-28,7.369742275689632,1.2348266380524446,L,90%,Low,High,pos_change,17_Oct_m1,09-27,09-28
0,2017,11-01,11-07,4.4227407091600455,2.202020510278567,L,100%,Low,High,pos_change,17_Nov_m1,10-29,11-11
0,2017,10-24,10-25,6.421208412918554,1.4372898780814063,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-25
0,2017,12-05,12-13,3.076101512455522,4.729731272247951,W,100%,Low,High,pos_change,17_Dec_m1,12-02,12-14
0,2017,11-27,11-28,5.560576381420045,3.736398540406424,L,90%,Low,High,pos_change,17_Dec_m1,11-25,11-28
0,2018,01-09,01-19,2.389890179961496,8.44964070833071,W,100%,Low,High,pos_change,18_Jan_m1,01-09,01-19
0,2018,01-03,01-04,3.5776363396496507,3.10092578415102,L,90%,Low,High,pos_change,18_Jan_m1,01-01,01-04
0,2018,01-26,01-29,4.337426641503736,2.2907475542917126,L,100%,Low,High,pos_change,18_Feb_m1,01-26,02-13
0,2018,01-26,01-29,4.494795885833048,2.2907475542917126,L,90%,Low,High,pos_change,18_Feb_m1,01-26,01-29
0,2018,03-02,03-12,2.631130940301951,10.969917642886296,W,100%,Low,High,pos_change,18_Mar_m1,02-27,03-14
0,2018,02-26,02-27,4.170169878411194,2.882560337887145,L,90%,Low,High,pos_change,18_Mar_m1,02-24,02-27
0,2018,03-28,04-05,3.269042154337488,6.580715968086024,W,100%,Low,High,pos_change,18_Apr_m1,03-26,04-11
0,2018,03-23,03-26,4.283603584491283,4.69320743976737,W,90%,Low,High,pos_change,18_Apr_m1,03-23,03-26
0,2018,05-09,05-14,1.9198895464723544,4.665160928056431,W,100%,Low,High,pos_change,18_May_m1,05-09,05-16
0,2018,04-26,04-27,3.643215583709182,1.6257019205639285,L,90%,Low,High,pos_change,18_May_m1,04-26,04-29
0,2018,05-31,06-07,3.5990841946235883,5.651301820826045,W,100%,Close,High,pos_change,18_Jun_m1,05-31,06-14
0,2018,05-21,05-22,4.972138239200814,2.138642720346057,L,90%,Low,High,pos_change,18_Jun_m1,05-21,05-24
0,2018,06-21,07-18,3.366577165565938,5.144958108034751,W,100%,Low,High,pos_change,18_Jul_m1,06-18,07-20
0,2018,06-25,06-26,4.85437290625357,1.2431524735973272,L,90%,Low,High,pos_change,18_Jul_m1,06-23,06-26
0,2018,07-27,07-30,2.063659144592503,1.1433113271995887,L,100%,Low,High,pos_change,18_Aug_m1,07-26,08-05
0,2018,07-26,07-27,3.1220464967219588,0.7462707811859004,L,90%,Low,High,pos_change,18_Aug_m1,07-26,07-29
0,2018,08-23,08-28,4.129159830445286,5.106295928124679,W,100%,Low,High,pos_change,18_Sep_m1,08-23,09-18
0,2018,09-04,09-05,6.697110700545671,1.8057262896930808,L,90%,Low,High,pos_change,18_Sep_m1,09-04,09-05
0,2018,09-28,10-04,4.025867751178151,3.297411053841326,L,100%,Low,High,pos_change,18_Oct_m1,09-26,10-11
0,2018,09-25,09-26,6.3006873712941305,0.4974128051125324,L,90%,Low,High,pos_change,18_Oct_m1,09-25,09-26
0,2018,10-26,11-02,2.8563945412641583,8.554915058819544,W,100%,Low,High,pos_change,18_Nov_m1,10-25,11-14
0,2018,10-22,10-23,5.532504762270956,0.0,L,90%,Low,High,pos_change,18_Nov_m1,10-22,10-23
0,2018,12-04,12-07,3.076101512455522,1.7485862093645048,L,100%,Low,High,pos_change,18_Dec_m1,12-02,12-14
0,2019,02-08,02-15,2.7773127926556964,4.885351324404545,W,100%,Low,High,pos_change,19_Feb_m1,02-08,02-15
0,2019,01-28,01-29,4.471339338312596,1.521634257612865,L,90%,Low,High,pos_change,19_Feb_m1,01-26,01-29
0,2019,02-28,03-04,2.631130940301951,3.011468252720046,W,100%,Low,High,pos_change,19_Mar_m1,02-27,03-14
0,2019,02-26,02-27,4.170169878411194,2.5942781375151136,L,90%,Low,High,pos_change,19_Mar_m1,02-24,02-27
0,2019,03-27,04-05,3.269042154337488,9.905546286994202,W,100%,Low,High,pos_change,19_Apr_m1,03-26,04-11
0,2019,03-25,03-26,4.283603584491283,3.2265942306223683,L,90%,Low,High,pos_change,19_Apr_m1,03-23,03-26
0,2019,05-09,05-10,1.9198895464723544,2.0443975734534647,W,100%,Low,High,pos_change,19_May_m1,05-09,05-15
0,2019,04-26,04-29,3.643215583709182,3.048906713245335,L,90%,Low,High,pos_change,19_May_m1,04-26,04-29
0,2019,06-03,06-11,3.7918897653422974,9.27529055576072,W,100%,Low,High,pos_change,19_Jun_m1,05-31,06-18
0,2019,05-21,05-22,4.740060314797103,0.362482667930512,L,90%,Low,High,pos_change,19_Jun_m1,05-21,05-22
0,2019,06-25,07-01,2.069497664594346,6.676135375870036,W,100%,Low,Open,pos_change,19_Jul_m1,06-24,07-15
0,2019,06-26,06-27,4.226706618994554,2.10526672720212,L,90%,Low,High,pos_change,19_Jul_m1,06-26,06-27
0,2019,07-30,07-31,1.4436647212596152,1.8564716855659864,W,100%,Low,High,pos_change,19_Aug_m1,07-28,08-05
0,2019,08-12,08-13,2.423825426873288,2.913351563964143,W,90%,Low,High,pos_change,19_Aug_m1,08-10,08-13
0,2019,08-23,09-13,4.129159830445286,16.21068794079699,W,100%,Low,High,pos_change,19_Sep_m1,08-23,09-18
0,2019,09-25,09-30,3.297411053841326,2.007089302111244,L,100%,Low,High,pos_change,19_Oct_m1,09-25,10-10
0,2019,10-25,11-05,2.8563945412641583,9.383904235961564,W,100%,Low,High,pos_change,19_Nov_m1,10-25,11-14
0,2019,10-21,10-22,6.231797845484766,3.493641190697816,L,90%,Low,High,pos_change,19_Nov_m1,10-21,10-22
0,2019,12-03,12-13,3.076101512455522,7.820411059373787,W,100%,Low,High,pos_change,19_Dec_m1,12-03,12-14
0,2019,11-21,11-22,5.877878735722973,1.0876231977747155,L,90%,Low,High,pos_change,19_Dec_m1,11-21,11-22
0,2020,02-10,02-12,2.7773127926556964,3.734897391835137,W,100%,Low,High,pos_change,20_Feb_m1,02-08,02-15
0,2020,01-27,01-29,4.337426641503736,3.197121844864361,L,90%,Low,High,pos_change,20_Feb_m1,01-26,01-29
0,2020,02-28,03-03,2.631130940301951,7.392995293576718,W,100%,Low,High,pos_change,20_Mar_m1,02-27,03-14
0,2020,02-28,03-02,4.491865066807002,6.38590296000086,W,90%,Low,High,pos_change,20_Mar_m1,02-27,03-02
0,2020,03-27,04-09,3.269042154337488,26.35869512010135,W,100%,Low,High,pos_change,20_Apr_m1,03-26,04-11
0,2020,03-23,03-26,3.9026558646633727,32.7449501811672,W,90%,Low,High,pos_change,20_Apr_m1,03-23,03-26
0,2020,04-21,04-28,1.9619906955100903,13.18380610988018,W,100%,Low,High,pos_change,20_May_m1,04-20,05-11
0,2020,04-24,04-27,3.2863825101328263,6.1460038075308026,W,90%,Low,High,pos_change,20_May_m1,04-24,04-27
0,2020,06-01,06-05,3.7918897653422974,17.974966038779367,W,100%,Low,High,pos_change,20_Jun_m1,05-31,06-18
