,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-25,01-29,2.6531109502710297,8.590287693030028,W,100%,Low,High,pos_change,16_Feb_m1,01-22,02-13
0,2016,01-19,01-20,3.878773507750667,1.5897373024500423,L,90%,Low,High,pos_change,16_Feb_m1,01-18,01-20
0,2016,02-29,03-14,2.531639049815277,9.460650242000558,W,100%,Low,High,pos_change,16_Mar_m1,02-26,03-17
0,2016,02-24,02-26,3.60934356266171,5.296715730771792,W,90%,Low,High,pos_change,16_Mar_m1,02-23,02-26
0,2016,03-24,03-30,0.867345381756218,3.2346269264308085,W,100%,Low,High,pos_change,16_Apr_m1,03-21,03-30
0,2016,03-28,03-29,1.7245922201121575,0.4878938507755781,L,90%,Low,High,pos_change,16_Apr_m1,03-26,03-29
0,2016,04-22,04-27,1.6324331596526624,3.875564492902277,W,100%,Low,High,pos_change,16_May_m1,04-21,05-03
0,2016,04-18,04-20,3.936365300958807,7.357506631845085,W,90%,Low,High,pos_change,16_May_m1,04-18,04-20
0,2016,06-06,06-07,1.4687717487779626,1.9240520244764008,W,100%,Low,High,pos_change,16_Jun_m1,06-04,06-14
0,2016,05-26,05-27,2.9258148761416964,1.2983761509159546,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-29,07-01,1.4583349227905271,6.540542465072495,W,100%,Close,Close,pos_change,16_Jul_m1,06-29,07-11
0,2016,06-20,06-21,3.2939318685327352,0.6823053746335288,L,90%,Low,High,pos_change,16_Jul_m1,06-20,06-21
0,2016,08-01,08-09,1.2641290705806834,5.137319944495495,W,100%,Low,High,pos_change,16_Aug_m1,07-29,08-15
0,2016,07-18,07-19,2.562412902671822,0.3967594330031792,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,09-01,09-02,1.2345679012345678,1.5591396718801631,W,100%,Low,High,pos_change,16_Sep_m1,08-31,09-08
0,2016,09-01,09-02,2.744359141982815,1.5591396718801631,L,90%,Low,High,pos_change,16_Sep_m1,09-01,09-02
0,2016,09-29,10-06,2.138268074562501,4.285216895424568,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-10
0,2016,09-19,09-21,3.816422172214674,2.0434864153672563,L,90%,Low,Open,pos_change,16_Oct_m1,09-19,09-22
0,2016,11-03,11-14,1.7156881765419487,16.27791567973077,W,100%,Low,High,pos_change,16_Nov_m1,10-31,11-17
0,2016,11-01,11-02,2.974476630933932,0.6663904058059471,L,90%,Low,High,pos_change,16_Nov_m1,11-01,11-02
0,2016,12-06,12-12,1.2973929911492128,5.191980772369552,W,100%,Low,High,pos_change,16_Dec_m1,12-06,12-12
0,2016,11-21,11-22,2.2402029694344705,2.045926566787577,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-09,01-13,0.6896534185299928,2.6445081087843305,W,100%,Low,Close,pos_change,17_Jan_m1,01-06,01-14
