,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,02-11,02-18,4.517707057950795,24.338626848223385,W,100%,Low,High,pos_change,16_Feb_m1,02-10,02-19
0,2016,01-20,01-21,11.71875150369794,17.078400937161675,W,90%,Low,High,pos_change,16_Feb_m1,01-20,01-21
0,2016,03-15,03-18,4.237288067101817,4.1977593102230415,L,100%,Low,High,pos_change,16_Mar_m1,03-12,03-18
0,2016,02-24,02-26,5.2301256064909865,9.343931820821098,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-27
0,2016,03-24,04-04,3.857570292449757,8.615685865401748,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-10
0,2016,04-22,04-28,4.97347482622321,18.19047473725818,W,100%,Low,Open,pos_change,16_May_m1,04-20,05-01
0,2016,04-27,04-28,5.552203338792548,10.803571953153131,W,90%,Low,High,pos_change,16_May_m1,04-27,04-30
0,2016,05-25,06-02,5.079961957097575,15.674255253016808,W,100%,Low,High,pos_change,16_Jun_m1,05-25,06-16
0,2016,05-24,05-25,8.465608688090644,5.555554606059011,L,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-28,06-30,3.3144692902604564,9.191757986776874,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-03
0,2016,06-23,06-24,7.035175879396985,3.281137502343294,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,08-01,08-05,4.120443740095087,9.077487268799963,W,100%,Low,High,pos_change,16_Aug_m1,07-29,08-09
0,2016,07-28,07-29,6.841211617428399,1.751823171237238,L,90%,Low,High,pos_change,16_Aug_m1,07-28,07-31
0,2016,08-31,09-08,2.799999530498798,10.656761373896124,W,100%,Low,High,pos_change,16_Sep_m1,08-28,09-08
0,2016,09-28,10-05,5.6338054877281785,6.880468404796998,W,100%,Low,High,pos_change,16_Oct_m1,09-25,10-05
0,2016,09-28,09-30,6.31948457614562,4.956270556130602,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-30
0,2016,10-24,11-15,7.920791077547411,7.071307080107634,L,100%,Low,High,pos_change,16_Nov_m1,10-24,11-15
0,2016,10-24,10-25,10.323703587016814,3.771369021172695,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-21,12-08,4.933915833665089,8.475448875024114,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-15
0,2016,11-28,11-29,4.9511857084523205,1.2531327841571709,L,90%,Low,High,pos_change,16_Dec_m1,11-27,11-29
0,2017,01-13,01-18,0.6992966885427103,1.5916343115629303,W,100%,Low,High,pos_change,17_Jan_m1,01-13,01-19
0,2017,01-05,01-06,5.769228598829577,1.4572022564386915,L,90%,Low,High,pos_change,17_Jan_m1,01-04,01-07
0,2017,01-30,02-02,3.5965601213366027,8.02389729526082,W,100%,Low,High,pos_change,17_Feb_m1,01-28,02-06
0,2017,02-24,03-03,3.9052475105406352,13.427566243298164,W,100%,Low,High,pos_change,17_Mar_m1,02-22,03-04
0,2017,02-24,02-27,5.2301256064909865,4.991170930118924,L,90%,Low,High,pos_change,17_Mar_m1,02-24,02-27
0,2017,03-23,03-24,3.857570292449757,14.708140510940884,W,100%,Low,High,pos_change,17_Apr_m1,03-23,04-10
0,2017,03-23,03-24,5.968854284922071,14.708140510940884,W,90%,Low,High,pos_change,17_Apr_m1,03-23,03-24
0,2017,05-08,05-10,2.6078161308314862,7.844572345249391,W,100%,Low,High,pos_change,17_May_m1,05-05,05-12
0,2017,04-27,04-28,5.552203338792548,4.05904194090668,L,90%,Low,High,pos_change,17_May_m1,04-27,04-30
0,2017,05-23,05-26,5.181925035658519,8.018871678688983,W,100%,Low,High,pos_change,17_Jun_m1,05-22,05-28
0,2017,05-24,05-25,8.465608688090644,4.2897302758258125,L,90%,Low,High,pos_change,17_Jun_m1,05-24,05-25
0,2017,06-23,06-26,4.168808302728716,4.1719333763833095,W,100%,Low,High,pos_change,17_Jul_m1,06-23,07-17
0,2017,06-19,06-20,7.757400593241906,4.121332024874141,L,90%,Low,High,pos_change,17_Jul_m1,06-19,06-20
0,2017,08-01,08-02,4.120443740095087,5.749192906417581,W,100%,Low,High,pos_change,17_Aug_m1,07-29,08-09
0,2017,07-28,07-31,6.841211617428399,2.037293408977448,L,90%,Low,High,pos_change,17_Aug_m1,07-28,07-31
0,2017,08-28,09-08,2.799999530498798,8.547009779582103,W,100%,Low,High,pos_change,17_Sep_m1,08-28,09-08
0,2017,09-26,10-03,5.6338054877281785,18.920506700114554,W,100%,Low,High,pos_change,17_Oct_m1,09-25,10-05
0,2017,09-27,09-29,6.31948457614562,9.576844701457444,W,90%,Low,High,pos_change,17_Oct_m1,09-27,09-30
0,2017,10-27,11-16,7.920791077547411,15.609390252476937,W,100%,Low,High,pos_change,17_Nov_m1,10-24,11-16
0,2017,10-24,10-25,10.323703587016814,0.3861932083841207,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-25
0,2017,11-20,11-22,4.933915833665089,7.52154687284447,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-15
0,2017,11-20,11-21,6.66666615599768,6.9612056810706,W,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-16,01-18,0.6992966885427103,5.256962407334866,W,100%,Low,High,pos_change,18_Jan_m1,01-13,01-19
0,2018,01-04,01-05,4.732040367063462,3.665855559673572,L,90%,Low,High,pos_change,18_Jan_m1,01-04,01-07
0,2018,01-30,02-01,3.5965601213366027,6.317817349319922,W,100%,Low,High,pos_change,18_Feb_m1,01-28,02-10
0,2018,01-26,01-29,9.01857173230893,0.906343018155229,L,90%,Low,High,pos_change,18_Feb_m1,01-26,01-29
0,2018,02-22,02-28,3.9052475105406352,12.306989228590965,W,100%,Low,High,pos_change,18_Mar_m1,02-22,03-04
0,2018,02-26,02-27,5.2301256064909865,4.903642137292341,L,90%,Low,High,pos_change,18_Mar_m1,02-24,02-27
0,2018,03-23,03-26,3.857570292449757,5.644558051548158,W,100%,Low,High,pos_change,18_Apr_m1,03-23,04-10
0,2018,05-08,05-11,2.6078161308314862,10.27568516956799,W,100%,Low,High,pos_change,18_May_m1,05-05,05-12
0,2018,04-27,04-30,5.552203338792548,1.0595465449261656,L,90%,Low,High,pos_change,18_May_m1,04-27,04-30
0,2018,05-21,05-30,5.236907730673317,18.57693950042505,W,100%,Low,High,pos_change,18_Jun_m1,05-21,06-09
0,2018,05-24,05-25,8.465608688090644,4.264602152895701,L,90%,Low,High,pos_change,18_Jun_m1,05-24,05-25
0,2018,06-25,07-16,4.168808302728716,9.101317442570464,W,100%,Low,High,pos_change,18_Jul_m1,06-23,07-17
0,2018,06-19,06-20,7.757400593241906,7.021534369947748,L,90%,Low,High,pos_change,18_Jul_m1,06-19,06-20
0,2018,07-30,07-31,4.120443740095087,3.433809833332217,L,100%,Low,High,pos_change,18_Aug_m1,07-29,08-09
0,2018,07-30,07-31,6.841211617428399,3.433809833332217,L,90%,Low,High,pos_change,18_Aug_m1,07-28,07-31
0,2018,08-20,08-30,4.076589410999216,15.515383892997376,W,100%,Open,High,pos_change,18_Sep_m1,08-20,09-06
0,2018,09-26,10-02,5.6338054877281785,6.210190170819648,W,100%,Low,High,pos_change,18_Oct_m1,09-25,10-05
0,2018,09-27,09-28,6.31948457614562,3.5414333718728903,L,90%,Low,High,pos_change,18_Oct_m1,09-27,09-30
0,2018,10-26,11-08,7.920791077547411,20.787175588072294,W,100%,Low,High,pos_change,18_Nov_m1,10-24,11-16
0,2018,10-24,10-25,8.014146525517617,4.971746456695968,L,90%,Low,High,pos_change,18_Nov_m1,10-22,10-25
0,2018,11-20,12-03,4.933915833665089,18.179155888699565,W,100%,Low,High,pos_change,18_Dec_m1,11-19,12-15
0,2018,11-19,11-20,6.838289677607451,0.872657555223129,L,90%,Open,High,pos_change,18_Dec_m1,11-19,11-20
0,2019,01-28,02-06,3.5965601213366027,14.48839655530249,W,100%,Low,High,pos_change,19_Feb_m1,01-28,02-06
0,2019,01-28,01-29,8.673243757016404,6.357429520738734,L,90%,Low,High,pos_change,19_Feb_m1,01-26,01-29
0,2019,02-22,02-25,3.9052475105406352,5.163757477554114,W,100%,Low,High,pos_change,19_Mar_m1,02-22,03-04
0,2019,02-26,02-27,5.2301256064909865,1.111367689361514,L,90%,Low,High,pos_change,19_Mar_m1,02-24,02-27
0,2019,03-25,04-03,3.857570292449757,11.957056756427589,W,100%,Low,High,pos_change,19_Apr_m1,03-23,04-10
0,2019,03-22,03-25,5.035978908996531,1.0348984670792538,L,90%,Low,High,pos_change,19_Apr_m1,03-22,03-25
0,2019,05-06,05-07,2.6078161308314862,2.268293427258003,L,100%,Low,High,pos_change,19_May_m1,05-05,05-12
0,2019,04-29,04-30,5.552203338792548,1.5097078241699695,L,90%,Low,High,pos_change,19_May_m1,04-27,04-30
0,2019,05-23,06-11,6.78776324624901,9.192969290528788,W,100%,Low,High,pos_change,19_Jun_m1,05-21,06-16
0,2019,05-21,05-22,8.656039003179348,0.8534828564365065,L,90%,Low,High,pos_change,19_Jun_m1,05-21,05-22
0,2019,06-28,07-01,4.042037224136981,9.61892226228295,W,100%,Low,High,pos_change,19_Jul_m1,06-28,07-05
0,2019,07-10,07-11,5.497769457807811,3.568030369490262,L,90%,Low,High,pos_change,19_Jul_m1,07-10,07-11
0,2019,07-23,07-25,2.4086375645502462,5.342853655982626,W,100%,Low,High,pos_change,19_Aug_m1,07-23,07-31
0,2019,07-30,07-31,5.414185366411807,1.277056586243987,L,90%,Low,High,pos_change,19_Aug_m1,07-30,07-31
0,2019,08-21,09-09,4.4313612794875095,13.895212442134348,W,100%,Low,High,pos_change,19_Sep_m1,08-19,09-10
0,2019,09-27,10-04,5.6338054877281785,3.985082942329084,L,100%,Low,High,pos_change,19_Oct_m1,09-25,10-05
0,2019,09-24,09-25,6.2359120776793855,3.433926227008708,L,90%,Low,High,pos_change,19_Oct_m1,09-24,09-25
0,2019,10-21,11-04,7.204860162541859,13.615673056111142,W,100%,Low,High,pos_change,19_Nov_m1,10-21,11-15
