,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,02-01,02-09,1.8404903407101163,4.657456440179219,W,100%,Low,High,pos_change,16_Feb_m1,01-30,02-19
0,2016,01-26,01-27,2.8435958673167234,1.832611402060153,L,90%,Low,High,pos_change,16_Feb_m1,01-26,01-27
0,2016,03-10,03-18,1.680672268907563,3.7981302021173375,W,100%,Low,High,pos_change,16_Mar_m1,03-09,03-18
0,2016,03-04,03-07,2.797207605967076,3.6873039085322143,W,90%,Low,High,pos_change,16_Mar_m1,03-04,03-07
0,2016,03-23,03-30,1.9159006819471605,2.5339328500553298,W,100%,Low,Open,pos_change,16_Apr_m1,03-23,04-05
0,2016,04-21,04-27,2.316606335205955,4.962641480346778,W,100%,Low,High,pos_change,16_May_m1,04-21,05-01
0,2016,04-18,04-19,3.8461538461538463,1.657079320810305,L,90%,Open,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-08,06-17,2.419164150921898,3.641480972607298,W,100%,Low,High,pos_change,16_Jun_m1,06-07,06-17
0,2016,05-25,05-26,3.673166426508504,0.8749797326155908,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-23,07-06,1.4697110864552962,7.326985783032604,W,100%,Low,High,pos_change,16_Jul_m1,06-20,07-06
0,2016,06-28,07-01,2.0020018796871897,3.943307720984665,W,90%,Low,Open,pos_change,16_Jul_m1,06-28,07-01
0,2016,07-21,07-22,2.393272216339722,2.9749145699765607,W,100%,Low,High,pos_change,16_Aug_m1,07-18,08-03
0,2016,07-18,07-19,2.5704297194012926,0.5643085205491968,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-24,08-26,1.324115800669977,1.1906700401782235,L,100%,Low,High,pos_change,16_Sep_m1,08-22,08-30
0,2016,09-23,09-27,2.906117171357001,3.659809088629023,W,100%,Low,High,pos_change,16_Oct_m1,09-23,10-17
0,2016,09-26,09-27,3.651287959987918,2.2096803380050467,L,90%,Low,High,pos_change,16_Oct_m1,09-26,09-29
0,2016,10-24,10-31,1.8617804837370693,4.02462461419784,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-04
0,2016,10-27,10-28,2.9740412699226395,1.705135595564654,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-29
0,2016,12-05,12-07,1.4789463096890283,3.9936354752419136,W,100%,Low,High,pos_change,16_Dec_m1,12-03,12-11
0,2016,11-22,11-23,2.374725812851844,0.2112910475409558,L,90%,Low,High,pos_change,16_Dec_m1,11-22,11-24
0,2017,02-06,02-08,1.681119786155531,2.339512198014196,W,100%,Low,High,pos_change,17_Feb_m1,02-04,02-16
0,2017,01-31,02-01,2.03190444999976,1.2033345999027214,L,90%,Low,High,pos_change,17_Feb_m1,01-31,02-01
0,2017,03-01,03-15,2.271049177391717,3.125732255176877,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-16
0,2017,03-01,03-02,2.866310486819017,2.355958918371233,L,90%,Low,Open,pos_change,17_Mar_m1,02-28,03-03
0,2017,03-23,03-24,1.9159006819471605,1.14593189487474,L,100%,Low,Open,pos_change,17_Apr_m1,03-23,04-05
0,2017,03-23,03-24,2.4371644126929417,1.14593189487474,L,90%,Low,High,pos_change,17_Apr_m1,03-22,03-25
