,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-27,02-03,1.602552513595966,8.354177565858631,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-17
0,2016,02-04,02-05,2.364067647979036,0.379866693897254,L,90%,Open,High,pos_change,16_Feb_m1,02-04,02-07
0,2016,03-02,03-09,0.7481281664286776,8.834767594493684,W,100%,Low,High,pos_change,16_Mar_m1,03-02,03-09
0,2016,03-01,03-02,3.3020922131642454,3.078357420577925,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-24,04-04,2.199409002100878,4.636917924938241,W,100%,Low,High,pos_change,16_Apr_m1,03-24,04-05
0,2016,03-21,03-24,3.182892269688863,2.433624901668162,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-24
0,2016,04-21,05-05,1.650941646536229,8.284031220094583,W,100%,Low,High,pos_change,16_May_m1,04-20,05-10
0,2016,04-28,04-29,3.467564838931356,2.341289865820895,L,90%,Low,High,pos_change,16_May_m1,04-28,04-30
0,2016,06-07,06-10,1.2345674573203258,3.670100575869845,W,100%,Low,Close,pos_change,16_Jun_m1,06-04,06-10
0,2016,05-26,05-27,3.3950709951048665,1.4267736201277068,L,90%,Close,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-24,07-05,1.4112029328360236,8.323279553568463,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-08
0,2016,06-28,06-29,3.574325488663604,3.2206738696949446,L,90%,Low,High,pos_change,16_Jul_m1,06-28,06-29
0,2016,08-02,08-03,1.3533720252426693,2.1653588687770404,W,100%,Low,High,pos_change,16_Aug_m1,07-30,08-06
0,2016,07-28,07-29,2.6845693120461687,1.7688633889310954,L,90%,Low,High,pos_change,16_Aug_m1,07-28,07-31
0,2016,08-31,09-06,1.7064924446407184,3.417719155558037,W,100%,Low,High,pos_change,16_Sep_m1,08-31,09-13
0,2016,08-31,09-01,3.2603470695851726,1.308014582122462,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-26,09-27,2.851473533833979,1.359456815179292,L,100%,Low,High,pos_change,16_Oct_m1,09-25,10-17
0,2016,09-26,09-27,4.237285253657573,1.359456815179292,L,90%,Close,High,pos_change,16_Oct_m1,09-24,09-27
0,2016,10-27,10-31,2.3226580245819783,4.909910428505617,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-18
0,2016,10-27,10-28,2.936531803531566,2.2072061003536843,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-30
0,2016,12-01,12-14,1.6194299308971256,4.699861515304631,W,100%,Low,High,pos_change,16_Dec_m1,11-29,12-15
0,2017,01-12,01-13,1.5923639744207636,1.7471225782372486,W,100%,Low,High,pos_change,17_Jan_m1,01-09,01-15
0,2017,01-27,02-17,1.602552513595966,3.4592637807679347,W,100%,Low,High,pos_change,17_Feb_m1,01-26,02-17
0,2017,02-03,02-06,1.949022145750144,1.1748768131124925,L,90%,Low,High,pos_change,17_Feb_m1,02-03,02-06
0,2017,02-21,03-02,1.2658223959139168,7.811807258066633,W,100%,Low,Open,pos_change,17_Mar_m1,02-20,03-03
0,2017,03-01,03-02,3.3020922131642454,3.098478209391425,L,90%,Low,High,pos_change,17_Mar_m1,03-01,03-02
0,2017,03-27,04-21,2.6086906052715584,2.706136606004914,W,100%,Low,High,pos_change,17_Apr_m1,03-24,04-21
0,2017,03-21,03-22,3.937355378434484,2.9322996529349354,L,90%,Low,High,pos_change,17_Apr_m1,03-21,03-22
0,2017,05-09,05-12,1.4018572449055604,1.3727117767824586,L,100%,Low,Close,pos_change,17_May_m1,05-07,05-14
0,2017,05-01,05-02,2.9530711370359715,0.915138539834229,L,90%,Low,High,pos_change,17_May_m1,05-01,05-02
0,2017,05-22,06-06,1.538131931639641,7.748478202718896,W,100%,Low,High,pos_change,17_Jun_m1,05-22,06-12
0,2017,07-03,07-21,3.0930492660166404,3.131196709713931,W,100%,Low,High,pos_change,17_Jul_m1,06-30,07-21
0,2017,06-28,06-29,3.574325488663604,0.0,L,90%,Low,High,pos_change,17_Jul_m1,06-28,06-29
0,2017,08-02,08-03,1.3533720252426693,3.650487510903368,W,100%,Low,High,pos_change,17_Aug_m1,07-30,08-11
0,2017,08-02,08-03,2.5130915733148758,3.650487510903368,W,90%,Low,Open,pos_change,17_Aug_m1,07-31,08-03
0,2017,08-22,08-28,1.6949158518737222,2.4051085117204813,W,100%,Low,High,pos_change,17_Sep_m1,08-21,09-10
0,2017,08-31,09-01,3.023755019748531,0.5963468053189932,L,90%,Low,High,pos_change,17_Sep_m1,08-31,09-01
0,2017,09-22,09-26,2.405356696286679,1.9080987745136635,L,100%,Low,High,pos_change,17_Oct_m1,09-21,10-05
0,2017,09-18,09-19,5.357143889073619,0.9094345459223644,L,90%,Low,High,pos_change,17_Oct_m1,09-18,09-19
0,2017,10-25,11-15,1.914629271737886,6.605219865137858,W,100%,Low,High,pos_change,17_Nov_m1,10-25,11-16
0,2017,10-26,10-27,2.857158222382488,0.7196990030418599,L,90%,Low,High,pos_change,17_Nov_m1,10-26,10-29
0,2017,11-29,12-01,1.6194299308971256,2.632558434918922,W,100%,Low,High,pos_change,17_Dec_m1,11-29,12-15
0,2017,11-21,11-22,2.420852549766872,0.8109149558001995,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
0,2018,01-16,01-17,0.3472237672518002,2.061420957853293,W,100%,Low,High,pos_change,18_Jan_m1,01-14,01-19
0,2018,01-03,01-04,2.4342067970009333,1.1164301734341169,L,90%,Low,High,pos_change,18_Jan_m1,01-03,01-06
0,2018,02-06,02-07,1.3868043940352992,4.185016844324563,W,100%,Low,High,pos_change,18_Feb_m1,02-03,02-12
0,2018,02-05,02-06,1.949022145750144,0.0,L,90%,Low,High,pos_change,18_Feb_m1,02-03,02-06
0,2018,03-07,03-15,2.153928966994713,3.3318730674088464,W,100%,Low,High,pos_change,18_Mar_m1,03-04,03-15
0,2018,03-02,03-05,2.972402486696749,2.6968283836709386,L,90%,Low,High,pos_change,18_Mar_m1,03-02,03-05
0,2018,03-29,04-06,3.31034264194468,3.834807690545579,W,100%,Low,High,pos_change,18_Apr_m1,03-29,04-19
0,2018,03-19,03-20,4.172464835444903,0.9511510103134542,L,90%,Low,High,pos_change,18_Apr_m1,03-19,03-20
0,2018,04-24,05-02,1.650941646536229,7.516886640021781,W,100%,Close,High,pos_change,18_May_m1,04-23,05-02
0,2018,04-26,04-27,2.411642170916525,3.5368427477384867,W,90%,Low,High,pos_change,18_May_m1,04-26,04-27
0,2018,05-24,05-31,1.6702601320193946,3.5351438858511166,W,100%,Low,High,pos_change,18_Jun_m1,05-24,06-03
0,2018,05-29,05-30,2.267575073924766,1.8057815471980383,L,90%,Low,High,pos_change,18_Jun_m1,05-28,05-30
0,2018,07-02,07-06,2.695205380552724,2.8952389671688987,W,100%,Low,High,pos_change,18_Jul_m1,06-30,07-20
0,2018,07-02,07-03,3.31164678294237,2.24761962890625,L,90%,Low,Open,pos_change,18_Jul_m1,06-30,07-03
0,2018,08-01,08-15,1.9895239457343408,7.943375672522269,W,100%,Low,High,pos_change,18_Aug_m1,07-30,08-15
0,2018,08-01,08-03,2.2572233018540637,4.8761295959001085,W,90%,Low,Close,pos_change,18_Aug_m1,08-01,08-04
0,2018,08-24,09-13,2.0476181064981938,4.653760132523091,W,100%,Low,High,pos_change,18_Sep_m1,08-22,09-21
