,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,0.7817752042954891,2.8425887691201823,W,100%,Low,Close,pos_change,16_Jan_m1,01-02,01-14
0,2016,02-08,02-18,2.4027106942555565,9.91797120685815,W,100%,Close,High,pos_change,16_Feb_m1,02-06,02-18
0,2016,02-01,02-02,3.8448888644204335,2.91734070470503,L,90%,Low,High,pos_change,16_Feb_m1,02-01,02-04
0,2016,02-29,03-01,2.134531571715166,2.468328349902508,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-16
0,2016,02-24,02-25,4.337731514882916,5.371622067894522,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-24,03-31,2.160625147995125,2.486911787183828,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-03
0,2016,03-22,03-23,3.634576370012134,0.0,L,90%,Low,High,pos_change,16_Apr_m1,03-22,03-23
0,2016,05-06,05-10,2.1469266278599006,4.548624192692601,W,100%,Low,High,pos_change,16_May_m1,05-05,05-17
0,2016,04-19,04-20,3.617178038268283,1.5337937288513526,L,90%,Low,High,pos_change,16_May_m1,04-19,04-20
0,2016,05-26,05-27,0.8407340920046391,1.6726624652852249,W,100%,Low,High,pos_change,16_Jun_m1,05-25,06-07
0,2016,06-01,06-02,2.754922775920254,3.3068784212977183,W,90%,Low,High,pos_change,16_Jun_m1,05-31,06-03
0,2016,06-27,07-14,2.93178025882582,13.830611878780658,W,100%,Low,High,pos_change,16_Jul_m1,06-25,07-14
0,2016,06-27,06-28,3.5361229359477497,3.3411057420308725,L,90%,Low,High,pos_change,16_Jul_m1,06-25,06-28
0,2016,07-28,08-08,2.340423726531219,2.5645686779770336,W,100%,Low,High,pos_change,16_Aug_m1,07-25,08-08
0,2016,07-29,08-01,3.248899545954394,1.195435352937234,L,90%,Low,High,pos_change,16_Aug_m1,07-29,08-01
0,2016,08-22,08-24,2.727272727272727,2.864450573687526,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-12
0,2016,08-31,09-01,4.602174106205104,2.3780392428902988,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,09-23,09-27,3.0581037852682544,1.1473339462136716,L,100%,Low,High,pos_change,16_Oct_m1,09-22,10-21
0,2016,09-20,09-21,4.963800811264205,1.1322183447515344,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,10-25,10-28,2.5296920304309625,3.529877633295876,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-06
0,2016,10-25,10-27,4.783859633581845,3.214358307125939,L,90%,Low,Close,pos_change,16_Nov_m1,10-24,10-27
0,2016,11-23,12-08,1.7494991517037644,2.4804696071077945,W,100%,Low,High,pos_change,16_Dec_m1,11-23,12-09
0,2016,11-21,11-22,3.2071160321466965,1.5701653092858414,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-03,01-06,0.7817752042954891,4.481359231814148,W,100%,Low,Close,pos_change,17_Jan_m1,01-02,01-14
0,2017,02-06,02-16,2.247329368053054,9.35638617342618,W,100%,Low,High,pos_change,17_Feb_m1,02-06,02-16
0,2017,01-25,01-26,3.0696649317524964,0.8008946101218011,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-26
0,2017,02-21,02-24,3.07464307428273,3.9501732666698026,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-07
0,2017,03-22,03-29,2.160625147995125,6.212798096852016,W,100%,Low,High,pos_change,17_Apr_m1,03-22,04-03
0,2017,04-27,04-28,2.3196325866880665,1.1291184367285807,L,100%,Low,High,pos_change,17_May_m1,04-24,05-12
0,2017,04-28,05-01,3.2481258076832704,0.5622077923874859,L,90%,Low,High,pos_change,17_May_m1,04-28,05-01
0,2017,05-30,06-13,0.8519145120575414,3.837386932342749,W,100%,Low,High,pos_change,17_Jun_m1,05-28,06-13
0,2017,06-01,06-02,2.754922775920254,1.532272076400913,L,90%,Low,High,pos_change,17_Jun_m1,05-31,06-03
0,2017,06-27,06-30,2.93178025882582,13.43085063981692,W,100%,Low,High,pos_change,17_Jul_m1,06-25,07-14
0,2017,06-27,06-28,3.5361229359477497,1.8427075075040256,L,90%,Low,High,pos_change,17_Jul_m1,06-25,06-28
0,2017,07-28,08-03,2.5645686779770336,4.416072976861496,W,100%,Low,High,pos_change,17_Aug_m1,07-26,08-08
0,2017,07-31,08-01,3.0108693155317456,2.7601521431757274,L,90%,Low,High,pos_change,17_Aug_m1,07-29,08-01
0,2017,08-21,08-28,2.727272727272727,2.485407041337786,L,100%,Low,High,pos_change,17_Sep_m1,08-21,09-12
0,2017,10-12,10-20,2.2066407560123897,6.256209774262346,W,100%,Low,High,pos_change,17_Oct_m1,10-09,10-20
0,2017,09-19,09-20,4.304552488084002,2.1519731560376867,L,90%,Low,High,pos_change,17_Oct_m1,09-18,09-20
0,2017,10-25,10-26,3.126211050199059,8.69565595268066,W,100%,Low,High,pos_change,17_Nov_m1,10-23,11-10
0,2017,10-25,10-26,4.726978969856368,8.69565595268066,W,90%,Low,High,pos_change,17_Nov_m1,10-24,10-27
0,2017,11-24,11-30,2.5907746321063336,3.904259451736504,W,100%,Low,High,pos_change,17_Dec_m1,11-21,12-06
0,2017,11-20,11-21,3.681692726125151,2.449123826929592,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-04,01-12,0.7817752042954891,3.469227833909969,W,100%,Low,Close,pos_change,18_Jan_m1,01-02,01-14
