,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.7738605542555934,3.094298339295203,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-12
0,2016,01-05,01-06,4.800000871930803,1.2609035448655648,L,90%,Low,High,pos_change,16_Jan_m1,01-05,01-06
0,2016,02-04,02-05,3.2640903537627914,11.304803777860084,W,100%,Low,High,pos_change,16_Feb_m1,02-01,02-11
0,2016,01-22,01-25,6.696925888900736,1.4613814659467588,L,90%,Low,High,pos_change,16_Feb_m1,01-22,01-25
0,2016,03-09,03-16,1.4523714429903185,11.469534662757628,W,100%,Low,High,pos_change,16_Mar_m1,03-08,03-16
0,2016,03-02,03-03,2.9358882890283344,2.4888003793050872,L,90%,Low,High,pos_change,16_Mar_m1,03-02,03-05
0,2016,03-21,03-22,2.0996224878986625,2.517403917696119,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-10
0,2016,03-23,03-24,4.85782963827832,1.4634067168028828,L,90%,Low,High,pos_change,16_Apr_m1,03-22,03-25
0,2016,04-29,05-13,3.090234799563361,3.9251185959702193,W,100%,Low,High,pos_change,16_May_m1,04-26,05-17
0,2016,04-20,04-21,8.773391589551885,1.3865778728736846,L,90%,Low,High,pos_change,16_May_m1,04-20,04-21
0,2016,06-13,06-17,2.495295161755109,18.847264471856278,W,100%,Low,High,pos_change,16_Jun_m1,06-12,06-17
0,2016,05-23,05-26,3.387036898728214,3.2085616041312064,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-26
0,2016,06-27,07-14,3.2691426096304794,7.196770696675617,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-15
0,2016,06-24,06-27,4.628191982232199,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-24,06-27
0,2016,08-02,08-19,2.729345123611451,17.07557209464605,W,100%,Low,High,pos_change,16_Aug_m1,08-01,08-19
0,2016,07-27,07-28,5.940595394953377,1.6831690086451991,L,90%,Low,High,pos_change,16_Aug_m1,07-27,07-30
0,2016,08-26,09-14,4.193035748224253,7.366637211239984,W,100%,Low,High,pos_change,16_Sep_m1,08-25,09-16
0,2016,08-30,08-31,6.257514775352329,1.3417177765449544,L,90%,Low,High,pos_change,16_Sep_m1,08-30,08-31
0,2016,10-07,10-10,3.6117456083349846,0.914882478794592,L,100%,Low,High,pos_change,16_Oct_m1,10-05,10-21
0,2016,09-20,09-21,6.01391169981064,2.406199598585575,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,10-24,11-03,4.860087041387779,5.334983423894267,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-05
0,2016,10-25,10-27,6.474505726021497,1.613552253964346,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-27
0,2016,11-25,12-13,3.321467649286792,2.3227370560673424,L,100%,Low,High,pos_change,16_Dec_m1,11-24,12-16
0,2016,11-21,11-22,5.100826261286088,8.448271638006288,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-06,01-13,2.9585769599628917,6.6395157587402025,W,100%,Low,High,pos_change,17_Jan_m1,01-06,01-16
0,2017,01-03,01-06,4.658580336197278,5.427004557576169,W,90%,Low,High,pos_change,17_Jan_m1,01-03,01-06
0,2017,02-02,02-10,3.2640903537627914,10.665656724143217,W,100%,Low,High,pos_change,17_Feb_m1,02-01,02-11
0,2017,01-26,01-27,5.771006504182165,1.330871055472469,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-29
0,2017,03-08,03-13,1.4523714429903185,6.433953156378114,W,100%,Low,High,pos_change,17_Mar_m1,03-08,03-16
0,2017,03-02,03-03,2.9358882890283344,2.0550336865283385,L,90%,Low,High,pos_change,17_Mar_m1,03-02,03-05
0,2017,03-21,03-29,2.0996224878986625,3.372281455107637,W,100%,Low,High,pos_change,17_Apr_m1,03-21,04-10
0,2017,03-23,03-24,4.1436463215096335,1.0447326508018182,L,90%,Low,High,pos_change,17_Apr_m1,03-23,03-24
0,2017,04-26,05-04,3.090234799563361,4.898480556815477,W,100%,Low,High,pos_change,17_May_m1,04-26,05-09
0,2017,05-23,05-30,2.479347160499815,5.578374765293956,W,100%,Low,High,pos_change,17_Jun_m1,05-23,06-02
0,2017,05-24,05-25,3.8591718155608135,1.715439746836515,L,90%,Low,High,pos_change,17_Jun_m1,05-24,05-25
0,2017,06-29,07-13,3.5826208678632767,10.1046598228802,W,100%,Low,High,pos_change,17_Jul_m1,06-26,07-16
