,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-11,01-13,0.8874296287073874,2.671986778840944,W,100%,Low,High,pos_change,16_Jan_m1,01-09,01-15
0,2016,01-07,01-08,1.9086209733045465,1.7961452200088617,L,90%,Low,High,pos_change,16_Jan_m1,01-07,01-10
0,2016,02-02,02-05,3.66115116646537,3.521006400048379,L,100%,Low,High,pos_change,16_Feb_m1,01-30,02-19
0,2016,01-19,01-20,4.770992227481749,0.0,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-20
0,2016,02-26,03-07,2.10418777761422,11.545589520841116,W,100%,Low,High,pos_change,16_Mar_m1,02-26,03-08
0,2016,02-24,02-25,3.737521831115676,4.984152680338843,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-29,04-04,2.154672839069017,4.771651620939961,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-11
0,2016,03-29,03-30,2.7349011910176424,4.2992178849347935,W,90%,Low,High,pos_change,16_Apr_m1,03-27,03-30
0,2016,04-19,04-21,2.787396288293553,6.274563117493338,W,100%,Low,High,pos_change,16_May_m1,04-19,05-10
0,2016,05-26,05-31,1.7871042006961186,2.086456758615452,W,100%,Low,High,pos_change,16_Jun_m1,05-26,06-16
0,2016,05-26,05-27,2.9317183493148518,1.3091491347353328,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,07-07,07-13,0.6784884714568545,6.036956019784413,W,100%,Low,High,pos_change,16_Jul_m1,07-07,07-13
0,2016,06-23,06-24,3.471229388829147,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-21,07-27,2.3529411764705883,4.243153375972687,W,100%,Low,High,pos_change,16_Aug_m1,07-21,08-01
0,2016,07-18,07-19,3.9738474387553415,0.4173594037495366,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-29,09-01,2.0891166821483758,3.241607666458409,W,100%,Low,High,pos_change,16_Sep_m1,08-27,09-15
0,2016,09-01,09-02,2.8790765064863453,1.79108752486331,L,90%,Low,High,pos_change,16_Sep_m1,09-01,09-02
0,2016,10-04,10-10,2.359879737637352,7.635389009924083,W,100%,Low,High,pos_change,16_Oct_m1,10-01,10-10
0,2016,09-29,09-30,4.95867058007012,2.831321099722044,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-30
0,2016,10-26,11-11,4.142144255770177,14.4307840839827,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-11
0,2016,10-24,10-25,4.727905784191194,0.4792730845638878,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-05,12-15,2.118195338683875,7.074752621700747,W,100%,Low,High,pos_change,16_Dec_m1,12-04,12-16
0,2016,12-05,12-07,2.382451913686592,5.2266069463327085,W,90%,Low,High,pos_change,16_Dec_m1,12-04,12-07
0,2017,01-05,01-13,1.7516839923923408,2.404493696234199,W,100%,Low,High,pos_change,17_Jan_m1,01-05,01-15
0,2017,01-30,02-16,2.87977931084923,8.630370914124793,W,100%,Low,High,pos_change,17_Feb_m1,01-29,02-16
0,2017,01-30,01-31,4.278785693208832,2.380376734891014,L,90%,Low,High,pos_change,17_Feb_m1,01-29,01-31
0,2017,02-28,03-01,2.10418777761422,4.07197909780058,W,100%,Low,High,pos_change,17_Mar_m1,02-26,03-08
0,2017,02-22,02-23,4.361367409287452,1.010910077619117,L,90%,Low,High,pos_change,17_Mar_m1,02-20,02-23
0,2017,03-22,04-21,2.679474466631845,3.3674798069879075,W,100%,Low,High,pos_change,17_Apr_m1,03-20,04-21
0,2017,03-29,03-30,4.825519631732256,2.053678178417448,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,04-25,04-27,2.352197231512043,3.766582395056797,W,100%,Low,High,pos_change,17_May_m1,04-25,05-10
0,2017,05-26,06-15,1.7871042006961186,6.942705628190833,W,100%,Low,High,pos_change,17_Jun_m1,05-26,06-15
0,2017,06-05,06-06,2.476515464631184,0.0,L,90%,Low,High,pos_change,17_Jun_m1,06-03,06-06
0,2017,07-06,07-10,2.847210217519004,1.8299645009993823,L,100%,Low,High,pos_change,17_Jul_m1,07-06,07-21
0,2017,06-26,06-27,4.200345070173439,2.2970102146672016,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-27
0,2017,08-01,08-08,1.2678629211645844,2.7433417289948423,W,100%,Low,High,pos_change,17_Aug_m1,08-01,08-13
0,2017,07-31,08-01,2.1063788977807927,1.4259405207272386,L,90%,Low,High,pos_change,17_Aug_m1,07-30,08-01
0,2017,08-29,09-12,2.0891166821483758,4.350301561362889,W,100%,Low,High,pos_change,17_Sep_m1,08-27,09-15
0,2017,10-03,10-06,2.359879737637352,2.81058576794226,W,100%,Low,High,pos_change,17_Oct_m1,10-01,10-10
0,2017,09-27,09-29,4.95867058007012,2.0601551346701235,L,90%,Low,High,pos_change,17_Oct_m1,09-27,09-30
0,2017,10-25,10-26,4.142144255770177,2.9421204280362083,L,100%,Low,High,pos_change,17_Nov_m1,10-25,11-11
0,2017,10-24,10-25,4.727905784191194,1.7711197587889551,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-25
0,2017,11-24,12-04,2.002109057248837,6.190735516730324,W,100%,Low,High,pos_change,17_Dec_m1,11-22,12-05
0,2017,11-21,11-22,3.173230256907003,1.1056782293445049,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
