,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.694921410768227,2.0392537506895483,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-08
0,2016,01-25,02-05,3.0097459935572206,18.437685352986584,W,100%,Low,High,pos_change,16_Feb_m1,01-22,02-19
0,2016,01-25,01-26,6.767798434416138,5.916144145162708,L,90%,Low,High,pos_change,16_Feb_m1,01-25,01-26
0,2016,03-02,03-18,2.462078341228046,14.923566276409211,W,100%,Low,High,pos_change,16_Mar_m1,03-02,03-18
0,2016,04-01,04-04,3.314917127071823,2.2688303315455207,L,100%,Low,High,pos_change,16_Apr_m1,03-30,04-10
0,2016,03-29,03-30,4.76922842172476,5.570064021511042,W,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-21,04-28,2.6649219161946487,5.165668478392712,W,100%,Low,High,pos_change,16_May_m1,04-21,05-02
0,2016,04-26,04-27,3.765423915277932,4.131548321666554,W,90%,Low,High,pos_change,16_May_m1,04-24,04-27
0,2016,06-01,06-08,1.7883379414353318,8.515971287933684,W,100%,Low,High,pos_change,16_Jun_m1,05-29,06-15
0,2016,05-25,05-26,3.621783423851261,5.112430798930655,W,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-28,07-08,2.1905769277487024,14.790094335942522,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-09
0,2016,07-26,07-27,3.355571262154295,3.702287347741532,W,100%,Low,High,pos_change,16_Aug_m1,07-26,08-14
0,2016,07-25,07-26,7.006369426751593,3.2078335092055763,L,90%,Low,High,pos_change,16_Aug_m1,07-23,07-26
0,2016,08-26,09-02,2.337988604569454,3.601564096531075,W,100%,Low,High,pos_change,16_Sep_m1,08-26,09-08
0,2016,08-31,09-01,6.720430107526881,2.677461410038149,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,10-04,10-20,1.8252034466171676,2.818086591142345,W,100%,Low,High,pos_change,16_Oct_m1,10-01,10-20
0,2016,09-27,09-28,4.895456678190515,2.916235557208547,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-26,11-15,4.995220231753799,29.72914419662124,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-18
0,2016,10-24,10-25,6.242712978369138,0.8196708168134017,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-23,12-05,1.7197598194351713,5.948323963466198,W,100%,Low,High,pos_change,16_Dec_m1,11-23,12-05
0,2016,11-21,11-22,5.616297781474924,5.851426079563872,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-04,01-05,1.7567567567567568,5.868421010188332,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-16
0,2017,01-03,01-04,4.086135341775238,3.846154591930487,L,90%,Low,High,pos_change,17_Jan_m1,01-03,01-04
0,2017,02-01,02-15,2.7858946870975383,15.1094534364897,W,100%,Low,High,pos_change,17_Feb_m1,02-01,02-15
0,2017,01-25,01-26,6.767798434416138,3.015924712794082,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-26
0,2017,02-24,03-01,2.245987672856785,7.495433394508814,W,100%,Low,High,pos_change,17_Mar_m1,02-24,03-06
0,2017,02-24,02-27,3.443489364470737,4.902776886674388,W,90%,Low,Open,pos_change,17_Mar_m1,02-24,02-27
0,2017,03-31,04-05,3.314917127071823,4.394680311794178,W,100%,Low,High,pos_change,17_Apr_m1,03-30,04-11
0,2017,03-29,03-30,5.015387901893028,2.034637732698453,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,04-26,05-01,2.390746192020281,5.324546203521837,W,100%,Low,High,pos_change,17_May_m1,04-26,05-05
0,2017,04-26,04-27,3.765423915277932,4.91886385212593,W,90%,Low,High,pos_change,17_May_m1,04-24,04-27
