,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.5398557688528411,3.202261764213452,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-15
0,2016,01-07,01-08,1.932045019526497,1.5940208351820917,L,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,01-28,02-01,5.767145928676988,7.940847959560031,W,100%,Low,High,pos_change,16_Feb_m1,01-28,02-18
0,2016,01-28,01-29,6.797383067897454,6.352682545848702,L,90%,Low,High,pos_change,16_Feb_m1,01-27,01-30
0,2016,03-01,03-18,1.6670881846630392,16.069553308586705,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-18
0,2016,03-08,03-11,3.050847457627119,8.049291410469833,W,90%,Low,High,pos_change,16_Mar_m1,03-08,03-11
0,2016,03-28,04-04,1.9836245473124847,6.496842065474431,W,100%,Low,High,pos_change,16_Apr_m1,03-28,04-15
0,2016,05-06,05-10,2.685881678289332,5.968542268629486,W,100%,Low,High,pos_change,16_May_m1,05-05,05-16
0,2016,04-18,04-19,5.693953348355684,2.5227286598899146,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-10,06-15,1.4204545454545454,2.377979217776967,W,100%,Low,High,pos_change,16_Jun_m1,06-09,06-17
0,2016,05-25,05-26,3.9565210757048233,0.4604462668978797,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-28,07-01,2.1778505024126864,8.097429562037258,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-09
0,2016,06-21,06-23,2.9724492761893297,2.612486311817296,L,90%,Low,High,pos_change,16_Jul_m1,06-21,06-24
0,2016,07-25,08-01,2.814260741361017,12.618754319305772,W,100%,Low,High,pos_change,16_Aug_m1,07-25,08-06
0,2016,07-21,07-22,4.49438202247191,1.3003117816194898,L,90%,Low,High,pos_change,16_Aug_m1,07-21,07-22
0,2016,09-01,09-06,1.6194331983805668,3.679695475885477,W,100%,Low,High,pos_change,16_Sep_m1,08-29,09-09
0,2016,08-31,09-01,3.7456474069860137,0.7759270367678628,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,09-27,10-03,3.3923234791117767,3.3931390793427294,W,100%,Low,High,pos_change,16_Oct_m1,09-26,10-17
0,2016,09-27,09-29,4.621848739495799,2.5936073765891843,L,90%,Low,High,pos_change,16_Oct_m1,09-26,09-29
0,2016,10-28,11-08,2.834467218255187,4.000001565004006,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-18
0,2016,10-26,10-27,3.9242730703507673,1.298701006248387,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,12-12,12-13,1.752433604130569,6.027819578383731,W,100%,Low,High,pos_change,16_Dec_m1,12-10,12-16
0,2016,12-01,12-02,3.395059217717321,1.8117621297642732,L,90%,Low,High,pos_change,16_Dec_m1,12-01,12-02
0,2017,01-04,01-13,1.5398557688528411,5.380173428792925,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-15
0,2017,01-30,02-02,5.106823944569807,5.3822511825603305,W,100%,Low,High,pos_change,17_Feb_m1,01-28,02-17
0,2017,01-27,01-30,6.797383067897454,1.357265603639929,L,90%,Low,High,pos_change,17_Feb_m1,01-27,01-30
0,2017,02-21,02-27,1.8153447181333549,8.335125634180015,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-09
0,2017,02-24,02-27,3.0302993430020595,7.822908844063894,W,90%,Low,High,pos_change,17_Mar_m1,02-24,02-27
0,2017,03-29,03-30,2.378256398204284,1.3962340618164948,L,100%,Low,High,pos_change,17_Apr_m1,03-29,04-19
0,2017,03-23,03-24,3.447112039553215,1.177215423341585,L,90%,Low,High,pos_change,17_Apr_m1,03-23,03-26
