,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-11,0.646240636122627,5.072781714424561,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-11
0,2016,02-02,02-04,1.8375823591576963,15.819960572962756,W,100%,Low,High,pos_change,16_Feb_m1,02-02,02-19
0,2016,01-20,01-22,3.4541961077147403,32.50790424185101,W,90%,Low,High,pos_change,16_Feb_m1,01-19,01-22
0,2016,02-29,03-16,2.274248763677654,29.478754116192874,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-16
0,2016,02-22,02-23,2.890184067065214,2.705266744565912,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-24,03-31,2.194785298345041,8.955227715005307,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-01
0,2016,03-21,03-22,3.755141697820246,3.8540282396889327,W,90%,Low,High,pos_change,16_Apr_m1,03-21,03-24
0,2016,05-03,05-10,2.650594288609651,17.650457846437913,W,100%,Low,High,pos_change,16_May_m1,04-30,05-10
0,2016,04-18,04-19,3.771828724648276,13.042047449745215,W,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-06,06-09,1.5678461267499857,5.549287125788798,W,100%,Low,High,pos_change,16_Jun_m1,06-04,06-14
0,2016,05-25,05-26,3.141366522589768,4.066005482908633,W,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-24,07-12,2.825384953654605,9.42933456238127,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-13
0,2016,06-27,06-29,4.417617579609245,7.906664537211706,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-28,08-12,2.4664406669848957,9.914686057092045,W,100%,Low,High,pos_change,16_Aug_m1,07-28,08-14
0,2016,08-01,08-02,3.492644302626424,3.1549391101583626,L,90%,Low,High,pos_change,16_Aug_m1,07-30,08-02
0,2016,08-26,09-08,2.420457822805885,9.74458231521419,W,100%,Low,High,pos_change,16_Sep_m1,08-25,09-16
0,2016,08-25,08-26,3.181810763864957,2.5245965941463417,L,90%,Close,High,pos_change,16_Sep_m1,08-25,08-28
0,2016,10-04,10-10,2.272732422388521,3.7716662947887656,W,100%,Low,High,pos_change,16_Oct_m1,10-01,10-12
0,2016,09-20,09-21,4.67810826127288,4.256224576634781,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,11-02,11-09,1.9726835299504284,9.99779989161589,W,100%,Low,High,pos_change,16_Nov_m1,11-02,11-13
0,2016,11-07,11-09,3.056235109529517,5.513309256313731,W,90%,Low,High,pos_change,16_Nov_m1,11-06,11-09
0,2016,11-29,12-08,2.398514492674398,13.736263983044058,W,100%,Low,High,pos_change,16_Dec_m1,11-29,12-08
0,2016,11-28,11-29,2.7777782260439605,0.3222714103228672,L,90%,Low,High,pos_change,16_Dec_m1,11-28,11-29
0,2017,01-06,01-09,2.2049888331608565,0.7800325422977465,L,100%,Low,High,pos_change,17_Jan_m1,01-06,01-18
0,2017,02-08,02-10,1.9733748497492525,4.657276135655077,W,100%,Low,High,pos_change,17_Feb_m1,02-05,02-17
0,2017,02-01,02-03,2.946199928503343,7.453648469949914,W,90%,Low,High,pos_change,17_Feb_m1,02-01,02-04
0,2017,02-28,03-07,2.274248763677654,6.948358240261884,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-16
0,2017,03-27,04-05,3.259792159532513,9.45997416934275,W,100%,Low,High,pos_change,17_Apr_m1,03-27,04-20
0,2017,05-02,05-03,2.650594288609651,1.966455521048164,L,100%,Low,High,pos_change,17_May_m1,04-30,05-13
0,2017,06-07,06-14,1.5678461267499857,5.154639175257731,W,100%,Low,High,pos_change,17_Jun_m1,06-04,06-14
0,2017,05-25,05-26,3.141366522589768,0.6015939853186343,L,90%,Low,High,pos_change,17_Jun_m1,05-25,05-26
0,2017,06-23,07-13,2.825384953654605,10.721780584791652,W,100%,Low,High,pos_change,17_Jul_m1,06-23,07-13
0,2017,06-26,06-29,4.527368192263944,6.326031936719957,W,90%,Low,High,pos_change,17_Jul_m1,06-26,06-29
0,2017,07-31,08-01,2.4664406669848957,1.699768783886238,L,100%,Low,High,pos_change,17_Aug_m1,07-28,08-14
0,2017,07-31,08-01,3.492644302626424,1.699768783886238,L,90%,Low,High,pos_change,17_Aug_m1,07-30,08-02
0,2017,08-24,09-01,2.1532127737487228,2.910257417584523,W,100%,Low,High,pos_change,17_Sep_m1,08-24,09-04
0,2017,08-21,08-23,3.141678897737273,6.447781315242092,W,90%,Low,High,pos_change,17_Sep_m1,08-21,08-23
0,2017,10-02,10-05,2.49950074458865,4.33193709786529,W,100%,Low,High,pos_change,17_Oct_m1,09-30,10-19
0,2017,09-20,09-21,4.67810826127288,0.2684282539629877,L,90%,Low,High,pos_change,17_Oct_m1,09-20,09-21
0,2017,10-27,11-01,1.9821069444203083,5.587122737814047,W,100%,Low,High,pos_change,17_Nov_m1,10-26,11-02
0,2017,10-27,10-30,3.855772045749891,3.4469691687926263,L,90%,Low,High,pos_change,17_Nov_m1,10-27,10-30
0,2017,11-29,12-08,2.398514492674398,6.752413029920766,W,100%,Low,High,pos_change,17_Dec_m1,11-29,12-08
0,2017,11-29,11-30,3.0215877853167576,4.642285874618655,W,90%,Low,High,pos_change,17_Dec_m1,11-29,11-30
0,2018,01-08,01-16,2.2049888331608565,7.384232157304392,W,100%,Low,High,pos_change,18_Jan_m1,01-07,01-18
0,2018,01-03,01-04,2.7737216643315907,3.225219252470326,W,90%,Close,High,pos_change,18_Jan_m1,01-03,01-04
0,2018,01-24,01-25,1.6460907711031705,0.8249463701780679,L,100%,Low,High,pos_change,18_Feb_m1,01-24,02-08
0,2018,01-30,02-01,2.693206829802888,3.196975937770997,W,90%,Low,High,pos_change,18_Feb_m1,01-30,02-02
0,2018,03-02,03-16,2.274248763677654,5.709627751360002,W,100%,Low,High,pos_change,18_Mar_m1,02-28,03-16
0,2018,02-21,02-22,3.6460869662839,4.064893515946407,W,90%,Low,High,pos_change,18_Mar_m1,02-20,02-23
0,2018,03-29,04-18,3.259792159532513,9.225223300693273,W,100%,Low,High,pos_change,18_Apr_m1,03-27,04-20
0,2018,05-08,05-17,1.8691589799900272,7.730470633394219,W,100%,Low,High,pos_change,18_May_m1,05-08,05-18
0,2018,06-06,06-12,1.5678461267499857,3.6047953475295977,W,100%,Low,High,pos_change,18_Jun_m1,06-04,06-14
