,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.6145593560337477,1.9640164168732328,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-11
0,2016,02-02,02-10,2.916152864508448,3.545212008102943,W,100%,Low,High,pos_change,16_Feb_m1,01-30,02-13
0,2016,01-26,01-27,3.964156781348103,3.602447185483576,L,90%,Low,High,pos_change,16_Feb_m1,01-26,01-27
0,2016,02-25,03-01,2.437189043460809,3.840105095655405,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-07
0,2016,02-22,02-23,3.7298033865754743,1.7562205560878466,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-24
0,2016,04-01,04-13,1.9830028328611895,3.1512303941553585,W,100%,Low,High,pos_change,16_Apr_m1,03-30,04-15
0,2016,03-23,03-24,2.735776084176804,0.506239872729751,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-24
0,2016,05-04,05-10,1.7173787771811464,2.1736542746353624,W,100%,Low,High,pos_change,16_May_m1,05-02,05-13
0,2016,04-18,04-19,4.0129715285087535,2.6636355650071426,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-13,06-15,0.8992827017936889,3.5242330513642166,W,100%,Low,High,pos_change,16_Jun_m1,06-11,06-17
0,2016,05-23,05-25,2.720348159402373,1.3149907064068986,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-27,07-08,2.1156558533145278,7.682362215275424,W,100%,Low,High,pos_change,16_Jul_m1,06-24,07-10
0,2016,07-21,07-27,3.82830626450116,2.1135429820021097,L,100%,Low,High,pos_change,16_Aug_m1,07-18,08-03
0,2016,07-18,07-19,4.840237101216635,1.1523494906703724,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-25,09-07,1.7330507489601952,4.067552443465988,W,100%,Low,High,pos_change,16_Sep_m1,08-24,09-08
0,2016,09-06,09-07,4.082636827425421,1.8982149776195845,L,90%,Low,High,pos_change,16_Sep_m1,09-06,09-07
0,2016,09-26,09-29,2.412868632707774,2.459216694755212,W,100%,Close,High,pos_change,16_Oct_m1,09-24,10-18
0,2016,09-29,09-30,3.02854091268505,1.787842637329781,L,90%,Low,High,pos_change,16_Oct_m1,09-29,10-02
0,2016,10-27,11-08,2.652740261348169,3.5773178096176244,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-09
0,2016,10-24,10-25,6.349206349206349,1.0283417566992332,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-25,12-13,2.1585324915443977,2.106828555918311,L,100%,Open,High,pos_change,16_Dec_m1,11-25,12-15
0,2016,11-21,11-22,4.83344813497234,3.8008891503244735,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-05,01-06,1.6145593560337477,2.33467798628463,W,100%,Low,High,pos_change,17_Jan_m1,01-03,01-11
0,2017,02-01,02-06,2.916152864508448,3.504201541016643,W,100%,Low,High,pos_change,17_Feb_m1,01-30,02-13
0,2017,01-26,01-27,3.964156781348103,1.6783155720205036,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-27
0,2017,02-28,03-01,2.437189043460809,1.9877705341500669,L,100%,Low,High,pos_change,17_Mar_m1,02-25,03-07
0,2017,02-22,02-23,4.161464716710318,1.5788246258096157,L,90%,Low,High,pos_change,17_Mar_m1,02-20,02-23
0,2017,03-24,04-17,2.735776084176804,3.2753692591554326,W,100%,Low,High,pos_change,17_Apr_m1,03-23,04-20
0,2017,05-04,05-10,1.7173787771811464,2.263103967977778,W,100%,Low,High,pos_change,17_May_m1,05-02,05-13
0,2017,04-27,04-28,2.5343753676985834,1.2166929922077885,L,90%,Low,High,pos_change,17_May_m1,04-27,04-29
0,2017,05-30,06-02,1.2135922105364714,3.001815050961046,W,100%,Low,High,pos_change,17_Jun_m1,05-29,06-07
0,2017,05-23,05-25,2.720348159402373,1.340580397874753,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,06-26,06-28,2.1156558533145278,2.4530076238077325,W,100%,Low,High,pos_change,17_Jul_m1,06-24,07-10
0,2017,08-07,08-08,1.8614189117907225,0.9554140127388536,L,100%,Low,High,pos_change,17_Aug_m1,08-05,08-18
0,2017,07-27,07-28,3.2352941176470598,2.219356413810484,L,90%,Low,Close,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-24,08-25,1.7330507489601952,1.924400722857603,W,100%,Low,High,pos_change,17_Sep_m1,08-24,09-08
0,2017,08-29,08-30,2.625977284908428,0.3580803388581735,L,90%,Low,High,pos_change,17_Sep_m1,08-29,08-30
0,2017,09-29,10-06,1.6916507550772435,4.42260137768574,W,100%,Low,High,pos_change,17_Oct_m1,09-28,10-15
0,2017,10-25,10-26,2.652740261348169,2.837800738497275,W,100%,Low,High,pos_change,17_Nov_m1,10-23,11-09
0,2017,10-25,10-26,5.750715688013086,2.837800738497275,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-27
0,2017,11-24,12-05,2.3866666376255394,11.308403981942176,W,100%,Low,High,pos_change,17_Dec_m1,11-23,12-14
0,2017,11-20,11-21,4.83344813497234,2.699950662800899,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-04,01-11,1.6145593560337477,6.848523386311892,W,100%,Low,High,pos_change,18_Jan_m1,01-03,01-11
0,2018,01-05,01-08,2.1948053355198938,2.4982417933395653,W,90%,Low,High,pos_change,18_Jan_m1,01-05,01-08
0,2018,02-02,02-13,2.916152864508448,8.371282739665778,W,100%,Low,High,pos_change,18_Feb_m1,01-30,02-13
0,2018,02-26,02-27,2.155987146878703,1.2415921989933976,L,100%,Low,High,pos_change,18_Mar_m1,02-24,03-01
0,2018,02-22,02-23,3.3775406647454065,1.672982281477085,L,90%,Open,High,pos_change,18_Mar_m1,02-22,02-23
0,2018,03-23,04-17,2.735776084176804,9.502074490063826,W,100%,Low,High,pos_change,18_Apr_m1,03-23,04-20
0,2018,04-24,05-16,1.821575863745641,3.905712520822173,W,100%,Low,High,pos_change,18_May_m1,04-23,05-18
0,2018,05-29,06-07,1.2135922105364714,6.97136207314729,W,100%,Low,High,pos_change,18_Jun_m1,05-29,06-07
0,2018,06-21,07-12,2.2533477570090765,4.828140661266602,W,100%,Low,High,pos_change,18_Jul_m1,06-21,07-20
0,2018,07-24,07-31,1.748380351105124,4.549569746035858,W,100%,Low,High,pos_change,18_Aug_m1,07-24,08-11
0,2018,07-30,07-31,2.087851453732576,1.774452326075768,L,90%,Low,High,pos_change,18_Aug_m1,07-30,08-01
0,2018,08-24,08-29,1.7330507489601952,2.2534401493280463,W,100%,Low,High,pos_change,18_Sep_m1,08-24,09-03
0,2018,09-06,09-07,4.024890608416224,1.935392618494309,L,90%,Low,High,pos_change,18_Sep_m1,09-06,09-07
0,2018,09-28,10-09,1.6916507550772435,11.040249720458284,W,100%,Low,High,pos_change,18_Oct_m1,09-28,10-15
0,2018,10-01,10-02,3.02854091268505,4.059923722056414,W,90%,Low,High,pos_change,18_Oct_m1,10-01,10-02
0,2018,10-26,11-09,2.652740261348169,10.199681671982727,W,100%,Low,High,pos_change,18_Nov_m1,10-23,11-09
0,2018,10-24,10-25,3.574412790590584,0.0,L,90%,Low,High,pos_change,18_Nov_m1,10-24,10-25
0,2018,11-20,12-13,2.7096605574135344,4.051173878515111,W,100%,Low,High,pos_change,18_Dec_m1,11-19,12-15
0,2018,11-20,11-21,4.83344813497234,3.358204440726448,L,90%,Low,High,pos_change,18_Dec_m1,11-19,11-21
0,2019,01-03,01-11,1.6145593560337477,7.244755671574519,W,100%,Low,High,pos_change,19_Jan_m1,01-03,01-11
0,2019,01-30,02-05,2.916152864508448,3.4278968101835887,W,100%,Low,High,pos_change,19_Feb_m1,01-30,02-13
0,2019,01-28,01-29,3.8124860733126793,2.482182381618215,L,90%,Low,High,pos_change,19_Feb_m1,01-28,01-29
0,2019,02-19,02-25,1.3751741229021184,2.6936026936026933,W,100%,Low,High,pos_change,19_Mar_m1,02-18,02-28
0,2019,02-20,02-22,2.932100288864607,1.7816501056515264,L,90%,Low,High,pos_change,19_Mar_m1,02-20,02-23
0,2019,03-25,04-18,2.518234327380032,17.00652345544175,W,100%,Low,High,pos_change,19_Apr_m1,03-23,04-19
0,2019,03-18,03-19,3.2261893862769715,2.500000769092175,L,90%,Low,High,pos_change,19_Apr_m1,03-18,03-21
0,2019,05-02,05-03,1.7173787771811464,2.8334413068768454,W,100%,Low,High,pos_change,19_May_m1,05-02,05-13
0,2019,05-31,06-07,1.2135922105364714,3.9401803890435545,W,100%,Low,High,pos_change,19_Jun_m1,05-29,06-07
