,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-06,01-07,0.5639047537497596,2.40180892468681,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-10
0,2016,01-06,01-07,2.6240649923082984,2.40180892468681,L,90%,Low,High,pos_change,16_Jan_m1,01-06,01-09
0,2016,01-27,02-02,2.713178294573644,8.820771562730807,W,100%,Low,High,pos_change,16_Feb_m1,01-27,02-10
0,2016,02-24,03-02,2.340354348764997,6.764705882352941,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-04
0,2016,02-22,02-23,4.566748771250941,1.1914030625115324,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,04-01,04-04,2.083333333333333,2.351555394280904,W,100%,Low,Open,pos_change,16_Apr_m1,03-31,04-14
0,2016,03-21,03-23,3.597122302158273,4.230317502628664,W,90%,Low,Open,pos_change,16_Apr_m1,03-21,03-24
0,2016,04-18,04-19,3.419972711606898,2.7485027054500883,L,100%,Low,High,pos_change,16_May_m1,04-18,05-13
0,2016,04-19,04-20,7.856193935758872,0.9970313570047692,L,90%,Low,High,pos_change,16_May_m1,04-19,04-20
0,2016,05-24,05-26,2.3734597770142667,6.7158256330877215,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-17
0,2016,05-25,05-26,4.34691401475926,4.0937713744359225,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-24,07-07,1.892534578731964,8.854555632112449,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-07
0,2016,06-27,06-29,4.517397973971862,3.577090534719067,L,90%,Low,High,pos_change,16_Jul_m1,06-27,06-30
0,2016,07-25,07-28,2.4822695035460995,7.760808220014949,W,100%,Open,High,pos_change,16_Aug_m1,07-25,08-15
0,2016,07-19,07-20,3.9708418698247767,3.2457568087221187,L,90%,Low,High,pos_change,16_Aug_m1,07-19,07-22
0,2016,09-02,09-07,1.4930350764837956,0.6500609245792736,L,100%,Low,High,pos_change,16_Sep_m1,09-02,09-11
0,2016,08-31,09-01,3.953741819895811,2.0995452476300187,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-23,09-27,3.610871261644873,2.1782771113677715,L,100%,Low,High,pos_change,16_Oct_m1,09-22,10-20
0,2016,09-21,09-22,4.817598300159844,3.858328028630304,L,90%,Low,High,pos_change,16_Oct_m1,09-21,09-24
0,2016,10-27,11-15,2.293542300877996,6.9906989425456425,W,100%,Low,High,pos_change,16_Nov_m1,10-26,11-15
0,2016,10-26,10-27,7.00547264686282,0.0,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,12-02,12-08,1.9232845400201384,5.022589644610447,W,100%,Low,High,pos_change,16_Dec_m1,11-30,12-12
0,2016,12-01,12-02,3.0959074939445235,1.0792055571967072,L,90%,Low,High,pos_change,16_Dec_m1,11-29,12-02
0,2017,01-09,01-11,2.324793654641762,1.8042249094756864,L,100%,Low,High,pos_change,17_Jan_m1,01-06,01-16
