,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-06,1.4419421007489277,4.220323364177432,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-12
0,2016,01-04,01-05,2.580319982954006,3.8834932376990943,W,90%,Low,High,pos_change,16_Jan_m1,01-04,01-05
0,2016,02-05,02-12,1.6172506738544474,10.358494278263173,W,100%,Low,High,pos_change,16_Feb_m1,02-03,02-14
0,2016,02-29,03-03,2.064212683364935,2.046429226969824,L,100%,Close,High,pos_change,16_Mar_m1,02-27,03-08
0,2016,03-01,03-02,3.343465045592705,1.459224848276556,L,90%,Low,Close,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-22,03-29,1.483575006065315,3.744639554207749,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-03
0,2016,04-29,05-12,1.925160151599044,9.984672963311374,W,100%,Low,High,pos_change,16_May_m1,04-28,05-16
0,2016,04-18,04-19,3.1055900621118013,1.712821632648874,L,90%,Low,High,pos_change,16_May_m1,04-18,04-20
0,2016,06-07,06-13,1.639340047663564,3.490043731324701,W,100%,Low,High,pos_change,16_Jun_m1,06-07,06-14
0,2016,06-24,07-06,2.5158672647867726,12.95743715605114,W,100%,Low,High,pos_change,16_Jul_m1,06-21,07-10
0,2016,07-28,08-01,1.97660247285933,4.268830213724285,W,100%,Low,High,pos_change,16_Aug_m1,07-28,08-17
0,2016,08-31,09-07,1.675977653631285,4.8190993531635735,W,100%,Close,Close,pos_change,16_Sep_m1,08-28,09-14
0,2016,08-31,09-01,2.71158522298504,1.7705951961711832,L,90%,Low,Open,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-23,09-27,2.230938531471579,3.240254038213275,W,100%,Low,High,pos_change,16_Oct_m1,09-22,10-15
0,2016,09-19,09-22,3.333333333333333,5.813953488372093,W,90%,Low,High,pos_change,16_Oct_m1,09-19,09-22
0,2016,10-28,10-31,2.526528432890053,1.4725972143565866,L,100%,Low,Open,pos_change,16_Nov_m1,10-25,11-18
0,2016,10-27,10-28,2.770780856423174,0.9004396428831594,L,90%,Low,Close,pos_change,16_Nov_m1,10-27,10-30
0,2016,11-23,11-28,1.4354066985645932,2.855603706668965,W,100%,Close,High,pos_change,16_Dec_m1,11-23,12-16
0,2016,12-05,12-07,2.1686746987951806,4.181447995571333,W,90%,Low,High,pos_change,16_Dec_m1,12-05,12-08
