,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,02-02,02-03,2.083333333333333,2.896403708208398,W,100%,Low,High,pos_change,16_Feb_m1,02-01,02-11
0,2016,02-03,02-04,4.262494215370246,2.3206718116254264,L,90%,Low,High,pos_change,16_Feb_m1,02-03,02-06
0,2016,02-29,03-18,2.9027047176731635,6.0346551552957575,W,100%,Low,High,pos_change,16_Mar_m1,02-26,03-18
0,2016,02-29,03-01,3.700302924286194,2.4138635473031758,L,90%,Low,High,pos_change,16_Mar_m1,02-28,03-03
0,2016,03-30,04-05,2.017373328850097,4.185777216137161,W,100%,Low,High,pos_change,16_Apr_m1,03-30,04-13
0,2016,03-30,03-31,2.327746652964382,4.14755733237752,W,90%,Low,High,pos_change,16_Apr_m1,03-29,04-01
0,2016,04-25,04-28,2.8139140557879503,2.401998420463197,L,100%,Low,High,pos_change,16_May_m1,04-22,05-14
0,2016,04-25,04-28,3.8950421759446656,2.401998420463197,L,90%,Low,High,pos_change,16_May_m1,04-25,04-28
0,2016,05-27,06-06,1.132201614431166,2.50696810969667,W,100%,Low,Close,pos_change,16_Jun_m1,05-27,06-06
0,2016,05-23,05-25,3.1948882567893384,3.8677239129956873,W,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-27,07-11,2.986805779310595,15.042767452985167,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-15
0,2016,06-27,06-29,3.6363652683196857,4.629977194096455,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-21,07-26,2.343742842613832,1.9637215879170908,L,100%,Low,High,pos_change,16_Aug_m1,07-18,08-06
0,2016,07-18,07-19,2.993819013345082,0.577079085433744,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-20
0,2016,08-30,09-07,2.6290404646827663,1.8512379039417612,L,100%,Low,High,pos_change,16_Sep_m1,08-27,09-12
0,2016,08-23,08-24,4.368929767855103,0.5459990710669155,L,90%,Low,High,pos_change,16_Sep_m1,08-23,08-24
0,2016,09-29,09-30,3.828309940357959,1.715084971481232,L,100%,Low,High,pos_change,16_Oct_m1,09-29,10-21
0,2016,09-22,09-23,5.942230638718833,1.2848330616430377,L,90%,Low,High,pos_change,16_Oct_m1,09-22,09-23
0,2016,11-01,11-14,3.594770291238414,5.168918490684026,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-17
0,2016,10-31,11-01,4.164521512440129,1.2588918252522094,L,90%,Low,High,pos_change,16_Nov_m1,10-29,11-01
0,2016,11-28,12-08,1.3142165317330308,5.167016778628828,W,100%,Close,High,pos_change,16_Dec_m1,11-26,12-08
0,2016,11-21,11-22,2.9411802127555475,3.2367693715272408,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-12,01-13,1.5605674629276522,1.6142308631445446,W,100%,Low,High,pos_change,17_Jan_m1,01-11,01-19
0,2017,02-03,02-10,2.083333333333333,2.217991014209764,W,100%,Low,High,pos_change,17_Feb_m1,02-01,02-11
0,2017,01-26,01-27,4.33667746152889,0.5061246910873725,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-28
0,2017,02-28,03-15,2.881903135747335,2.973369910220933,W,100%,Low,High,pos_change,17_Mar_m1,02-26,03-16
0,2017,02-28,03-01,3.700302924286194,2.940694762266642,L,90%,Low,High,pos_change,17_Mar_m1,02-28,03-03
0,2017,04-11,04-21,2.070092852184745,2.1030878400323325,W,100%,Low,High,pos_change,17_Apr_m1,04-08,04-21
0,2017,04-10,04-11,2.367988274738347,1.154180865543978,L,90%,Low,High,pos_change,17_Apr_m1,04-08,04-11
0,2017,05-08,05-09,2.4957834085626383,0.6567595300841553,L,100%,Low,High,pos_change,17_May_m1,05-05,05-16
0,2017,04-24,04-25,3.072901370934102,1.7618176131355352,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,05-30,06-05,1.132201614431166,2.061685001674658,W,100%,Low,Close,pos_change,17_Jun_m1,05-27,06-06
0,2017,05-22,05-25,3.1948882567893384,2.8814438983252413,L,90%,Low,High,pos_change,17_Jun_m1,05-22,05-25
0,2017,06-29,07-10,2.986805779310595,2.565918963028758,L,100%,Low,High,pos_change,17_Jul_m1,06-27,07-15
0,2017,06-29,06-30,4.541771476738004,1.4510768605155329,L,90%,Low,High,pos_change,17_Jul_m1,06-29,07-02
0,2017,07-27,07-28,1.7935087459288557,3.905308757462704,W,100%,Low,High,pos_change,17_Aug_m1,07-27,08-16
0,2017,08-21,09-06,2.0383656080805714,4.39300003754897,W,100%,Low,High,pos_change,17_Sep_m1,08-21,09-10
0,2017,08-28,08-30,2.86995235448926,1.445391765454663,L,90%,Low,High,pos_change,17_Sep_m1,08-27,08-30
0,2017,10-12,10-13,2.057113877557235,2.2099472132597078,W,100%,Low,High,pos_change,17_Oct_m1,10-12,10-19
0,2017,10-31,11-16,3.594770291238414,4.40875344207213,W,100%,Low,High,pos_change,17_Nov_m1,10-29,11-17
0,2017,10-23,10-24,4.240420757918984,0.9366314804598884,L,90%,Low,High,pos_change,17_Nov_m1,10-23,10-24
0,2017,11-22,12-15,1.3693520563152086,8.571872429151867,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-15
0,2017,11-21,11-22,2.9411802127555475,0.4769193209134615,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
0,2018,01-11,01-18,1.5605674629276522,5.475934836754092,W,100%,Low,High,pos_change,18_Jan_m1,01-11,01-19
