,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.031721012667213,5.030773479573117,W,100%,Low,High,pos_change,16_Jan_m1,01-01,01-15
0,2016,01-04,01-05,2.488802333655483,5.030773479573117,W,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,01-20,01-26,1.4388439781246247,8.135488396938511,W,100%,Low,High,pos_change,16_Feb_m1,01-19,01-30
0,2016,01-20,01-22,2.5179799750543967,7.73016795987056,W,90%,Low,High,pos_change,16_Feb_m1,01-19,01-22
0,2016,02-25,03-09,2.214027045032685,13.12955907168975,W,100%,Close,Close,pos_change,16_Mar_m1,02-25,03-09
0,2016,02-29,03-01,3.014638711258662,4.237287894941823,W,90%,Low,High,pos_change,16_Mar_m1,02-26,03-01
0,2016,03-24,04-04,1.8656684693632848,7.332044843870767,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-05
0,2016,03-21,03-22,2.3189451161097616,0.0309697541273926,L,90%,Low,Open,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-29,05-09,1.9230735772037364,11.278648410907174,W,100%,Low,Close,pos_change,16_May_m1,04-29,05-11
0,2016,04-18,04-19,4.182504806625572,3.259303216777539,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-25,06-09,1.481482722529723,7.911195405758361,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-11
0,2016,05-24,05-25,3.857317610930042,0.6773424941258276,L,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-30,07-12,2.5290501649171007,7.091586168397851,W,100%,Low,High,pos_change,16_Jul_m1,06-30,07-12
0,2016,06-27,06-29,3.610185298484084,6.011897690482783,W,90%,Low,High,pos_change,16_Jul_m1,06-27,06-29
0,2016,08-04,08-10,1.7655564617586827,4.426400162451196,W,100%,Low,High,pos_change,16_Aug_m1,08-01,08-15
0,2016,08-08,08-09,1.8939425430351629,2.221052111993631,W,90%,Low,High,pos_change,16_Aug_m1,08-06,08-09
0,2016,08-22,08-23,2.187499405037288,1.911313801412724,L,100%,Low,High,pos_change,16_Sep_m1,08-22,09-03
0,2016,08-31,09-01,3.293644725600939,0.7416925549009105,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-27,09-28,4.170443106850718,1.8365209266527065,L,100%,Low,High,pos_change,16_Oct_m1,09-25,10-17
0,2016,09-22,09-23,5.346283632478702,3.130705216221104,L,90%,Low,High,pos_change,16_Oct_m1,09-22,09-23
0,2016,10-27,11-01,1.8115909697805528,4.313227265163796,W,100%,Low,Close,pos_change,16_Nov_m1,10-27,11-04
0,2016,10-27,10-28,2.976873459451128,1.2933556582470946,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,11-25,11-29,1.185338042729852,2.6433246822771554,W,100%,Low,High,pos_change,16_Dec_m1,11-25,12-03
0,2016,12-01,12-02,2.4761835769759046,3.659391292705197,W,90%,Low,High,pos_change,16_Dec_m1,12-01,12-02
0,2017,01-03,01-06,2.5873528211171206,6.639563191325026,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-17
0,2017,01-03,01-05,4.056741444953724,5.894308076342016,W,90%,Low,High,pos_change,17_Jan_m1,01-02,01-05
0,2017,01-26,01-31,1.124837844984114,4.199118666729104,W,100%,Low,High,pos_change,17_Feb_m1,01-23,01-31
