,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-27,01-28,2.7743674064724293,6.122449972588815,W,100%,Low,High,pos_change,16_Feb_m1,01-27,02-06
0,2016,01-22,01-25,6.206890428250726,2.3289712796879725,L,90%,Low,High,pos_change,16_Feb_m1,01-22,01-25
0,2016,03-01,03-10,3.5739651374142727,12.61852324888945,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-14
0,2016,02-25,02-26,5.893667128772974,6.083651817050595,W,90%,Low,High,pos_change,16_Mar_m1,02-25,02-28
0,2016,03-23,04-04,3.0240804231424407,17.54989840053784,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-09
0,2016,04-18,04-20,5.301312564212714,2.1726301642190147,L,100%,Low,High,pos_change,16_May_m1,04-18,05-11
0,2016,04-18,04-19,7.536338834727699,2.0551876688739865,L,90%,Open,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-03,06-06,1.511136090703055,4.0443567426267535,W,100%,Low,High,pos_change,16_Jun_m1,06-03,06-16
0,2016,05-25,05-26,4.827650647068605,1.8983032743809587,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,07-01,2.160436484125288,3.671071983856157,W,100%,Low,High,pos_change,16_Jul_m1,06-24,07-05
0,2016,06-23,06-24,8.108094242905265,0.0,L,90%,Close,High,pos_change,16_Jul_m1,06-23,06-24
0,2016,08-01,08-08,2.8661876855617883,1.214576983011984,L,100%,Low,High,pos_change,16_Aug_m1,07-29,08-08
0,2016,07-28,07-29,6.754785703173415,5.56715516427256,L,90%,Low,High,pos_change,16_Aug_m1,07-28,07-29
0,2016,08-26,09-08,2.311649667019162,2.744548502996423,W,100%,Low,High,pos_change,16_Sep_m1,08-26,09-15
0,2016,09-26,10-10,4.054052821591579,11.737804689678956,W,100%,Low,High,pos_change,16_Oct_m1,09-23,10-18
0,2016,09-20,09-21,6.207385805021245,1.4960672197727476,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,10-26,10-27,1.4174003217522233,4.321460702290416,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-03
0,2016,10-26,10-27,4.806125117057511,4.321460702290416,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,11-22,11-25,2.291447788396398,2.181819568980824,L,100%,Low,High,pos_change,16_Dec_m1,11-22,11-28
0,2016,11-22,11-23,4.958685848839988,1.672723943536932,L,90%,Low,High,pos_change,16_Dec_m1,11-22,11-23
0,2017,01-09,01-13,1.894073373556553,2.876609487839353,W,100%,Low,High,pos_change,17_Jan_m1,01-06,01-18
0,2017,01-03,01-04,3.5194144005676007,6.213870283205438,W,90%,Low,High,pos_change,17_Jan_m1,01-01,01-04
0,2017,01-30,02-02,2.7743674064724293,6.720234510541793,W,100%,Low,High,pos_change,17_Feb_m1,01-27,02-06
0,2017,01-23,01-24,6.206890428250726,4.719094702357183,L,90%,Low,High,pos_change,17_Feb_m1,01-23,01-24
0,2017,02-24,03-01,4.838707921705486,6.685839794231223,W,100%,Low,High,pos_change,17_Mar_m1,02-21,03-09
0,2017,03-27,04-19,5.561363122879311,9.389395757248144,W,100%,Low,High,pos_change,17_Apr_m1,03-25,04-20
0,2017,03-22,03-23,10.005601563335382,13.000653983904131,W,90%,Low,High,pos_change,17_Apr_m1,03-22,03-23
0,2017,04-27,05-04,1.4804598943085694,7.972663218159957,W,100%,Low,High,pos_change,17_May_m1,04-26,05-07
0,2017,05-08,05-09,4.959784992224785,1.725076093445486,L,90%,Low,High,pos_change,17_May_m1,05-08,05-09
0,2017,05-22,06-09,2.934864148899889,13.111345201832126,W,100%,Low,High,pos_change,17_Jun_m1,05-22,06-10
0,2017,05-25,05-26,4.827650647068605,2.565418193287718,L,90%,Low,High,pos_change,17_Jun_m1,05-25,05-26
0,2017,06-26,06-27,2.160436484125288,2.026718344600543,L,100%,Low,High,pos_change,17_Jul_m1,06-24,07-05
0,2017,06-26,06-27,4.111603702805112,2.026718344600543,L,90%,Low,High,pos_change,17_Jul_m1,06-24,06-27
0,2017,08-02,08-07,2.5639763816786147,5.005005119675151,W,100%,Low,High,pos_change,17_Aug_m1,07-31,08-09
0,2017,08-09,08-10,3.626144181534923,3.405728165165469,L,90%,Low,High,pos_change,17_Aug_m1,08-07,08-10
0,2017,08-28,09-08,2.311649667019162,11.256037863909668,W,100%,Low,High,pos_change,17_Sep_m1,08-26,09-15
0,2017,08-30,09-01,3.914592051732181,7.190477280389695,W,90%,Low,High,pos_change,17_Sep_m1,08-30,09-02
0,2017,09-25,10-18,4.054052821591579,13.55855053193546,W,100%,Low,High,pos_change,17_Oct_m1,09-23,10-18
0,2017,09-22,09-25,4.656528639086821,1.9317174337575511,L,90%,Low,High,pos_change,17_Oct_m1,09-22,09-25
0,2017,10-26,11-01,1.4174003217522233,11.956524252631514,W,100%,Low,High,pos_change,17_Nov_m1,10-25,11-02
0,2017,10-26,10-27,4.806125117057511,8.319397009912073,W,90%,Low,High,pos_change,17_Nov_m1,10-26,10-27
0,2017,11-20,12-04,2.87283503785955,9.264008554085136,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-10
0,2018,01-08,01-16,1.894073373556553,8.3086985744057,W,100%,Low,High,pos_change,18_Jan_m1,01-06,01-18
0,2018,01-03,01-04,3.5194144005676007,1.5989324947268355,L,90%,Low,High,pos_change,18_Jan_m1,01-01,01-04
0,2018,01-30,02-01,2.7743674064724293,2.462900804440997,L,100%,Low,High,pos_change,18_Feb_m1,01-27,02-06
0,2018,01-24,01-25,6.206890428250726,2.9301701155111197,L,90%,Low,High,pos_change,18_Feb_m1,01-22,01-25
0,2018,02-23,02-27,4.838707921705486,4.990407610299302,W,100%,Low,High,pos_change,18_Mar_m1,02-21,03-09
0,2018,02-26,02-27,5.772176849123549,2.66516894927999,L,90%,Low,High,pos_change,18_Mar_m1,02-24,02-27
