,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,02-01,02-10,2.564839777215813,5.03837258417616,W,100%,Low,High,pos_change,16_Feb_m1,01-29,02-15
0,2016,02-29,03-03,1.6304349178177309,5.174040631730148,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-06
0,2016,02-24,02-25,4.306767384092539,2.4801232444357275,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-24,04-04,2.093325494321874,2.83564671092201,W,100%,Low,High,pos_change,16_Apr_m1,03-24,04-11
0,2016,03-23,03-24,2.987950336502259,0.4295576567707384,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-24
0,2016,04-28,05-11,2.482885867306076,3.795123566884379,W,100%,Low,High,pos_change,16_May_m1,04-25,05-14
0,2016,04-21,04-22,4.198179578601482,1.1631499522900095,L,90%,Low,High,pos_change,16_May_m1,04-19,04-22
0,2016,05-24,05-25,2.127651285402721,1.511487219842329,L,100%,Low,High,pos_change,16_Jun_m1,05-24,06-11
0,2016,05-26,05-27,3.5687769718776687,0.4522204828438668,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-24,07-01,0.6299206685632521,7.097184349814562,W,100%,Low,High,pos_change,16_Jul_m1,06-21,07-01
0,2016,06-21,06-22,2.301301993620205,1.256286193347882,L,90%,Low,High,pos_change,16_Jul_m1,06-21,06-22
0,2016,08-08,08-09,1.7350174052083815,0.942006721592915,L,100%,Low,High,pos_change,16_Aug_m1,08-06,08-17
0,2016,08-08,08-09,2.4256684357897718,0.942006721592915,L,90%,Low,Open,pos_change,16_Aug_m1,08-06,08-09
0,2016,09-12,09-16,2.09677610387421,1.3539654097227063,L,100%,Low,High,pos_change,16_Sep_m1,09-09,09-16
0,2016,10-12,10-14,2.6742294945340706,6.205782553549732,W,100%,Low,High,pos_change,16_Oct_m1,10-12,10-20
0,2016,10-04,10-05,4.878048780487805,1.886792218687636,L,90%,Low,High,pos_change,16_Oct_m1,10-03,10-06
0,2016,10-28,11-11,1.5995943586963144,6.566307461551682,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-11
0,2016,11-02,11-03,2.913069262628719,1.513204213729901,L,90%,Low,High,pos_change,16_Nov_m1,10-31,11-03
0,2016,12-06,12-16,1.1494279856390914,7.560745588433902,W,100%,Low,High,pos_change,16_Dec_m1,12-06,12-16
0,2017,01-09,01-11,1.6818439217688577,2.43560722887243,W,100%,Low,High,pos_change,17_Jan_m1,01-07,01-18
0,2017,01-09,01-11,2.4696164449788243,2.43560722887243,L,90%,Low,High,pos_change,17_Jan_m1,01-08,01-11
0,2017,02-01,02-15,2.564839777215813,4.627100899776361,W,100%,Low,High,pos_change,17_Feb_m1,01-29,02-15
0,2017,02-01,02-03,3.459302132164478,2.041371708590783,L,90%,Low,High,pos_change,17_Feb_m1,01-31,02-03
0,2017,02-28,03-17,2.0739035730277893,4.411772376728732,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-17
0,2017,03-24,03-28,2.467467526355421,1.423129339278897,L,100%,Low,High,pos_change,17_Apr_m1,03-23,04-11
0,2017,04-28,05-08,2.482885867306076,3.149408020283541,W,100%,Low,High,pos_change,17_May_m1,04-25,05-14
0,2017,04-25,04-27,3.694665201152812,1.105533793569858,L,90%,Low,High,pos_change,17_May_m1,04-25,04-28
0,2017,05-23,06-16,2.075850194016575,8.484414374797659,W,100%,Low,High,pos_change,17_Jun_m1,05-23,06-16
0,2017,05-25,05-26,3.267038822400111,1.43403076465807,L,90%,Low,High,pos_change,17_Jun_m1,05-25,05-26
0,2017,06-23,06-28,1.1476019110621538,2.0937688038145583,W,100%,Low,High,pos_change,17_Jul_m1,06-22,07-01
0,2017,06-21,06-22,2.301301993620205,0.1352514827958531,L,90%,Low,High,pos_change,17_Jul_m1,06-21,06-22
