,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-11,01-14,2.120855465608491,3.3545789888881106,W,100%,Low,High,pos_change,16_Jan_m1,01-08,01-15
0,2016,01-04,01-05,2.7519821304552115,3.181673529399628,W,90%,Low,High,pos_change,16_Jan_m1,01-04,01-05
0,2016,01-28,02-04,5.064651717328969,10.934798488945036,W,100%,Low,High,pos_change,16_Feb_m1,01-28,02-19
0,2016,01-28,01-29,5.454317192683447,4.879106543869431,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-31
0,2016,03-02,03-18,3.383159302900232,9.32293184481152,W,100%,Low,High,pos_change,16_Mar_m1,03-02,03-18
0,2016,03-01,03-02,4.375601605243156,3.761391032453139,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-28,03-30,2.8735721768064946,3.084267059897259,W,100%,Close,High,pos_change,16_Apr_m1,03-26,04-11
0,2016,03-23,03-24,3.793703578875024,0.4344315016870774,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-24
0,2016,04-21,04-27,2.777779831340105,3.991484907989459,W,100%,Low,High,pos_change,16_May_m1,04-21,05-04
0,2016,04-25,04-26,3.5546628583654463,1.9222235633604692,L,90%,Low,High,pos_change,16_May_m1,04-25,04-26
0,2016,06-06,06-08,2.015686426414628,1.551987730870912,L,100%,Low,High,pos_change,16_Jun_m1,06-05,06-11
0,2016,05-26,05-27,4.0991792316020375,1.2752412900784762,L,90%,Open,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-29,07-08,1.7813770809597655,8.683775696540511,W,100%,Low,High,pos_change,16_Jul_m1,06-29,07-08
0,2016,06-27,06-28,3.3506948411188584,3.410701246070304,W,90%,Low,High,pos_change,16_Jul_m1,06-25,06-28
0,2016,08-04,08-17,2.290152254045038,6.056742422258855,W,100%,Low,High,pos_change,16_Aug_m1,08-04,08-17
0,2016,08-05,08-08,3.8564023344822673,2.82726655553044,L,90%,Low,High,pos_change,16_Aug_m1,08-05,08-08
0,2016,08-25,08-26,3.17309186645618,2.475812887321702,L,100%,Low,High,pos_change,16_Sep_m1,08-22,09-09
0,2016,08-23,08-24,4.6609596537069855,0.1773631240562053,L,90%,Low,High,pos_change,16_Sep_m1,08-23,08-24
0,2016,10-13,10-18,2.952949853036785,2.9166027029283974,L,100%,Low,High,pos_change,16_Oct_m1,10-12,10-20
0,2016,10-14,10-17,5.74324445797631,0.9034404341043594,L,90%,Low,High,pos_change,16_Oct_m1,10-14,10-17
0,2016,10-25,11-14,3.929444527861944,16.34471066013194,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-14
0,2016,11-23,11-25,0.8190718786688632,1.4224210375175443,W,100%,Low,High,pos_change,16_Dec_m1,11-23,11-29
0,2016,11-21,11-22,4.271355891466168,1.0974539657447535,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-09,01-13,2.356508213221095,4.25304654012354,W,100%,Low,High,pos_change,17_Jan_m1,01-08,01-16
0,2017,01-04,01-05,2.9485726750571346,0.5426386931507927,L,90%,Low,High,pos_change,17_Jan_m1,01-04,01-05
0,2017,01-31,02-15,4.838359607882019,8.023749847749281,W,100%,Low,High,pos_change,17_Feb_m1,01-28,02-16
0,2017,01-30,01-31,5.37718011414304,1.145010695275561,L,90%,Low,High,pos_change,17_Feb_m1,01-30,01-31
0,2017,03-01,03-16,2.958302267010684,3.3541875696232086,W,100%,Low,High,pos_change,17_Mar_m1,03-01,03-16
0,2017,03-27,04-05,3.0925329407649254,6.892939725481758,W,100%,Low,High,pos_change,17_Apr_m1,03-25,04-14
0,2017,03-22,03-23,4.054668697213017,1.67200545054481,L,90%,Low,High,pos_change,17_Apr_m1,03-20,03-23
0,2017,05-05,05-09,1.7865520894479232,1.318208960997203,L,100%,Low,High,pos_change,17_May_m1,05-05,05-18
0,2017,04-25,04-26,3.5546628583654463,2.71089275575399,L,90%,Low,High,pos_change,17_May_m1,04-25,04-26
0,2017,06-06,06-09,1.5012218806428612,2.2562746692646463,W,100%,Low,High,pos_change,17_Jun_m1,06-03,06-10
0,2017,07-10,07-20,2.1220780607373557,4.862897808524931,W,100%,Low,High,pos_change,17_Jul_m1,07-10,07-20
0,2017,08-10,08-16,2.960577498470944,2.474605218803952,L,100%,Low,High,pos_change,17_Aug_m1,08-07,08-17
0,2017,08-07,08-08,3.8564023344822673,0.983178534435403,L,90%,Low,High,pos_change,17_Aug_m1,08-05,08-08
0,2017,08-28,09-15,2.2362349988469665,8.51347882348216,W,100%,Low,High,pos_change,17_Sep_m1,08-28,09-15
0,2017,08-28,08-30,4.327683770327071,2.2380495293622062,L,90%,Low,High,pos_change,17_Sep_m1,08-27,08-30
0,2017,10-12,10-20,2.9166027029283974,4.0184890814041765,W,100%,Low,Open,pos_change,17_Oct_m1,10-12,10-20
0,2017,10-25,11-02,3.929444527861944,4.61258393447853,W,100%,Low,High,pos_change,17_Nov_m1,10-24,11-14
0,2017,11-24,11-29,0.8190718786688632,2.01246454309206,W,100%,Low,High,pos_change,17_Dec_m1,11-23,11-29
0,2017,11-21,11-22,4.271355891466168,1.2772208133506446,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
0,2018,01-08,01-16,2.356508213221095,4.482744127703636,W,100%,Low,High,pos_change,18_Jan_m1,01-08,01-16
0,2018,01-04,01-05,2.9485726750571346,1.8750643182328035,L,90%,Low,High,pos_change,18_Jan_m1,01-04,01-05
0,2018,01-30,01-31,4.838359607882019,2.229898539966473,L,100%,Low,High,pos_change,18_Feb_m1,01-28,02-16
0,2018,01-30,01-31,5.37718011414304,2.229898539966473,L,90%,Low,High,pos_change,18_Feb_m1,01-30,01-31
0,2018,03-02,03-09,2.8519653979848245,8.476734354674258,W,100%,Low,High,pos_change,18_Mar_m1,03-01,03-15
0,2018,02-28,03-01,3.9105051223320495,1.6196910648810272,L,90%,Low,High,pos_change,18_Mar_m1,02-26,03-01
0,2018,03-28,04-05,3.0925329407649254,3.862687295942164,W,100%,Low,High,pos_change,18_Apr_m1,03-25,04-12
0,2018,03-20,03-21,4.054668697213017,1.980586587638696,L,90%,Low,High,pos_change,18_Apr_m1,03-20,03-23
0,2018,05-01,05-10,0.8151703163072057,7.364931604471844,W,100%,Low,High,pos_change,18_May_m1,05-01,05-10
