,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.149537383276278,2.9775658632692164,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-11
0,2016,01-20,01-27,2.9293522880624514,6.613703781915632,W,100%,Low,High,pos_change,16_Feb_m1,01-19,02-09
0,2016,01-26,01-27,7.699076265919816,3.870297737126334,L,90%,Low,High,pos_change,16_Feb_m1,01-26,01-27
0,2016,03-04,03-07,1.9396501758295857,1.4370781689515433,L,100%,Low,High,pos_change,16_Mar_m1,03-04,03-13
0,2016,02-29,03-02,3.627521771343421,4.633945237379352,W,90%,Low,High,pos_change,16_Mar_m1,02-27,03-02
0,2016,03-24,04-04,3.575703259539086,6.251302136015773,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-13
0,2016,03-22,03-23,4.355253861831241,2.250464635515983,L,90%,Low,High,pos_change,16_Apr_m1,03-22,03-25
0,2016,04-27,05-11,3.2424746449467947,8.74975352897162,W,100%,Low,High,pos_change,16_May_m1,04-25,05-12
0,2016,04-18,04-19,5.111913359066961,1.4215150726856085,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-03,06-08,1.7712784134913082,1.832997054680696,W,100%,Low,High,pos_change,16_Jun_m1,06-03,06-15
0,2016,05-23,05-25,4.857444827626142,4.219331765714904,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-24,07-01,1.6406252735760023,3.3288199761092305,W,100%,Low,Open,pos_change,16_Jul_m1,06-21,07-02
0,2016,07-19,08-01,3.2467532467532463,4.870010800859459,W,100%,Low,Close,pos_change,16_Aug_m1,07-18,08-08
0,2016,07-18,07-19,4.009541207825437,0.6376430911098997,L,90%,Open,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-25,08-26,2.652878411240321,1.6908209821108984,L,100%,Low,High,pos_change,16_Sep_m1,08-25,09-05
0,2016,08-31,09-01,4.074075486924913,1.0762834302830209,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,10-07,10-10,2.3759551987677807,1.7007393141371767,L,100%,Open,High,pos_change,16_Oct_m1,10-04,10-18
0,2016,09-26,09-28,3.7587440642316343,2.3670850238536665,L,90%,Low,High,pos_change,16_Oct_m1,09-26,09-29
0,2016,10-26,11-04,3.058264798521028,2.5788518964403147,L,100%,Low,High,pos_change,16_Nov_m1,10-24,11-05
0,2016,10-26,10-27,6.881501087809744,1.8051970842424552,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,12-02,12-09,2.609534284959352,6.513563699970991,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-12
