,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-13,1.4354066985645932,2.4751890204943274,W,100%,Low,High,pos_change,16_Jan_m1,01-05,01-15
0,2016,01-04,01-05,2.3351207278235213,1.5933245032148726,L,90%,Low,High,pos_change,16_Jan_m1,01-04,01-05
0,2016,01-26,01-27,4.040265362389419,4.955987694714927,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-18
0,2016,01-19,01-20,5.754539803817974,0.6266242230114007,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-20
0,2016,03-04,03-07,1.864702095745482,0.6341466632945911,L,100%,Low,High,pos_change,16_Mar_m1,03-04,03-13
0,2016,02-24,02-25,5.370369569100811,2.9663639055492883,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,04-01,04-04,1.265821562346669,2.735962961794871,W,100%,Low,High,pos_change,16_Apr_m1,04-01,04-06
0,2016,03-23,03-24,2.479338842975207,0.0,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-26
0,2016,04-29,05-02,2.456565623095693,1.6647584420653465,L,100%,Low,High,pos_change,16_May_m1,04-28,05-17
0,2016,04-29,05-02,3.1370899842363,1.6647584420653465,L,90%,Low,High,pos_change,16_May_m1,04-29,05-02
0,2016,06-03,06-06,1.305943486021893,3.8112727259350896,W,100%,Low,High,pos_change,16_Jun_m1,05-31,06-15
0,2016,05-24,05-25,2.077690257600621,3.098043171185617,W,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-27,07-01,1.671942400654756,5.490955964101629,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-03
0,2016,06-22,06-23,2.494024031768032,2.625977284908428,W,90%,Low,High,pos_change,16_Jul_m1,06-22,06-25
0,2016,07-22,08-08,1.699924505959028,5.751463375240888,W,100%,Low,High,pos_change,16_Aug_m1,07-21,08-12
0,2016,07-19,07-20,2.9458433907973576,1.7055207234950152,L,90%,Low,High,pos_change,16_Aug_m1,07-19,07-20
0,2016,08-29,09-09,2.2054703119113688,5.55812053120827,W,100%,Low,High,pos_change,16_Sep_m1,08-29,09-12
0,2016,09-01,09-02,3.2551195437070684,1.906039804583488,L,90%,Low,High,pos_change,16_Sep_m1,09-01,09-02
0,2016,10-03,10-20,2.7356677322206124,4.836173054044311,W,100%,Low,High,pos_change,16_Oct_m1,09-30,10-20
0,2016,09-28,09-30,4.743290327801017,2.282997927698556,L,90%,Low,High,pos_change,16_Oct_m1,09-28,10-01
0,2016,11-01,11-10,3.863542646058904,12.362634217770202,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-13
0,2016,10-31,11-01,4.712535411788486,1.2410604569323576,L,90%,Low,High,pos_change,16_Nov_m1,10-30,11-01
0,2016,11-29,12-01,1.7378417897157483,3.2246212211224354,W,100%,Low,High,pos_change,16_Dec_m1,11-26,12-05
0,2016,11-21,11-22,3.466757972543076,1.1068782500375862,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-05,01-11,1.4354066985645932,4.05660670568825,W,100%,Low,High,pos_change,17_Jan_m1,01-05,01-15
0,2017,01-31,02-14,2.5319682920139805,5.55230974360283,W,100%,Low,High,pos_change,17_Feb_m1,01-28,02-14
0,2017,01-25,01-26,4.490568053047612,2.04969848795905,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-26
0,2017,02-22,03-01,2.291492241477606,4.057146807638331,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-06
0,2017,02-22,02-23,5.393973907954643,1.2155602308438307,L,90%,Low,High,pos_change,17_Mar_m1,02-22,02-23
0,2017,04-03,04-05,1.784402519889618,2.2646614738128794,W,100%,Low,High,pos_change,17_Apr_m1,03-31,04-20
0,2017,03-29,03-30,3.379452471810819,2.2717738818626416,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,05-03,05-04,2.456565623095693,3.899144968883319,W,100%,Low,High,pos_change,17_May_m1,04-30,05-18
0,2017,05-31,06-15,1.305943486021893,6.80785615055269,W,100%,Low,High,pos_change,17_Jun_m1,05-31,06-15
0,2017,05-24,05-25,2.077690257600621,1.1777375570535642,L,90%,Low,High,pos_change,17_Jun_m1,05-24,05-25
0,2017,06-27,06-29,1.671942400654756,6.061860686446139,W,100%,Low,High,pos_change,17_Jul_m1,06-27,07-03
0,2017,06-22,06-23,2.557806481113813,0.9722501528541696,L,90%,Low,High,pos_change,17_Jul_m1,06-20,06-23
0,2017,08-01,08-08,1.6664631787529451,3.182346732161512,W,100%,Low,High,pos_change,17_Aug_m1,08-01,08-18
0,2017,08-07,08-08,2.4321002724729937,2.107118317176819,L,90%,Low,High,pos_change,17_Aug_m1,08-07,08-10
0,2017,08-31,09-01,2.2054703119113688,2.0377062851459398,L,100%,Low,High,pos_change,17_Sep_m1,08-29,09-12
0,2017,08-28,08-29,2.837131351206199,0.0,L,90%,Low,High,pos_change,17_Sep_m1,08-26,08-29
0,2017,10-03,10-20,2.7356677322206124,2.883825501932628,W,100%,Low,High,pos_change,17_Oct_m1,09-30,10-20
0,2017,09-28,09-29,4.743290327801017,2.1217304850873497,L,90%,Low,High,pos_change,17_Oct_m1,09-28,10-01
0,2017,10-30,11-06,3.863542646058904,1.7281785680605024,L,100%,Low,High,pos_change,17_Nov_m1,10-29,11-13
0,2017,10-30,11-01,4.712535411788486,1.5231413797896576,L,90%,Low,High,pos_change,17_Nov_m1,10-30,11-01
0,2017,11-27,12-04,1.7378417897157483,10.148213559805876,W,100%,Low,High,pos_change,17_Dec_m1,11-26,12-05
0,2017,11-20,11-21,3.466757972543076,1.2467955273783085,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-22
0,2018,01-05,01-12,1.4354066985645932,6.641654436879244,W,100%,Low,High,pos_change,18_Jan_m1,01-05,01-15
0,2018,01-30,02-01,2.5319682920139805,1.7182111230299837,L,100%,Low,High,pos_change,18_Feb_m1,01-28,02-14
0,2018,01-25,01-26,4.490568053047612,0.8897323432980122,L,90%,Low,High,pos_change,18_Feb_m1,01-25,01-26
0,2018,02-22,02-27,2.291492241477606,4.031794173539348,W,100%,Low,High,pos_change,18_Mar_m1,02-20,03-05
0,2018,04-02,04-05,1.784402519889618,5.862208812582638,W,100%,Low,High,pos_change,18_Apr_m1,03-31,04-20
0,2018,03-27,03-28,3.1130794346540545,1.830343616475288,L,90%,Low,High,pos_change,18_Apr_m1,03-27,03-28
0,2018,05-03,05-15,2.456565623095693,7.739643940733505,W,100%,Low,High,pos_change,18_May_m1,04-30,05-18
0,2018,05-02,05-03,2.76743866676508,2.225945499791098,L,90%,Low,High,pos_change,18_May_m1,04-30,05-03
0,2018,05-31,06-07,1.305943486021893,4.809647602541883,W,100%,Low,High,pos_change,18_Jun_m1,05-31,06-15
0,2018,05-24,05-25,2.077690257600621,1.62084194870868,L,90%,Low,High,pos_change,18_Jun_m1,05-24,05-25
0,2018,06-28,06-29,1.671942400654756,2.199276910919915,W,100%,Low,High,pos_change,18_Jul_m1,06-27,07-03
0,2018,06-22,06-25,2.7672075575977697,0.3381060637909832,L,90%,Low,High,pos_change,18_Jul_m1,06-22,06-25
0,2018,08-02,08-08,1.507162992697059,2.024480514896533,W,100%,Low,High,pos_change,18_Aug_m1,08-01,08-13
0,2018,08-06,08-08,2.0845168614279235,1.6778743955015187,L,90%,Low,High,pos_change,18_Aug_m1,08-06,08-09
0,2018,08-31,09-05,2.2054703119113688,1.810527600740132,L,100%,Low,High,pos_change,18_Sep_m1,08-28,09-17
0,2018,08-27,08-29,4.960399658569494,2.489024267252549,L,90%,Low,High,pos_change,18_Sep_m1,08-26,08-29
0,2018,10-02,10-04,2.7671802875307594,4.027785859564558,W,100%,Low,High,pos_change,18_Oct_m1,10-01,10-16
0,2018,09-27,09-28,3.9017040923322304,0.3427413432273812,L,90%,Low,High,pos_change,18_Oct_m1,09-26,09-29
0,2018,10-29,11-08,1.7281785680605024,11.74129039127091,W,100%,Low,High,pos_change,18_Nov_m1,10-28,11-08
0,2018,10-29,10-30,3.6465615187052847,3.656719500751647,W,90%,Low,High,pos_change,18_Nov_m1,10-29,10-30
0,2018,12-06,12-07,2.4862429444569494,4.330495223703292,W,100%,Low,High,pos_change,18_Dec_m1,12-05,12-19
0,2018,11-19,11-20,4.10263212575542,0.8660621479507836,L,90%,Low,High,pos_change,18_Dec_m1,11-19,11-20
0,2019,01-08,01-17,1.998336016961777,2.615038815208912,W,100%,Low,High,pos_change,19_Jan_m1,01-05,01-17
0,2019,01-08,01-09,2.4751890204943274,1.9780409510045915,L,90%,Low,High,pos_change,19_Jan_m1,01-06,01-09
0,2019,02-05,02-07,2.221920395467472,2.4196836754409587,W,100%,Low,High,pos_change,19_Feb_m1,02-02,02-13
0,2019,02-22,03-04,2.291492241477606,3.967994276289273,W,100%,Low,High,pos_change,19_Mar_m1,02-20,03-05
0,2019,04-01,04-17,1.646018823159631,8.624037669890185,W,100%,Low,High,pos_change,19_Apr_m1,04-01,04-18
0,2019,03-27,03-29,3.1130794346540545,3.007146394065272,L,90%,Low,High,pos_change,19_Apr_m1,03-27,03-30
0,2019,04-23,04-29,2.1436241028084773,4.828424348170995,W,100%,Close,High,pos_change,19_May_m1,04-23,05-15
0,2019,05-03,05-06,3.0337130457320978,0.9211496154099156,L,90%,Low,High,pos_change,19_May_m1,05-03,05-06
