,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-05,01-14,1.1135365846073138,3.7178268249832738,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-14
0,2016,01-20,02-03,2.066514912386096,11.964170645343412,W,100%,Low,High,pos_change,16_Feb_m1,01-18,02-11
0,2016,01-19,01-20,2.4236549701411634,1.6265322999087135,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-20
0,2016,03-02,03-18,1.3628929977046655,10.821402366687682,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-18
0,2016,03-01,03-02,2.2639595891354043,0.9877608003226774,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-29,04-04,2.311432038921845,3.241178324290722,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-10
0,2016,03-21,03-22,3.3818449808971205,2.216022770579268,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-21,05-12,2.5136386514515388,5.422968648046677,W,100%,Low,High,pos_change,16_May_m1,04-19,05-14
0,2016,04-18,04-19,3.330651876748083,1.5161704014412294,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-23,05-31,1.376146788990826,3.744363736534586,W,100%,Low,High,pos_change,16_Jun_m1,05-23,05-31
0,2016,06-09,06-10,1.8691588785046729,2.026316994114926,W,90%,Low,High,pos_change,16_Jun_m1,06-09,06-11
0,2016,06-28,07-06,2.021772939346812,5.7891358201877,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-15
0,2016,08-03,08-04,1.3690563097025694,1.2585022383116298,L,100%,Low,High,pos_change,16_Aug_m1,08-01,08-15
0,2016,08-24,08-26,1.293103448275862,1.6292180447057856,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-06
0,2016,09-21,09-27,3.4943705716604776,4.482087871539088,W,100%,Low,High,pos_change,16_Oct_m1,09-21,10-18
0,2016,09-23,09-26,4.217843871297865,1.4765831188375351,L,90%,Low,High,pos_change,16_Oct_m1,09-23,09-26
0,2016,10-24,10-31,1.7155957712269436,3.444078053527559,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-02
0,2016,10-27,10-28,3.00768156933382,0.6974306457726032,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-29
0,2016,12-01,12-07,1.4322286320846298,3.4701136708301954,W,100%,Low,High,pos_change,16_Dec_m1,11-28,12-07
0,2017,01-09,01-17,1.775290761669453,1.580721969265541,L,100%,Low,High,pos_change,17_Jan_m1,01-06,01-20
0,2017,01-10,01-12,1.785017758251818,1.9000608842393223,W,90%,Low,High,pos_change,17_Jan_m1,01-09,01-12
0,2017,01-26,01-31,1.3843515553528287,1.3707611914803766,L,100%,Close,High,pos_change,17_Feb_m1,01-23,01-31
0,2017,02-03,02-06,2.056613686095748,0.8350482482776034,L,90%,Low,High,pos_change,17_Feb_m1,02-03,02-06
0,2017,03-03,03-15,1.9235939482575,1.9064963253370295,L,100%,Low,High,pos_change,17_Mar_m1,03-03,03-17
0,2017,03-30,04-07,2.311432038921845,2.6195145995525517,W,100%,Low,High,pos_change,17_Apr_m1,03-29,04-10
0,2017,03-27,03-28,3.5896127577154395,0.8844334998906699,L,90%,Low,High,pos_change,17_Apr_m1,03-27,03-30
0,2017,05-01,05-05,1.8720781015145915,1.8374907056293484,L,100%,Low,High,pos_change,17_May_m1,04-29,05-10
0,2017,05-01,05-02,2.444583165496929,1.407946950900234,L,90%,Low,High,pos_change,17_May_m1,04-29,05-02
0,2017,05-22,05-31,1.6716354962579096,5.472930763950626,W,100%,Low,High,pos_change,17_Jun_m1,05-22,05-31
0,2017,05-22,05-25,1.9816547358801608,4.247471225700992,W,90%,Open,High,pos_change,17_Jun_m1,05-22,05-25
0,2017,06-29,07-03,2.021772939346812,1.1067967008460786,L,100%,Low,High,pos_change,17_Jul_m1,06-28,07-15
0,2017,06-26,06-27,3.172621774898739,0.4564143412421705,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-27
0,2017,08-07,08-14,1.2086862708723194,1.3644168496593707,W,100%,Low,High,pos_change,17_Aug_m1,08-05,08-14
0,2017,07-28,07-31,2.071005917159764,1.3527739499817786,L,90%,Open,High,pos_change,17_Aug_m1,07-28,07-31
0,2017,08-23,08-29,1.3333333333333337,1.940771111486561,W,100%,Low,High,pos_change,17_Sep_m1,08-23,09-05
0,2017,08-21,08-24,2.450439527232469,1.9180916510421744,L,90%,Low,High,pos_change,17_Sep_m1,08-21,08-24
0,2017,09-22,10-13,3.4943705716604776,2.2057134192494923,L,100%,Low,High,pos_change,17_Oct_m1,09-21,10-18
0,2017,10-25,10-26,1.7155957712269436,2.5045959125063426,W,100%,Low,High,pos_change,17_Nov_m1,10-24,11-02
0,2017,11-27,12-01,1.6304347826086956,3.4405464298188497,W,100%,Low,High,pos_change,17_Dec_m1,11-24,12-12
