,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-11,0.0,3.599519347620568,W,100%,Open,Close,pos_change,16_Jan_m1,01-01,01-11
0,2016,01-06,01-07,4.316045217109124,2.971632937167553,L,90%,Low,High,pos_change,16_Jan_m1,01-06,01-07
0,2016,02-08,02-17,3.3024223339843903,7.573422326280921,W,100%,Low,High,pos_change,16_Feb_m1,02-07,02-17
0,2016,02-24,03-10,3.1446540880503147,8.672438449778141,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-10
0,2016,02-22,02-23,4.964539007092199,3.253953494044225,L,90%,Close,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-28,04-07,3.882498147699366,6.271386516294632,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-10
0,2016,03-29,03-30,4.750001430511475,3.9105261498451336,L,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-18,04-20,3.0,3.539549240782622,W,100%,Low,High,pos_change,16_May_m1,04-18,04-29
0,2016,05-09,05-10,3.689021684809933,1.821900359089832,L,90%,Low,High,pos_change,16_May_m1,05-08,05-11
0,2016,05-26,06-14,3.166500723438441,16.048090150806765,W,100%,Low,High,pos_change,16_Jun_m1,05-26,06-17
0,2016,05-24,05-25,3.856040979849573,2.980312019914548,L,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-22,06-23,2.943019781904183,1.861756773822409,L,100%,Low,High,pos_change,16_Jul_m1,06-21,06-30
0,2016,07-07,07-08,4.111107720269097,1.920994447781373,L,90%,Low,High,pos_change,16_Jul_m1,07-07,07-10
0,2016,07-19,07-21,2.352629208308074,3.674397692558893,W,100%,Low,High,pos_change,16_Aug_m1,07-18,07-26
0,2016,07-18,07-19,5.118573285868709,1.104729365144815,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-24,09-06,3.0711816594086323,8.75903707950528,W,100%,Low,High,pos_change,16_Sep_m1,08-23,09-08
0,2016,08-31,09-01,4.419024763771476,2.1980413935298877,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-29,10-05,4.490010040518495,5.037288860779099,W,100%,Low,High,pos_change,16_Oct_m1,09-26,10-09
0,2016,09-22,09-23,6.263497941361183,5.400810081767385,L,90%,Low,High,pos_change,16_Oct_m1,09-22,09-25
0,2016,10-31,11-02,2.02931575533426,3.09899877651854,W,100%,Low,High,pos_change,16_Nov_m1,10-28,11-07
0,2016,12-02,12-05,1.980521511239424,2.0583392955740805,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-10
0,2016,11-22,11-23,2.874497736950332,3.2354694730657774,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-24
0,2017,01-11,01-13,1.8810763464921103,4.284955873259795,W,100%,Low,High,pos_change,17_Jan_m1,01-10,01-16
0,2017,01-06,01-09,5.307092220360747,1.080063589632801,L,90%,Low,High,pos_change,17_Jan_m1,01-06,01-09
0,2017,02-07,02-15,3.3024223339843903,10.91311093832724,W,100%,Low,High,pos_change,17_Feb_m1,02-07,02-17
0,2017,01-27,01-30,4.135011911007363,2.717243063038793,L,90%,Low,High,pos_change,17_Feb_m1,01-27,01-30
0,2017,02-24,02-27,3.1446540880503147,3.069703937794397,L,100%,Low,High,pos_change,17_Mar_m1,02-24,03-10
0,2017,02-22,02-24,5.056668789915364,1.6664660455828175,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-24
0,2017,03-27,04-10,3.882498147699366,6.177082284947728,W,100%,Low,High,pos_change,17_Apr_m1,03-26,04-10
0,2017,03-30,03-31,5.917346793472646,1.197968053880572,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-31
0,2017,05-10,05-11,2.8841067012737,4.164953273997768,W,100%,Low,High,pos_change,17_May_m1,05-10,05-19
0,2017,05-09,05-11,3.66739437196053,4.665205343046924,W,90%,Low,High,pos_change,17_May_m1,05-08,05-11
0,2017,05-30,06-01,2.1151199969630565,14.900318659605368,W,100%,Low,High,pos_change,17_Jun_m1,05-29,06-06
0,2017,05-23,05-24,3.856040979849573,4.002291435677366,W,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,07-11,07-21,3.520432555826192,6.35805560649856,W,100%,Low,High,pos_change,17_Jul_m1,07-11,07-21
0,2017,07-03,07-05,4.8672553612705975,0.4110828053831694,L,90%,Low,High,pos_change,17_Jul_m1,07-03,07-05
0,2017,08-04,08-10,1.8497117743994569,20.282660397662248,W,100%,Low,High,pos_change,17_Aug_m1,08-02,08-14
0,2017,07-28,07-31,4.838142140425019,2.923269292125585,L,90%,Low,High,pos_change,17_Aug_m1,07-28,07-31
0,2017,08-21,09-01,3.771023783591793,3.455021683595568,L,100%,Low,High,pos_change,17_Sep_m1,08-21,09-04
0,2017,09-28,10-05,4.490010040518495,6.142686842218396,W,100%,Low,High,pos_change,17_Oct_m1,09-26,10-09
0,2017,10-31,11-06,2.02931575533426,5.007485533399274,W,100%,Low,High,pos_change,17_Nov_m1,10-28,11-07
0,2017,12-01,12-04,1.980521511239424,2.2627024151043957,W,100%,Low,High,pos_change,17_Dec_m1,12-01,12-10
0,2017,11-21,11-24,3.555553468883547,2.353632435968253,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-24
0,2018,01-10,01-12,1.8810763464921103,3.944857683111233,W,100%,Low,High,pos_change,18_Jan_m1,01-10,01-16
0,2018,01-02,01-04,4.626938675952763,5.008555976296564,W,90%,Low,High,pos_change,18_Jan_m1,01-02,01-05
0,2018,01-26,01-29,3.136605726674353,0.7954183823499069,L,100%,Low,High,pos_change,18_Feb_m1,01-26,02-14
0,2018,01-29,01-30,4.135011911007363,0.0,L,90%,Low,High,pos_change,18_Feb_m1,01-27,01-30
0,2018,02-27,03-02,2.9585798816568047,3.4512296247964382,W,100%,Low,High,pos_change,18_Mar_m1,02-24,03-07
0,2018,02-20,02-21,4.416071211473062,2.2334819569124544,L,90%,Low,High,pos_change,18_Mar_m1,02-20,02-23
0,2018,03-26,04-05,3.882498147699366,6.748778141482553,W,100%,Low,High,pos_change,18_Apr_m1,03-26,04-06
0,2018,05-09,05-11,2.2494851529051263,7.44973261925341,W,100%,Open,High,pos_change,18_May_m1,05-08,05-17
0,2018,04-25,04-26,3.277152165567988,1.946882650543816,L,90%,Low,High,pos_change,18_May_m1,04-23,04-26
0,2018,05-29,05-30,2.1151199969630565,3.3856989761484284,W,100%,Low,High,pos_change,18_Jun_m1,05-29,06-06
0,2018,05-24,05-25,4.507037955270687,1.138960384293322,L,90%,Low,High,pos_change,18_Jun_m1,05-23,05-25
0,2018,07-12,07-17,3.168939045713934,4.145081554044993,W,100%,Low,High,pos_change,18_Jul_m1,07-11,07-20
0,2018,07-12,07-13,4.653689028218882,2.085824053200408,L,90%,Low,High,pos_change,18_Jul_m1,07-10,07-13
0,2018,08-02,08-03,1.8497117743994569,2.1590151284929138,W,100%,Low,High,pos_change,18_Aug_m1,08-02,08-14
0,2018,07-30,07-31,4.838142140425019,3.4102611052684293,L,90%,Low,High,pos_change,18_Aug_m1,07-28,07-31
0,2018,08-21,08-30,3.771023783591793,7.875310615665231,W,100%,Low,High,pos_change,18_Sep_m1,08-21,09-07
0,2018,09-28,10-08,4.490010040518495,4.989364267616006,W,100%,Low,High,pos_change,18_Oct_m1,09-26,10-09
0,2018,09-24,09-25,5.1468225969985815,1.6970388524983004,L,90%,Low,High,pos_change,18_Oct_m1,09-24,09-25
0,2018,10-29,11-07,2.02931575533426,11.700239808424447,W,100%,Low,High,pos_change,18_Nov_m1,10-28,11-07
0,2018,10-29,11-01,5.779794958440801,7.523699768394983,W,90%,Low,High,pos_change,18_Nov_m1,10-29,11-01
0,2018,11-21,11-29,2.874497736950332,7.932525218059825,W,100%,Low,High,pos_change,18_Dec_m1,11-21,12-21
0,2018,11-21,11-23,3.72339927852171,2.454905443862125,L,90%,Low,High,pos_change,18_Dec_m1,11-21,11-24
0,2019,01-04,01-11,2.262442147187301,13.504104523276675,W,100%,Low,High,pos_change,19_Jan_m1,01-04,01-12
0,2019,01-24,01-25,2.3713541461247125,3.9963883973259047,W,100%,Low,High,pos_change,19_Feb_m1,01-21,01-27
0,2019,02-28,03-05,2.8307324450370093,11.21802125402856,W,100%,Low,High,pos_change,19_Mar_m1,02-27,03-11
0,2019,02-27,02-28,4.40251572327044,11.001286702116412,W,90%,Low,High,pos_change,19_Mar_m1,02-25,02-28
0,2019,03-26,04-05,3.882498147699366,10.108930796074937,W,100%,Low,High,pos_change,19_Apr_m1,03-26,04-06
0,2019,04-26,04-29,1.3548734843461745,3.948689606742862,W,100%,Low,High,pos_change,19_May_m1,04-26,05-07
0,2019,05-06,05-07,2.902926314148222,1.8840838305277643,L,90%,Low,High,pos_change,19_May_m1,05-04,05-07
0,2019,05-29,05-30,3.166500723438441,3.299956322843552,W,100%,Low,High,pos_change,19_Jun_m1,05-26,06-17
0,2019,07-11,07-15,4.145081554044993,4.153289904668542,W,100%,Low,High,pos_change,19_Jul_m1,07-10,07-19
0,2019,06-24,06-25,5.027292650484397,4.515235750121335,L,90%,Low,High,pos_change,19_Jul_m1,06-24,06-25
0,2019,08-05,08-06,1.8497117743994569,3.921567590441906,W,100%,Low,High,pos_change,19_Aug_m1,08-02,08-14
0,2019,07-25,07-26,3.8237479221290513,1.435049375696258,L,90%,Low,High,pos_change,19_Aug_m1,07-25,07-28
0,2019,08-23,09-06,3.771023783591793,8.48301679573018,W,100%,Low,High,pos_change,19_Sep_m1,08-21,09-07
0,2019,08-23,08-26,6.227909059825767,1.10366186179354,L,90%,Low,High,pos_change,19_Sep_m1,08-23,08-26
0,2019,09-26,10-01,4.490010040518495,5.935985349972909,W,100%,Low,High,pos_change,19_Oct_m1,09-26,10-09
0,2019,09-26,09-27,5.1878042160108055,3.0145122465336405,L,90%,Low,High,pos_change,19_Oct_m1,09-26,09-29
0,2019,10-31,11-04,2.02931575533426,5.726875561957304,W,100%,Low,High,pos_change,19_Nov_m1,10-28,11-07
0,2019,10-31,11-01,5.779794958440801,4.92242815531583,L,90%,Low,High,pos_change,19_Nov_m1,10-29,11-01
0,2019,12-09,12-16,2.864483128849253,5.498943862044817,W,100%,Low,High,pos_change,19_Dec_m1,12-08,12-18
0,2019,11-21,11-22,3.692303518963675,2.320279513700785,L,90%,Low,High,pos_change,19_Dec_m1,11-21,11-24
0,2020,01-07,01-10,2.262442147187301,2.7237312440803056,W,100%,Low,High,pos_change,20_Jan_m1,01-04,01-12
0,2020,01-06,01-07,4.449933867579554,1.9129069049281788,L,90%,Low,High,pos_change,20_Jan_m1,01-06,01-07
0,2020,02-10,02-12,3.695392252233856,1.9417472628398496,L,100%,Low,High,pos_change,20_Feb_m1,02-08,02-20
0,2020,02-28,03-03,2.8307324450370093,16.092426326840926,W,100%,Low,High,pos_change,20_Mar_m1,02-27,03-11
0,2020,02-25,02-26,4.40251572327044,3.975281627819981,L,90%,Low,High,pos_change,20_Mar_m1,02-25,02-26
0,2020,03-26,03-30,3.882498147699366,10.24444580078125,W,100%,Low,High,pos_change,20_Apr_m1,03-26,04-06
