,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-06,0.0,3.5868984682831115,W,100%,Low,Open,pos_change,16_Jan_m1,01-01,01-08
0,2016,01-07,01-08,1.476284159866467,1.420622785654235,L,90%,Low,High,pos_change,16_Jan_m1,01-06,01-09
0,2016,01-25,02-01,2.046783625730994,6.605955008187979,W,100%,Low,High,pos_change,16_Feb_m1,01-25,02-09
0,2016,01-26,01-29,3.2710280373831773,3.782775977956855,W,90%,Low,High,pos_change,16_Feb_m1,01-26,01-29
0,2016,02-29,03-16,1.7745081596703711,7.758986601343931,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-16
0,2016,02-24,02-25,3.322882378113396,2.811646980654215,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-31,04-04,2.238805970149253,1.6386853871213354,L,100%,Open,Close,pos_change,16_Apr_m1,03-29,04-12
0,2016,03-29,03-30,3.0747852444996964,1.527535081875173,L,90%,Low,High,pos_change,16_Apr_m1,03-29,04-01
0,2016,04-29,05-10,2.4271844660194173,9.354874677192813,W,100%,Close,Open,pos_change,16_May_m1,04-28,05-10
0,2016,04-26,04-27,3.312634190666154,1.2023872729077425,L,90%,Low,Open,pos_change,16_May_m1,04-26,04-27
0,2016,05-23,06-03,1.4326647564469914,4.259260959913081,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-06
0,2016,05-23,05-24,4.250762560298755,2.671963377290824,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-29,07-06,1.891201367778876,4.288859107151979,W,100%,Low,High,pos_change,16_Jul_m1,06-29,07-12
0,2016,06-24,06-27,3.8785822371868144,2.668736226763903,L,90%,Low,High,pos_change,16_Jul_m1,06-24,06-27
0,2016,08-05,08-10,1.5427747924815476,1.0059316206170628,L,100%,Low,High,pos_change,16_Aug_m1,08-02,08-14
0,2016,07-28,07-29,2.7343704889063467,4.087122232010519,W,90%,Low,High,pos_change,16_Aug_m1,07-28,07-31
0,2016,08-30,09-07,1.1142061281337048,3.789502863736401,W,100%,Open,High,pos_change,16_Sep_m1,08-30,09-10
0,2016,08-25,08-26,1.8072289156626504,1.4052732615653298,L,90%,Low,High,pos_change,16_Sep_m1,08-25,08-26
0,2016,09-23,09-27,2.632046157362403,1.963785962108313,L,100%,Low,High,pos_change,16_Oct_m1,09-22,10-18
0,2016,09-20,09-21,3.938956034848505,1.2883986730174792,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,11-07,11-08,0.7017521871691229,1.656346710102459,W,100%,Low,High,pos_change,16_Nov_m1,11-05,11-13
0,2016,10-24,10-25,3.863149002887641,0.4471465962253727,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-23,12-09,1.986325719755512,3.6272566577438994,W,100%,Low,High,pos_change,16_Dec_m1,11-22,12-10
0,2017,01-03,01-06,0.0,3.538918819543305,W,100%,Low,Open,pos_change,17_Jan_m1,01-01,01-08
0,2017,01-06,01-09,2.112676056338028,0.831413681048228,L,90%,Low,High,pos_change,17_Jan_m1,01-06,01-09
0,2017,01-27,02-07,2.369287873583189,1.73460095829518,L,100%,Low,High,pos_change,17_Feb_m1,01-26,02-07
0,2017,01-26,01-27,3.4297999273721977,0.7307667710848247,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-29
0,2017,03-01,03-02,1.7745081596703711,2.164685780436145,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-16
0,2017,02-21,02-22,3.4526002920530257,1.425688117745813,L,90%,Open,High,pos_change,17_Mar_m1,02-21,02-22
0,2017,03-28,04-12,2.229299363057325,3.0501753992807634,W,100%,Low,High,pos_change,17_Apr_m1,03-26,04-12
0,2017,03-24,03-27,3.30188679245283,1.179281893893899,L,90%,Close,High,pos_change,17_Apr_m1,03-24,03-27
0,2017,05-01,05-02,2.4271844660194173,3.420168451471893,W,100%,Close,Open,pos_change,17_May_m1,04-28,05-10
