,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,02-03,02-04,2.125922855206232,10.354226336274392,W,100%,Low,High,pos_change,16_Feb_m1,01-31,02-11
0,2016,02-02,02-03,4.042550001992072,4.100528374680981,W,90%,Low,High,pos_change,16_Feb_m1,01-31,02-03
0,2016,02-29,03-04,3.5372494828480754,13.962762188309716,W,100%,Low,High,pos_change,16_Mar_m1,02-26,03-15
0,2016,02-22,02-23,4.704267918213436,1.673103150064827,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-24
0,2016,03-29,03-30,1.049865990626898,4.000005414409022,W,100%,Low,High,pos_change,16_Apr_m1,03-28,04-03
0,2016,03-22,03-23,2.2665458390963766,1.7412978107836607,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-24
0,2016,04-18,04-27,3.689029466101502,12.368733458145604,W,100%,Low,High,pos_change,16_May_m1,04-18,05-16
0,2016,04-18,04-20,5.131198417675787,7.234538012101983,W,90%,Low,High,pos_change,16_May_m1,04-18,04-20
0,2016,05-27,06-02,1.861694745551484,2.9866113358777087,W,100%,Low,High,pos_change,16_Jun_m1,05-27,06-04
0,2016,05-23,05-25,3.072290464831192,5.769230573291758,W,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-21,06-23,2.150536436446341,4.304628825446977,W,100%,Low,High,pos_change,16_Jul_m1,06-20,07-09
0,2016,06-27,06-29,3.999997739379889,7.251910457748497,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-20,07-29,2.084036434397978,5.909085145666705,W,100%,Low,High,pos_change,16_Aug_m1,07-18,08-04
0,2016,09-01,09-08,3.0150805143941457,3.384614602113382,W,100%,Low,High,pos_change,16_Sep_m1,08-29,09-14
0,2016,08-29,08-30,3.2942499029286267,1.9387711906672267,L,90%,Low,High,pos_change,16_Sep_m1,08-27,08-30
0,2016,09-29,10-10,3.645828734090052,8.609957408154687,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-16
0,2016,11-03,11-07,1.8578418221475943,5.177372445378145,W,100%,Close,High,pos_change,16_Nov_m1,10-31,11-08
0,2016,10-26,10-27,5.993977070082488,3.984820472618916,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,12-07,12-08,1.9505468535980035,4.468079033491012,W,100%,Low,High,pos_change,16_Dec_m1,12-07,12-13
0,2016,11-21,11-22,2.8540092061503723,1.0678897558280886,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-12,01-13,1.5024534684668749,5.437856398737162,W,100%,Low,High,pos_change,17_Jan_m1,01-10,01-16
0,2017,02-02,02-10,2.125922855206232,6.830987887731578,W,100%,Low,High,pos_change,17_Feb_m1,01-31,02-11
0,2017,02-02,02-03,4.042550001992072,3.5915509558603924,L,90%,Low,High,pos_change,17_Feb_m1,01-31,02-03
0,2017,02-28,03-02,3.5372494828480754,6.018523862262432,W,100%,Low,High,pos_change,17_Mar_m1,02-26,03-15
0,2017,02-21,02-22,4.877277251008021,0.8480111877879918,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-22
0,2017,03-30,04-05,2.539952529664605,4.338697601218781,W,100%,Low,High,pos_change,17_Apr_m1,03-30,04-18
