,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.056230686894434,1.5761847983646906,L,100%,Low,High,pos_change,16_Jan_m1,01-02,01-15
0,2016,01-04,01-05,3.495005386014972,1.5761847983646906,L,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,01-25,01-29,3.6578966725354487,4.126607874715508,W,100%,Low,High,pos_change,16_Feb_m1,01-25,02-02
0,2016,01-19,01-20,5.382959367429055,1.2562280427727126,L,90%,Low,High,pos_change,16_Feb_m1,01-18,01-20
0,2016,02-24,03-04,2.5320830529592584,9.7211353819892,W,100%,Low,High,pos_change,16_Mar_m1,02-23,03-09
0,2016,02-24,02-25,5.001430922621625,3.075320140796831,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-28,04-04,0.0,7.948834260548187,W,100%,Low,Close,pos_change,16_Apr_m1,03-27,04-04
0,2016,03-29,03-31,3.685391886850421,5.985035939965262,W,90%,Low,Open,pos_change,16_Apr_m1,03-29,03-31
0,2016,04-21,04-26,3.356418653090111,3.5018603284656136,W,100%,Low,High,pos_change,16_May_m1,04-21,05-19
0,2016,04-18,04-19,5.986823723068057,1.487562511825646,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-03,06-08,1.992880634662443,2.849350083722963,W,100%,Low,High,pos_change,16_Jun_m1,05-31,06-11
0,2016,06-24,07-12,2.040815211586628,9.319485742529931,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-14
0,2016,06-27,06-28,4.378323924962755,4.018640250388107,L,90%,Low,High,pos_change,16_Jul_m1,06-27,06-28
0,2016,08-03,08-08,3.247952408049122,4.402857642825719,W,100%,Low,High,pos_change,16_Aug_m1,08-03,08-16
0,2016,07-20,07-22,7.820610252599983,4.198279739442869,L,90%,Low,High,pos_change,16_Aug_m1,07-20,07-23
0,2016,08-31,09-07,2.6632517762725523,1.9489013431109603,L,100%,Low,High,pos_change,16_Sep_m1,08-28,09-10
0,2016,08-26,08-29,3.413656202778279,1.4678834500540658,L,90%,Low,High,pos_change,16_Sep_m1,08-26,08-29
0,2016,09-29,10-21,4.199034127964469,5.810478640389346,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-21
0,2016,10-03,10-04,7.332989028365142,5.299094767456642,L,90%,Low,High,pos_change,16_Oct_m1,10-03,10-06
0,2016,10-28,11-14,2.817631006431144,21.02241181459029,W,100%,Low,High,pos_change,16_Nov_m1,10-28,11-14
0,2016,10-25,10-26,5.54804237695133,3.7513125531063016,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-26
0,2016,11-25,12-08,2.1261530689895856,9.19437358986668,W,100%,Low,High,pos_change,16_Dec_m1,11-24,12-11
0,2016,11-30,12-01,3.083209217510226,2.6339532459966284,L,90%,Low,High,pos_change,16_Dec_m1,11-30,12-01
0,2017,01-09,01-13,3.082922963863042,4.685207695938078,W,100%,Low,High,pos_change,17_Jan_m1,01-07,01-19
0,2017,01-09,01-12,3.156026119042089,3.4302433435289976,W,90%,Low,High,pos_change,17_Jan_m1,01-09,01-12
0,2017,01-27,02-01,3.6578966725354487,7.422222561306424,W,100%,Low,High,pos_change,17_Feb_m1,01-25,02-02
0,2017,01-25,01-26,5.051199618165719,1.9043732072236887,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-28
0,2017,02-24,03-01,2.727272727272727,5.342703620024318,W,100%,Low,High,pos_change,17_Mar_m1,02-21,03-12
0,2017,02-23,02-24,5.0834602487136245,0.2298863403539178,L,90%,Low,High,pos_change,17_Mar_m1,02-23,02-26
0,2017,03-24,03-31,2.3916269961675547,1.8310387604504328,L,100%,Close,High,pos_change,17_Apr_m1,03-23,04-18
0,2017,04-12,04-13,4.19343856582862,1.7709054129535864,L,90%,Low,High,pos_change,17_Apr_m1,04-12,04-15
0,2017,05-08,05-10,2.201255716141545,3.888057341230243,W,100%,Low,High,pos_change,17_May_m1,05-07,05-19
0,2017,04-28,05-01,5.505796109048893,1.2393991607334538,L,90%,Low,High,pos_change,17_May_m1,04-28,05-01
0,2017,05-31,06-02,1.992880634662443,4.490688211474442,W,100%,Low,High,pos_change,17_Jun_m1,05-31,06-11
0,2017,05-31,06-02,2.849350083722963,4.490688211474442,W,90%,Low,High,pos_change,17_Jun_m1,05-31,06-03
0,2017,06-27,07-10,3.6877864949611294,4.776999061363568,W,100%,Low,High,pos_change,17_Jul_m1,06-24,07-16
0,2017,06-28,06-29,5.033557046979865,2.260721853854142,L,90%,Low,High,pos_change,17_Jul_m1,06-28,06-29
0,2017,08-04,08-08,3.247952408049122,1.8889436891110185,L,100%,Low,High,pos_change,17_Aug_m1,08-03,08-16
0,2017,08-02,08-03,3.6057692307692304,1.9056177472725089,L,90%,Low,High,pos_change,17_Aug_m1,08-02,08-05
0,2017,08-29,09-01,2.570210288462462,4.315067174816866,W,100%,Low,High,pos_change,17_Sep_m1,08-29,09-07
0,2017,08-28,08-29,3.314263860111006,1.5724672058186475,L,90%,Low,High,pos_change,17_Sep_m1,08-27,08-29
0,2017,09-28,10-03,3.231858354147401,4.734925615716245,W,100%,Low,High,pos_change,17_Oct_m1,09-28,10-19
