,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-13,1.899604915437178,2.4458257342207723,W,100%,Low,High,pos_change,16_Jan_m1,01-06,01-13
0,2016,01-25,01-27,4.274389604596958,8.675288529016498,W,100%,Low,High,pos_change,16_Feb_m1,01-22,01-30
0,2016,01-25,01-27,6.512209249195651,8.675288529016498,W,90%,Low,High,pos_change,16_Feb_m1,01-24,01-27
0,2016,03-02,03-18,2.3972632795718267,10.874572401257575,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-18
0,2016,03-01,03-02,2.885271702878668,2.8038280432304123,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,04-01,04-12,2.294459046244928,2.442981228718353,W,100%,Low,High,pos_change,16_Apr_m1,03-31,04-12
0,2016,03-28,03-29,3.604737678899218,1.767675985771399,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,05-04,05-13,2.541706096474846,3.847895081420044,W,100%,Low,High,pos_change,16_May_m1,05-03,05-13
0,2016,04-19,04-20,4.910892700598185,0.8987995192775898,L,90%,Open,High,pos_change,16_May_m1,04-19,04-20
0,2016,05-24,06-06,2.295021565610736,6.9869365216349095,W,100%,Low,High,pos_change,16_Jun_m1,05-24,06-06
0,2016,05-24,05-26,2.8661653747060525,4.857756633095875,W,90%,Low,High,pos_change,16_Jun_m1,05-24,05-27
0,2016,06-27,07-01,2.381142112176548,8.985728326347019,W,100%,Low,High,pos_change,16_Jul_m1,06-24,07-01
0,2016,06-27,06-28,3.2176317573257367,2.967248632553631,L,90%,Low,High,pos_change,16_Jul_m1,06-27,06-28
0,2016,07-29,08-11,2.415274006196691,4.877190840871711,W,100%,Low,Close,pos_change,16_Aug_m1,07-28,08-15
0,2016,07-28,07-29,3.9138943248532287,1.0349580598963857,L,90%,Low,High,pos_change,16_Aug_m1,07-28,07-31
0,2016,08-25,08-26,2.635668328888348,1.7995740813232943,L,100%,Low,High,pos_change,16_Sep_m1,08-24,09-10
0,2016,08-25,08-26,3.4914020721617853,1.7995740813232943,L,90%,Low,High,pos_change,16_Sep_m1,08-25,08-26
0,2016,10-10,10-21,2.8454259372240247,7.912745833414098,W,100%,Low,High,pos_change,16_Oct_m1,10-07,10-21
0,2016,09-28,09-30,4.927884615384615,6.092726334922133,W,90%,Low,High,pos_change,16_Oct_m1,09-28,10-01
0,2016,10-27,11-11,4.325958949474065,11.740756947535354,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-13
0,2016,10-26,10-27,8.420527772656456,2.24737750844706,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-29
0,2016,11-22,12-01,3.1936127744510974,6.020774243612714,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-04
0,2016,12-01,12-02,4.245499343703067,2.674909588183256,L,90%,Low,High,pos_change,16_Dec_m1,12-01,12-04
0,2017,01-13,01-17,2.782758471371534,0.347916434184282,L,100%,Low,High,pos_change,17_Jan_m1,01-13,01-19
0,2017,01-06,01-09,3.845698636666683,1.6704212440816646,L,90%,Low,High,pos_change,17_Jan_m1,01-06,01-09
0,2017,01-23,01-25,4.116914288659395,11.418542442699149,W,100%,Low,High,pos_change,17_Feb_m1,01-23,02-12
0,2017,01-24,01-25,6.314374618135221,11.251074351102854,W,90%,Low,High,pos_change,17_Feb_m1,01-24,01-25
0,2017,03-06,03-15,2.4672957779872444,4.103240700066347,W,100%,Low,High,pos_change,17_Mar_m1,03-03,03-16
0,2017,02-21,02-22,3.177570093457944,1.5035132710941546,L,90%,Low,High,pos_change,17_Mar_m1,02-20,02-22
0,2017,04-03,04-05,2.442981228718353,3.8004329122767775,W,100%,Low,High,pos_change,17_Apr_m1,04-01,04-12
0,2017,04-10,04-11,4.093675420884002,0.4629935349084428,L,90%,Low,High,pos_change,17_Apr_m1,04-10,04-11
0,2017,05-04,05-10,3.040539212606544,3.730567623772049,W,100%,Low,High,pos_change,17_May_m1,05-01,05-13
0,2017,05-03,05-04,3.969754253308128,1.3293322018006086,L,90%,Low,High,pos_change,17_May_m1,05-01,05-04
0,2017,05-24,06-02,2.295021565610736,4.182027446425007,W,100%,Low,High,pos_change,17_Jun_m1,05-24,06-06
0,2017,05-24,05-26,2.8661653747060525,1.4808706529082185,L,90%,Low,High,pos_change,17_Jun_m1,05-24,05-27
0,2017,06-23,06-26,2.381142112176548,1.9104686230726573,L,100%,Low,High,pos_change,17_Jul_m1,06-23,07-01
0,2017,06-23,06-26,4.481788426952956,1.9104686230726573,L,90%,Low,High,pos_change,17_Jul_m1,06-23,06-26
0,2017,07-28,07-31,2.415274006196691,2.057941154178251,L,100%,Low,Close,pos_change,17_Aug_m1,07-28,08-15
0,2017,07-28,07-31,3.9138943248532287,2.057941154178251,L,90%,Low,High,pos_change,17_Aug_m1,07-28,07-31
0,2017,09-01,09-15,1.9017432646592711,6.013383713030756,W,100%,Low,High,pos_change,17_Sep_m1,09-01,09-15
0,2017,08-30,09-01,3.2426886752937314,3.404206455916712,W,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,09-28,10-13,2.4912388319437504,6.2621113921162745,W,100%,Low,High,pos_change,17_Oct_m1,09-28,10-15
0,2017,09-28,09-29,4.8002268159269565,2.2792022792022792,L,90%,Open,High,pos_change,17_Oct_m1,09-28,10-01
0,2017,10-25,10-31,4.325958949474065,13.126105324225298,W,100%,Low,High,pos_change,17_Nov_m1,10-25,11-13
0,2017,10-26,10-27,8.420527772656456,0.945767742551974,L,90%,Low,High,pos_change,17_Nov_m1,10-26,10-29
0,2017,11-22,11-28,3.616429827916319,4.839050801231819,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-05
0,2017,11-21,11-22,4.648241206030151,0.2709484563475156,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
0,2018,01-08,01-16,2.4458257342207723,5.194941692856297,W,100%,Low,High,pos_change,18_Jan_m1,01-06,01-18
0,2018,01-08,01-09,3.452575941405575,2.401534465093334,L,90%,Low,High,pos_change,18_Jan_m1,01-06,01-09
0,2018,01-25,01-29,4.274389604596958,3.004904990705324,L,100%,Low,High,pos_change,18_Feb_m1,01-22,01-30
0,2018,01-24,01-25,6.314374618135221,1.7859852973045671,L,90%,Low,High,pos_change,18_Feb_m1,01-24,01-25
