,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-12,2.254591165596301,5.581219355228051,W,100%,Low,High,pos_change,16_Jan_m1,01-06,01-12
0,2016,01-06,01-07,5.275626260527895,3.3958750454024127,L,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,01-26,02-01,3.324151498105295,7.499995876972,W,100%,Low,High,pos_change,16_Feb_m1,01-24,02-10
0,2016,03-01,03-07,2.805707456299379,7.369938532107816,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-16
0,2016,02-23,02-24,5.997053504286411,2.453211555087751,L,90%,Low,High,pos_change,16_Mar_m1,02-23,02-24
0,2016,03-28,04-04,3.323673856431159,2.984291635673638,L,100%,Low,High,pos_change,16_Apr_m1,03-26,04-11
0,2016,03-22,03-23,5.63406965929603,0.6201560983341569,L,90%,Low,High,pos_change,16_Apr_m1,03-22,03-23
0,2016,04-29,05-10,2.730212236734116,4.333868946676832,W,100%,Low,High,pos_change,16_May_m1,04-28,05-12
0,2016,04-19,04-20,4.392003089267103,0.8040536476734614,L,90%,Low,High,pos_change,16_May_m1,04-19,04-20
0,2016,05-23,05-26,3.328148192972652,4.351160700471159,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-04
0,2016,05-25,05-26,4.37477161977002,3.0670180636966338,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-24,07-13,2.959552850174824,10.919428097693276,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-13
0,2016,06-27,06-29,4.387682400356338,5.624296946790409,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-18,08-15,2.593986932941137,9.087790234558096,W,100%,Low,High,pos_change,16_Aug_m1,07-18,08-16
0,2016,08-03,08-04,4.222623057005878,3.743494298574058,L,90%,Low,High,pos_change,16_Aug_m1,08-03,08-04
0,2016,08-25,08-26,2.030459155683252,1.5898250806696257,L,100%,Low,High,pos_change,16_Sep_m1,08-22,09-01
0,2016,09-01,09-02,3.9850522141633418,1.9633280277495544,L,90%,Low,High,pos_change,16_Sep_m1,09-01,09-02
0,2016,09-28,10-05,4.981750373199007,3.431918392144004,L,100%,Low,High,pos_change,16_Oct_m1,09-25,10-21
0,2016,09-29,09-30,7.1925094036363655,2.1205889883047138,L,90%,Low,High,pos_change,16_Oct_m1,09-28,10-01
0,2016,10-28,11-10,4.301329067774823,4.629330959634105,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-13
