,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-11,1.6668772283480502,1.3079169995751134,L,100%,Low,High,pos_change,16_Jan_m1,01-05,01-14
0,2016,01-25,02-18,3.325265025231753,5.136374225978078,W,100%,Low,High,pos_change,16_Feb_m1,01-24,02-19
0,2016,03-03,03-17,2.2346341472995506,4.417799762396267,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-17
0,2016,03-07,03-08,2.296874255624625,1.4992137965887684,L,90%,Low,High,pos_change,16_Mar_m1,03-07,03-08
0,2016,03-29,04-12,1.9126082485955265,5.505711784846473,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-12
0,2016,03-22,03-23,2.514719455721249,1.1799406028123367,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-23
0,2016,04-22,04-27,1.8375814364104104,2.0394619710697555,W,100%,Low,High,pos_change,16_May_m1,04-21,05-05
0,2016,04-18,04-19,5.491995087284153,2.172452052660179,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-03,06-13,1.9108347382872648,2.5127625472313007,W,100%,Low,High,pos_change,16_Jun_m1,06-03,06-14
0,2016,06-03,06-06,2.884774541017085,1.681846037746932,L,90%,Low,High,pos_change,16_Jun_m1,06-03,06-06
0,2016,06-29,07-14,1.351351351351351,6.565456310189688,W,100%,Low,High,pos_change,16_Jul_m1,06-29,07-15
0,2016,06-27,06-30,3.2226008703754103,5.862321583298664,W,90%,Low,High,pos_change,16_Jul_m1,06-27,06-30
0,2016,08-04,08-15,2.061225283781242,3.301357760773397,W,100%,Low,High,pos_change,16_Aug_m1,08-04,08-18
0,2016,07-18,07-20,2.6548676996985243,1.3348595872941784,L,90%,Close,High,pos_change,16_Aug_m1,07-18,07-20
0,2016,08-29,08-30,2.1260855055637875,0.6422775870106365,L,100%,Low,High,pos_change,16_Sep_m1,08-27,09-09
0,2016,08-30,08-31,3.943009342585851,0.0,L,90%,Low,High,pos_change,16_Sep_m1,08-30,08-31
0,2016,09-30,10-04,1.8349793438136328,1.7316515329745903,L,100%,Low,High,pos_change,16_Oct_m1,09-30,10-20
0,2016,10-07,10-10,3.879907875577901,1.222319223008519,L,90%,Low,High,pos_change,16_Oct_m1,10-07,10-10
0,2016,11-03,11-07,2.6877162073913934,2.601274503118974,L,100%,Low,High,pos_change,16_Nov_m1,11-01,11-07
0,2016,10-26,10-27,4.010867976236262,0.863526290298806,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,12-05,12-09,1.6773351825858775,2.4497011285804864,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-09
0,2017,01-03,01-06,1.7857109568421563,2.5727218393708062,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-18
0,2017,01-25,01-26,2.9475648902427958,2.4912662473098304,L,100%,Low,High,pos_change,17_Feb_m1,01-24,02-01
0,2017,01-24,01-25,3.1314323001376527,1.9666485966353704,L,90%,Low,High,pos_change,17_Feb_m1,01-24,01-25
0,2017,03-06,03-17,2.2346341472995506,2.160660851762997,L,100%,Low,High,pos_change,17_Mar_m1,03-03,03-17
0,2017,03-06,03-07,2.317807051590734,0.7799916766397362,L,90%,Low,High,pos_change,17_Mar_m1,03-04,03-07
0,2017,03-30,04-21,2.604538671033453,3.066609785066022,W,100%,Low,High,pos_change,17_Apr_m1,03-29,04-21
0,2017,03-21,03-22,3.857823060035068,0.3929346463994163,L,90%,Low,High,pos_change,17_Apr_m1,03-21,03-22
0,2017,04-24,05-04,1.2446041951822535,4.553702445111328,W,100%,Low,High,pos_change,17_May_m1,04-24,05-04
0,2017,04-24,04-26,3.241144970476512,3.041556082022729,L,90%,Low,High,pos_change,17_May_m1,04-24,04-27
0,2017,06-06,06-09,1.9108347382872648,0.969413010974422,L,100%,Low,High,pos_change,17_Jun_m1,06-03,06-14
0,2017,05-23,05-24,2.8178126635331133,0.9948164569667054,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,07-06,07-12,2.01842563438856,2.387589709801375,W,100%,Low,High,pos_change,17_Jul_m1,07-05,07-16
0,2017,06-28,06-29,4.872176865390842,0.6327547070564379,L,90%,Open,High,pos_change,17_Jul_m1,06-28,06-29
0,2017,08-07,08-08,2.061225283781242,0.9587706308079396,L,100%,Low,High,pos_change,17_Aug_m1,08-04,08-18
0,2017,07-26,07-27,3.126760127291496,0.1089748397491597,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-27
0,2017,08-24,08-31,1.03794164382982,4.558499506216692,W,100%,Low,High,pos_change,17_Sep_m1,08-24,09-03
0,2017,08-30,08-31,3.7549653531139753,1.589038030242496,L,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,09-29,10-13,1.7696814722595682,4.768969503008699,W,100%,Low,High,pos_change,17_Oct_m1,09-29,10-18
0,2017,10-09,10-10,2.750626324953405,0.618166572253781,L,90%,Low,High,pos_change,17_Oct_m1,10-09,10-10
0,2017,10-30,11-03,2.7283463929979344,2.440044424533375,L,100%,Low,High,pos_change,17_Nov_m1,10-30,11-08
0,2017,10-26,10-27,4.010867976236262,0.7983117299216124,L,90%,Low,High,pos_change,17_Nov_m1,10-26,10-27
0,2017,11-30,12-08,2.1508365011417423,3.777082410250828,W,100%,Low,High,pos_change,17_Dec_m1,11-30,12-10
0,2018,01-02,01-16,1.7857109568421563,8.3038477832548,W,100%,Low,High,pos_change,18_Jan_m1,01-02,01-18
0,2018,01-02,01-03,2.1369420061860125,2.3826383590133124,W,90%,Low,High,pos_change,18_Jan_m1,01-01,01-03
0,2018,01-24,01-29,2.711896102807695,3.89494416106637,W,100%,Low,High,pos_change,18_Feb_m1,01-24,02-07
0,2018,01-25,01-26,3.2634651692470715,1.8307488945162125,L,90%,Low,High,pos_change,18_Feb_m1,01-25,01-28
0,2018,03-05,03-12,1.577906076020386,5.217936594306173,W,100%,Low,High,pos_change,18_Mar_m1,03-03,03-15
0,2018,03-08,03-09,2.296874255624625,3.517702514485678,W,90%,Low,High,pos_change,18_Mar_m1,03-07,03-10
0,2018,03-29,04-05,2.1111496849717293,1.776675174965913,L,100%,Low,High,pos_change,18_Apr_m1,03-29,04-18
0,2018,03-26,03-27,3.558167868550166,3.839923898620407,W,90%,Low,High,pos_change,18_Apr_m1,03-25,03-27
0,2018,04-25,04-26,1.6596803312038468,4.079750286523566,W,100%,Low,High,pos_change,18_May_m1,04-23,05-08
0,2018,04-25,04-26,3.1892890818573862,4.079750286523566,W,90%,Low,High,pos_change,18_May_m1,04-24,04-27
0,2018,06-05,06-12,1.5451770026644776,2.892757097258825,W,100%,Low,High,pos_change,18_Jun_m1,06-05,06-15
0,2018,07-05,07-13,2.01842563438856,5.01455822087216,W,100%,Low,High,pos_change,18_Jul_m1,07-05,07-15
0,2018,06-26,06-27,3.4571360399228346,2.577114809650021,L,90%,Low,High,pos_change,18_Jul_m1,06-26,06-29
0,2018,07-30,08-09,1.5374684328005606,2.6917310558661987,W,100%,Low,High,pos_change,18_Aug_m1,07-29,08-17
0,2018,07-26,07-27,3.126760127291496,1.7593600039910278,L,90%,Low,High,pos_change,18_Aug_m1,07-26,07-27
0,2018,08-31,09-19,1.375916119479181,7.542564843912324,W,100%,Low,High,pos_change,18_Sep_m1,08-30,09-19
0,2018,08-30,08-31,3.716506575109437,0.2647350874810499,L,90%,Low,High,pos_change,18_Sep_m1,08-30,08-31
0,2018,10-01,10-02,1.7696814722595682,1.5186037319567651,L,100%,Low,High,pos_change,18_Oct_m1,09-29,10-18
