,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.7565251819346503,3.006654809522017,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-14
0,2016,01-04,01-05,3.078729635887596,3.006654809522017,L,90%,Low,High,pos_change,16_Jan_m1,01-04,01-07
0,2016,02-01,02-17,3.3700685654246074,7.225090163947401,W,100%,Low,High,pos_change,16_Feb_m1,01-30,02-19
0,2016,01-25,01-26,5.923779704233167,2.648194986986649,L,90%,Low,High,pos_change,16_Feb_m1,01-25,01-26
0,2016,02-29,03-01,1.9467108783011748,5.104010862441827,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-05
0,2016,03-01,03-02,4.965109496763104,2.905050314613626,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-29,04-13,2.8619343132962367,6.591104105210177,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-14
0,2016,04-22,04-26,3.224308944579424,2.420345987438613,L,100%,Low,High,pos_change,16_May_m1,04-22,05-11
0,2016,04-20,04-21,4.306470658754874,4.430703506311404,W,90%,Low,High,pos_change,16_May_m1,04-20,04-23
0,2016,05-24,05-25,1.697039439186345,2.4294328779356578,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-02
0,2016,05-25,05-26,4.067848930775356,0.7146080039682183,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,07-12,2.2886833724957585,11.089191495455538,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-15
0,2016,06-27,06-30,3.978182816333641,5.539213238984374,W,90%,Low,High,pos_change,16_Jul_m1,06-27,06-30
0,2016,08-03,08-04,1.9361698488241592,1.1597235885147992,L,100%,Low,High,pos_change,16_Aug_m1,08-03,08-16
0,2016,08-01,08-02,2.709260366744662,2.003381110613568,L,90%,Low,High,pos_change,16_Aug_m1,07-30,08-02
0,2016,08-26,08-30,1.4814800686306424,1.2986519501911489,L,100%,Low,High,pos_change,16_Sep_m1,08-25,09-10
0,2016,08-29,08-30,3.26544764583223,1.3093217366963836,L,90%,Low,High,pos_change,16_Sep_m1,08-28,08-31
0,2016,09-21,09-23,3.526243551531452,3.946546142626854,W,100%,Low,High,pos_change,16_Oct_m1,09-21,10-21
0,2016,10-25,10-26,3.5514324435198232,2.1242085678704026,L,100%,Low,High,pos_change,16_Nov_m1,10-24,11-06
0,2016,10-25,10-26,6.584243759157145,2.1242085678704026,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,11-21,11-25,1.2932399589158785,5.748890268565833,W,100%,Low,High,pos_change,16_Dec_m1,11-21,11-27
0,2016,11-21,11-22,3.077281048503341,3.806954874412921,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-03,01-13,2.7565251819346503,5.560696578500569,W,100%,Low,High,pos_change,17_Jan_m1,01-03,01-14
0,2017,01-03,01-04,3.192904357500809,2.6786093834018536,L,90%,Low,Open,pos_change,17_Jan_m1,01-02,01-05
0,2017,01-31,02-10,3.2476056455227504,2.5084970992135456,L,100%,Low,High,pos_change,17_Feb_m1,01-30,02-12
0,2017,01-25,01-26,5.583682265192916,10.277010430897398,W,90%,Low,High,pos_change,17_Feb_m1,01-25,01-26
0,2017,02-28,03-01,1.9467108783011748,2.978858017339939,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-05
0,2017,03-01,03-02,4.965109496763104,1.2124929304861876,L,90%,Low,High,pos_change,17_Mar_m1,03-01,03-02
0,2017,03-29,04-10,3.0544833611867706,1.6589502567810592,L,100%,Low,High,pos_change,17_Apr_m1,03-29,04-15
0,2017,03-22,03-23,5.672462463305514,2.4697375465859133,L,90%,Low,High,pos_change,17_Apr_m1,03-22,03-23
0,2017,04-26,05-09,2.703730480478892,3.5426790297280517,W,100%,Low,High,pos_change,17_May_m1,04-26,05-12
0,2017,04-26,04-28,3.418291936031125,3.048775764819453,L,90%,Low,High,pos_change,17_May_m1,04-26,04-29
0,2017,05-24,06-02,1.697039439186345,4.908813816396795,W,100%,Low,High,pos_change,17_Jun_m1,05-23,06-02
0,2017,05-25,05-26,3.1954916816508265,1.1184442631569105,L,90%,Low,High,pos_change,17_Jun_m1,05-25,05-26
0,2017,06-29,07-17,2.962960137261285,2.5141150616859305,L,100%,Low,Open,pos_change,17_Jul_m1,06-26,07-21
0,2017,07-27,07-28,1.784274765084663,0.6667789394328857,L,100%,Low,High,pos_change,17_Aug_m1,07-26,08-18
0,2017,08-21,09-01,1.8207953848136176,5.803844455357147,W,100%,Low,High,pos_change,17_Sep_m1,08-21,09-02
0,2017,08-30,09-01,3.0150773516147438,3.917498219268945,W,90%,Low,High,pos_change,17_Sep_m1,08-29,09-01
0,2017,10-03,10-20,2.480505149354898,6.297284038465803,W,100%,Low,High,pos_change,17_Oct_m1,10-03,10-20
0,2017,10-24,10-26,4.0,4.145205315455525,W,100%,Low,High,pos_change,17_Nov_m1,10-23,11-09
0,2017,10-24,10-26,6.572774400524839,4.145205315455525,L,90%,Low,Close,pos_change,17_Nov_m1,10-24,10-27
0,2017,11-20,11-27,2.0289810844089677,2.26273403414894,W,100%,Low,High,pos_change,17_Dec_m1,11-20,11-27
0,2017,11-20,11-21,3.077281048503341,1.0304008851409665,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-02,01-16,2.963134591702793,6.196309738515244,W,100%,Low,High,pos_change,18_Jan_m1,01-02,01-18
0,2018,01-02,01-05,3.192904357500809,2.984669117844203,L,90%,Low,Open,pos_change,18_Jan_m1,01-02,01-05
0,2018,02-02,02-07,3.3046884102128664,2.121948303848338,L,100%,Low,High,pos_change,18_Feb_m1,01-30,02-15
0,2018,01-30,01-31,4.395025816408527,1.621745579678466,L,90%,Low,High,pos_change,18_Feb_m1,01-30,01-31
0,2018,03-02,03-05,1.9467108783011748,1.347051914493775,L,100%,Low,High,pos_change,18_Mar_m1,02-28,03-05
0,2018,03-01,03-02,4.679579030225729,0.6227392077987493,L,90%,Low,High,pos_change,18_Mar_m1,03-01,03-02
0,2018,03-28,04-19,3.117798832337021,5.123611902926824,W,100%,Low,High,pos_change,18_Apr_m1,03-25,04-20
0,2018,03-22,03-23,5.672462463305514,0.8146216813241468,L,90%,Low,High,pos_change,18_Apr_m1,03-22,03-23
