,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.1206237851519414,2.072070239184497,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-09
0,2016,02-05,02-10,2.479338842975207,3.5616298221252,W,100%,Low,High,pos_change,16_Feb_m1,02-02,02-14
0,2016,02-01,02-02,3.2007751741033736,1.9303043611732111,L,90%,Low,High,pos_change,16_Feb_m1,01-31,02-03
0,2016,02-24,03-04,1.879924016041161,9.43528352178196,W,100%,Low,High,pos_change,16_Mar_m1,02-22,03-05
0,2016,03-03,03-04,2.299187722625773,4.097156922888947,W,90%,Low,High,pos_change,16_Mar_m1,03-03,03-04
0,2016,04-04,04-15,1.0781629586782548,4.404147228345614,W,100%,Low,High,pos_change,16_Apr_m1,04-01,04-15
0,2016,03-28,03-29,2.655933300282488,1.3389480697203315,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,04-21,04-28,1.7341040462427744,3.600029438178142,W,100%,Low,High,pos_change,16_May_m1,04-21,05-06
0,2016,04-18,04-19,5.197189882363643,1.4692129717739584,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-26,06-01,1.7167381974248928,1.4133391245851885,L,100%,Low,High,pos_change,16_Jun_m1,05-26,06-07
0,2016,05-23,05-25,2.8617343367581585,2.4017842735138566,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-24,07-13,1.5097304712545436,9.585737869579182,W,100%,Close,High,pos_change,16_Jul_m1,06-22,07-13
0,2016,06-27,06-28,2.163035936008089,2.5966114108845337,W,90%,Open,High,pos_change,16_Jul_m1,06-27,06-28
0,2016,07-29,08-01,2.417039634969268,2.3726201169721834,L,100%,Low,High,pos_change,16_Aug_m1,07-27,08-15
0,2016,08-05,08-08,2.79638049975991,2.269774725446483,L,90%,Low,High,pos_change,16_Aug_m1,08-05,08-08
0,2016,08-29,08-30,2.7768828847881952,0.6420269213730021,L,100%,Low,High,pos_change,16_Sep_m1,08-27,09-13
0,2016,08-31,09-01,3.4541905262213346,0.8768461416493231,L,90%,Low,High,pos_change,16_Sep_m1,08-29,09-01
0,2016,09-29,10-20,3.649633512162093,10.376027531482054,W,100%,Low,High,pos_change,16_Oct_m1,09-27,10-21
0,2016,11-03,11-14,2.570694087403599,11.267042474366852,W,100%,Low,High,pos_change,16_Nov_m1,11-02,11-16
0,2016,10-24,10-25,6.21301775147929,1.0338637486757682,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,11-21,11-23,2.0216314588697983,2.9383532160248147,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-03
0,2016,11-22,11-23,3.9627007384368538,1.98623904422407,L,90%,Low,High,pos_change,16_Dec_m1,11-22,11-23
0,2017,01-05,01-13,1.4205576103424358,5.164902305559852,W,100%,Low,High,pos_change,17_Jan_m1,01-05,01-16
0,2017,01-03,01-04,1.627219912784347,2.4932409467447973,W,90%,Low,High,pos_change,17_Jan_m1,01-03,01-04
0,2017,02-02,02-03,2.479338842975207,5.570094148964679,W,100%,Low,High,pos_change,17_Feb_m1,02-02,02-14
0,2017,01-27,01-30,3.9620139102794223,1.2491580096385984,L,90%,Low,High,pos_change,17_Feb_m1,01-27,01-30
0,2017,02-24,03-01,1.879924016041161,3.4625852075696475,W,100%,Low,High,pos_change,17_Mar_m1,02-22,03-05
0,2017,02-22,02-23,2.581811641783311,1.0163889661594836,L,90%,Low,High,pos_change,17_Mar_m1,02-20,02-23
0,2017,03-30,04-20,2.595231708134934,4.367125922358117,W,100%,Low,High,pos_change,17_Apr_m1,03-30,04-20
0,2017,04-24,04-25,1.8574771344971344,1.6723198402233477,L,100%,Low,High,pos_change,17_May_m1,04-24,05-13
0,2017,05-26,06-02,1.7167381974248928,4.451040519556038,W,100%,Low,High,pos_change,17_Jun_m1,05-24,06-11
0,2017,05-24,05-25,2.8617343367581585,0.7004307134365776,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,06-29,07-03,1.966545317417077,2.739908594472938,W,100%,Low,High,pos_change,17_Jul_m1,06-29,07-06
0,2017,06-28,06-30,3.578484565183354,2.588596224929774,L,90%,Low,High,pos_change,17_Jul_m1,06-28,07-01
0,2017,07-27,08-01,2.064724768583373,4.950687100975572,W,100%,Low,High,pos_change,17_Aug_m1,07-27,08-14
0,2017,08-07,08-08,2.4128556493296744,1.855731652686256,L,90%,Low,High,pos_change,17_Aug_m1,08-05,08-08
0,2017,08-29,09-01,2.044184786206899,2.940775232218111,W,100%,Low,High,pos_change,17_Sep_m1,08-29,09-06
0,2017,08-23,08-24,3.178039522549799,1.153087772902243,L,90%,Low,High,pos_change,17_Sep_m1,08-23,08-24
0,2017,09-28,10-20,3.2745370812244343,9.34440024519497,W,100%,Open,High,pos_change,17_Oct_m1,09-27,10-20
0,2017,09-27,09-28,5.9013312484110925,0.7996790947716319,L,90%,Low,High,pos_change,17_Oct_m1,09-27,09-28
0,2017,11-02,11-06,2.570694087403599,1.7866210455258702,L,100%,Low,High,pos_change,17_Nov_m1,11-02,11-16
0,2017,10-25,10-26,6.21301775147929,1.909220136740673,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-27
0,2017,11-21,11-30,2.0216314588697983,7.887463655691052,W,100%,Low,High,pos_change,17_Dec_m1,11-21,12-03
0,2017,11-20,11-22,4.184100418410042,3.288419562233226,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-23
0,2018,01-05,01-12,1.4205576103424358,5.213298448516648,W,100%,Low,High,pos_change,18_Jan_m1,01-05,01-16
0,2018,01-03,01-04,1.627219912784347,1.819544938922231,W,90%,Low,High,pos_change,18_Jan_m1,01-03,01-04
0,2018,02-05,02-07,2.479338842975207,4.045819880086666,W,100%,Low,High,pos_change,18_Feb_m1,02-02,02-14
0,2018,01-23,01-24,3.237407878188272,1.4638424097406757,L,90%,Low,High,pos_change,18_Feb_m1,01-23,01-24
0,2018,02-22,02-27,1.879924016041161,2.1925953122368145,W,100%,Low,High,pos_change,18_Mar_m1,02-22,03-04
0,2018,02-21,02-22,2.4880576213523486,2.1956475374057103,L,90%,Low,High,pos_change,18_Mar_m1,02-21,02-24
0,2018,03-29,04-19,2.595231708134934,7.721044954574379,W,100%,Low,High,pos_change,18_Apr_m1,03-29,04-20
0,2018,05-03,05-11,1.777966494452775,5.253125880749815,W,100%,Low,High,pos_change,18_May_m1,05-02,05-13
