,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-06,2.1383131505529835,2.33001648548024,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-12
0,2016,01-04,01-06,2.58645485391007,2.33001648548024,L,90%,Low,High,pos_change,16_Jan_m1,01-04,01-07
0,2016,02-05,02-09,2.9523441162757096,2.2717046915897376,L,100%,Low,High,pos_change,16_Feb_m1,02-03,02-13
0,2016,02-25,03-04,1.8028877381625932,5.90277434934005,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-05
0,2016,02-24,02-25,3.2852629497208823,5.937708790315174,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-22,03-30,3.653165683665798,7.092406944904567,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-04
0,2016,03-21,03-22,4.9855750377029455,3.387055186753404,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,05-04,05-09,3.076923076923077,5.107797349329119,W,100%,Low,High,pos_change,16_May_m1,05-04,05-15
0,2016,04-27,04-28,3.892042335769429,0.4572562552685321,L,90%,Open,High,pos_change,16_May_m1,04-27,04-30
0,2016,06-01,06-09,1.7462120589728205,4.407064566817312,W,100%,Low,High,pos_change,16_Jun_m1,06-01,06-15
0,2016,05-24,05-25,5.672510477868901,2.8078471416491206,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-27,07-13,2.7073448576422874,10.49636955504866,W,100%,Low,High,pos_change,16_Jul_m1,06-25,07-14
0,2016,06-21,06-23,4.411755277565294,3.8749313422941056,L,90%,Low,High,pos_change,16_Jul_m1,06-20,06-23
0,2016,07-27,08-09,1.954397394136808,8.369723807021398,W,100%,Low,High,pos_change,16_Aug_m1,07-27,08-15
0,2016,08-11,08-12,3.600925457892838,0.8157550541520701,L,90%,Low,High,pos_change,16_Aug_m1,08-11,08-12
0,2016,08-25,09-07,2.692866751983733,5.164592330800732,W,100%,Low,High,pos_change,16_Sep_m1,08-25,09-13
0,2016,08-22,08-23,4.750665799195413,1.0999952043805803,L,90%,Low,High,pos_change,16_Sep_m1,08-22,08-23
0,2016,09-29,09-30,2.5822529195104447,2.3184759089921148,L,100%,Low,High,pos_change,16_Oct_m1,09-26,10-06
0,2016,09-27,09-28,3.6422267806690702,1.3342520789838612,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-27,11-02,3.2047116959519046,1.6964378367568442,L,100%,Low,High,pos_change,16_Nov_m1,10-24,11-04
0,2016,10-24,10-25,6.476530941943503,1.2231090828019775,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,12-02,12-14,3.371297245545364,8.81166674813683,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-15
0,2016,11-28,11-29,4.747477627666652,1.253022128354662,L,90%,Low,High,pos_change,16_Dec_m1,11-28,11-29
0,2017,01-09,01-19,2.1826132646974603,3.3416366218970435,W,100%,Low,High,pos_change,17_Jan_m1,01-08,01-19
0,2017,02-08,02-10,1.880275445740285,3.523828972039852,W,100%,Low,High,pos_change,17_Feb_m1,02-07,02-12
0,2017,01-27,01-30,4.922083878374192,0.2715872554212487,L,90%,Low,High,pos_change,17_Feb_m1,01-27,01-30
0,2017,03-02,03-03,2.699270840418759,0.4391630600239593,L,100%,Low,High,pos_change,17_Mar_m1,03-02,03-10
0,2017,02-28,03-01,4.339438902904826,2.3402687978582923,L,90%,Low,High,pos_change,17_Mar_m1,02-27,03-02
0,2017,03-22,04-03,3.653165683665798,3.4000551598242432,L,100%,Low,High,pos_change,17_Apr_m1,03-22,04-04
0,2017,03-21,03-22,4.9855750377029455,0.5566909486167113,L,90%,Low,High,pos_change,17_Apr_m1,03-21,03-22
0,2017,05-04,05-09,3.076923076923077,3.4989354202499503,W,100%,Low,High,pos_change,17_May_m1,05-04,05-13
0,2017,04-26,04-28,3.5052708375255324,3.311249703818876,L,90%,Low,High,pos_change,17_May_m1,04-26,04-29
