,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-07,0.3187247907976737,11.455399754382537,W,100%,Low,High,pos_change,16_Jan_m1,01-01,01-11
0,2016,02-05,02-16,1.6114198551310708,2.4669813639509965,W,100%,Low,High,pos_change,16_Feb_m1,02-03,02-16
0,2016,01-25,01-26,4.649682019475018,2.5890170316533805,L,90%,Low,High,pos_change,16_Feb_m1,01-25,01-26
0,2016,03-03,03-04,1.9080682751422424,2.7143773257216024,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-12
0,2016,03-08,03-09,3.950948745680098,2.408409081198449,L,90%,Low,High,pos_change,16_Mar_m1,03-08,03-09
0,2016,03-29,04-07,5.037293924030111,7.593742207853624,W,100%,Low,High,pos_change,16_Apr_m1,03-27,04-14
0,2016,03-23,03-24,6.127247561279733,0.7915164081621623,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-26
0,2016,04-18,04-19,2.0775637081209664,1.7698577532950788,L,100%,Low,High,pos_change,16_May_m1,04-18,05-01
0,2016,04-18,04-19,4.990490453285372,1.7698577532950788,L,90%,Low,High,pos_change,16_May_m1,04-18,04-20
0,2016,05-23,05-27,2.7128154652614973,3.1736755786193545,W,100%,Low,Close,pos_change,16_Jun_m1,05-23,06-05
0,2016,05-24,05-25,3.699091092071273,1.855314669896344,L,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-27,07-01,2.5,10.809743954838895,W,100%,Low,High,pos_change,16_Jul_m1,06-25,07-13
0,2016,06-20,06-21,4.712040744089284,0.9201050684233042,L,90%,Low,High,pos_change,16_Jul_m1,06-20,06-21
0,2016,08-10,08-11,2.1673611666129253,1.6513786965227917,L,100%,Low,High,pos_change,16_Aug_m1,08-10,08-17
0,2016,08-25,08-26,3.08678109840355,1.6144534191453317,L,100%,Low,High,pos_change,16_Sep_m1,08-25,09-04
0,2016,09-29,10-05,2.8216788776277686,6.407110090241093,W,100%,Low,High,pos_change,16_Oct_m1,09-27,10-08
0,2016,09-20,09-21,7.819389981845402,1.9281542965693823,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
