,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,3.816793731465231,4.2851407389482254,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-13
0,2016,01-07,01-08,7.129794619352148,4.568841667437108,L,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,01-20,02-01,5.366496484480542,20.32478528145032,W,100%,Low,High,pos_change,16_Feb_m1,01-18,02-19
0,2016,02-26,03-04,3.7558725034421454,16.576129527532903,W,100%,Low,High,pos_change,16_Mar_m1,02-26,03-08
0,2016,03-01,03-02,5.790303131879952,5.683170505016065,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,04-01,04-04,3.091696115819317,2.803982439996741,L,100%,Low,High,pos_change,16_Apr_m1,04-01,04-07
0,2016,04-05,04-06,4.84732257035459,3.0338817666287032,L,90%,Low,High,pos_change,16_Apr_m1,04-05,04-06
0,2016,04-20,04-28,5.136878320471985,3.808713459569375,L,100%,Low,High,pos_change,16_May_m1,04-18,05-04
0,2016,04-20,04-21,12.028323834692852,2.68021094969335,L,90%,Low,High,pos_change,16_May_m1,04-20,04-21
0,2016,05-27,06-08,3.5995464844337075,4.816906117520272,W,100%,Low,High,pos_change,16_Jun_m1,05-27,06-08
0,2016,05-23,05-25,9.36995153473344,1.5510897352973765,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-27,07-14,5.438349046231789,18.368057698581342,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-14
0,2016,06-23,06-24,7.2639153894628,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-25
0,2016,08-10,08-17,4.294697890355156,7.184172663541363,W,100%,Low,High,pos_change,16_Aug_m1,08-09,08-17
0,2016,07-22,07-25,6.196584558023707,4.999992052714224,L,90%,Low,High,pos_change,16_Aug_m1,07-22,07-25
0,2016,08-30,09-02,4.6575296831123225,2.153309921643717,L,100%,Low,High,pos_change,16_Sep_m1,08-27,09-14
0,2016,08-31,09-01,7.011577372819995,1.7456033679182006,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,10-10,10-11,4.360226792604524,3.3538476930976646,L,100%,Low,High,pos_change,16_Oct_m1,10-08,10-21
0,2016,10-10,10-11,6.354509622605257,3.3538476930976646,L,90%,Low,High,pos_change,16_Oct_m1,10-10,10-11
0,2016,10-27,11-10,7.171309964330301,3.16676796284183,L,100%,Low,High,pos_change,16_Nov_m1,10-24,11-14
0,2016,10-26,10-27,9.815948901193854,1.8007505449990948,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,11-25,11-28,5.594416563363059,1.7649346474364824,L,100%,Low,Open,pos_change,16_Dec_m1,11-23,12-04
0,2016,11-22,11-23,11.272895797669468,0.6583166052969963,L,90%,Low,High,pos_change,16_Dec_m1,11-22,11-23
0,2017,01-05,01-11,3.816793731465231,6.46469924461361,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-13
0,2017,01-05,01-06,7.501721766136606,2.0827709827947563,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2017,02-02,02-17,3.5767476863449046,7.339552286853043,W,100%,Low,High,pos_change,17_Feb_m1,02-02,02-17
