,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.0215610943371565,1.8714979196174204,L,100%,Low,High,pos_change,16_Jan_m1,01-02,01-11
0,2016,01-04,01-05,3.0984030377740748,1.8714979196174204,L,90%,Low,High,pos_change,16_Jan_m1,01-03,01-06
0,2016,01-28,02-04,4.839770645294033,10.380853434457451,W,100%,Low,High,pos_change,16_Feb_m1,01-27,02-19
0,2016,01-28,01-29,6.040819648171769,5.988084567734939,L,90%,Low,High,pos_change,16_Feb_m1,01-26,01-29
0,2016,03-03,03-14,2.041815461751022,4.334725499610362,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-15
0,2016,02-24,02-25,4.347824994358369,2.6116966040385563,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-21,04-14,1.842934174063318,8.341571867908474,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-15
0,2016,03-21,03-22,3.153153153153153,2.283057473439821,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-29,05-13,2.356124467872557,2.666548118102044,W,100%,Low,High,pos_change,16_May_m1,04-29,05-15
0,2016,04-26,04-27,3.6195854334699034,1.9367019508210848,L,90%,Low,High,pos_change,16_May_m1,04-26,04-29
0,2016,05-23,05-25,2.312501271565755,2.80332053366936,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-10
0,2016,05-25,05-26,3.787255468982769,0.4736850136204769,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-24,07-08,2.519649086637457,7.994758415957133,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-08
0,2016,06-21,06-22,3.8130361104015575,0.5009224802163077,L,90%,Low,High,pos_change,16_Jul_m1,06-21,06-22
0,2016,07-21,07-27,2.564102564102564,7.779721509763791,W,100%,Low,High,pos_change,16_Aug_m1,07-18,07-30
0,2016,07-25,07-27,3.957600245326827,3.145392427165418,L,90%,Low,High,pos_change,16_Aug_m1,07-24,07-27
0,2016,08-29,08-30,1.850628252661884,1.6295933718696591,L,100%,Low,High,pos_change,16_Sep_m1,08-29,09-08
